timestamp_utc,heart_rate_bpm,rr_interval_ms
2026-03-20T16:04:31.6035341+00:00,68,878.08
2026-03-20T16:04:32.4816094+00:00,69,872.51
2026-03-20T16:04:33.3541182+00:00,70,859.72
2026-03-20T16:04:34.2138371+00:00,71,849.27
2026-03-20T16:04:35.0631120+00:00,71,847.75
2026-03-20T16:04:35.9108657+00:00,70,861.10
2026-03-20T16:04:36.7719671+00:00,68,876.06
2026-03-20T16:04:37.6480240+00:00,68,877.41
2026-03-20T16:04:38.5254364+00:00,69,865.20
2026-03-20T16:04:39.3906354+00:00,70,852.60
2026-03-20T16:04:40.2432352+00:00,70,857.33
2026-03-20T16:04:41.1005670+00:00,69,873.76
2026-03-20T16:04:41.9743282+00:00,68,881.01
2026-03-20T16:04:42.8553345+00:00,68,878.74
2026-03-20T16:04:43.7340783+00:00,69,873.30
2026-03-20T16:04:44.6073814+00:00,69,866.45
2026-03-20T16:04:45.4738304+00:00,69,870.07
2026-03-20T16:04:46.3438955+00:00,68,882.39
2026-03-20T16:04:47.2262806+00:00,68,887.73
2026-03-20T16:04:48.1140068+00:00,68,880.84
2026-03-20T16:04:48.9948422+00:00,69,870.69
2026-03-20T16:04:49.8655331+00:00,69,870.95
2026-03-20T16:04:50.7364867+00:00,68,882.53
2026-03-20T16:04:51.6190194+00:00,68,887.51
2026-03-20T16:04:52.5065322+00:00,68,880.95
2026-03-20T16:04:53.3874794+00:00,69,873.35
2026-03-20T16:04:54.2608295+00:00,69,865.98
2026-03-20T16:04:55.1268088+00:00,69,866.43
2026-03-20T16:04:55.9932341+00:00,68,879.80
2026-03-20T16:04:56.8730336+00:00,68,886.74
2026-03-20T16:04:57.7597693+00:00,69,874.43
2026-03-20T16:04:58.6341954+00:00,70,857.78
2026-03-20T16:04:59.4919765+00:00,70,852.45
2026-03-20T16:05:00.3444245+00:00,70,862.83
2026-03-20T16:05:01.2072583+00:00,68,876.08
2026-03-20T16:05:02.0833382+00:00,68,876.98
2026-03-20T16:05:02.9603185+00:00,69,868.08
2026-03-20T16:05:03.8284033+00:00,70,853.51
2026-03-20T16:05:04.6819102+00:00,71,843.48
2026-03-20T16:05:05.5253864+00:00,70,854.75
2026-03-20T16:05:06.3801338+00:00,69,874.52
2026-03-20T16:05:07.2546585+00:00,68,877.13
2026-03-20T16:05:08.1317866+00:00,69,864.43
2026-03-20T16:05:08.9962135+00:00,70,851.62
2026-03-20T16:05:09.8478320+00:00,71,848.98
2026-03-20T16:05:10.6968113+00:00,70,859.59
2026-03-20T16:05:11.5564001+00:00,69,873.27
2026-03-20T16:05:12.4296662+00:00,68,878.94
2026-03-20T16:05:13.3086054+00:00,69,873.10
2026-03-20T16:05:14.1817043+00:00,70,859.56
2026-03-20T16:05:15.0412669+00:00,70,857.21
2026-03-20T16:05:15.8984818+00:00,69,872.15
2026-03-20T16:05:16.7706317+00:00,68,884.04
2026-03-20T16:05:17.6546751+00:00,68,881.31
2026-03-20T16:05:18.5359841+00:00,69,874.69
2026-03-20T16:05:19.4106775+00:00,69,870.09
2026-03-20T16:05:20.2807695+00:00,69,872.24
2026-03-20T16:05:21.1530113+00:00,68,881.42
2026-03-20T16:05:22.0344353+00:00,68,886.64
2026-03-20T16:05:22.9210711+00:00,68,882.94
2026-03-20T16:05:23.8040077+00:00,69,872.73
2026-03-20T16:05:24.6767378+00:00,69,867.51
2026-03-20T16:05:25.5442517+00:00,68,878.53
2026-03-20T16:05:26.4227837+00:00,67,889.35
2026-03-20T16:05:27.3121311+00:00,68,882.22
2026-03-20T16:05:28.1943519+00:00,69,870.85
2026-03-20T16:05:29.0652061+00:00,69,863.87
2026-03-20T16:05:29.9290763+00:00,69,863.42
2026-03-20T16:05:30.7924970+00:00,69,873.83
2026-03-20T16:05:31.6663290+00:00,68,883.45
2026-03-20T16:05:32.5497762+00:00,68,877.96
2026-03-20T16:05:33.4277355+00:00,70,860.62
2026-03-20T16:05:34.2883598+00:00,71,847.66
2026-03-20T16:05:35.1360171+00:00,70,854.65
2026-03-20T16:05:35.9906712+00:00,69,872.27
2026-03-20T16:05:36.8629399+00:00,68,877.45
2026-03-20T16:05:37.7403874+00:00,69,869.06
2026-03-20T16:05:38.6094439+00:00,70,856.83
2026-03-20T16:05:39.4662774+00:00,71,845.74
2026-03-20T16:05:40.3120161+00:00,71,848.87
2026-03-20T16:05:41.1608843+00:00,69,867.31
2026-03-20T16:05:42.0281927+00:00,68,878.89
2026-03-20T16:05:42.9070842+00:00,69,871.44
2026-03-20T16:05:43.7785201+00:00,70,856.21
2026-03-20T16:05:44.6347296+00:00,71,849.71
2026-03-20T16:05:45.4844412+00:00,70,858.98
2026-03-20T16:05:46.3434244+00:00,69,873.31
2026-03-20T16:05:47.2167359+00:00,68,878.82
2026-03-20T16:05:48.0955587+00:00,68,876.92
2026-03-20T16:05:48.9724764+00:00,69,867.90
2026-03-20T16:05:49.8403739+00:00,70,860.47
2026-03-20T16:05:50.7008457+00:00,69,870.06
2026-03-20T16:05:51.5709023+00:00,68,884.61
2026-03-20T16:05:52.4555166+00:00,68,885.33
2026-03-20T16:05:53.3408479+00:00,68,876.95
2026-03-20T16:05:54.2177951+00:00,69,870.59
2026-03-20T16:05:55.0883887+00:00,69,873.65
2026-03-20T16:05:55.9620389+00:00,68,883.09
2026-03-20T16:05:56.8451250+00:00,68,885.93
2026-03-20T16:05:57.7310535+00:00,68,882.47
2026-03-20T16:05:58.6135245+00:00,69,874.56
2026-03-20T16:05:59.4880833+00:00,69,866.14
2026-03-20T16:06:00.3542249+00:00,69,872.27
2026-03-20T16:06:01.2264998+00:00,68,886.81
2026-03-20T16:06:02.1133117+00:00,68,885.56
2026-03-20T16:06:02.9988717+00:00,69,870.41
2026-03-20T16:06:03.8692827+00:00,70,859.25
2026-03-20T16:06:04.7285368+00:00,70,859.00
2026-03-20T16:06:05.5875391+00:00,69,868.80
2026-03-20T16:06:06.4563389+00:00,68,878.93
2026-03-20T16:06:07.3352686+00:00,68,877.95
2026-03-20T16:06:08.2132160+00:00,69,864.93
2026-03-20T16:06:09.0781457+00:00,71,848.35
2026-03-20T16:06:09.9264929+00:00,71,846.46
2026-03-20T16:06:10.7729526+00:00,69,864.63
2026-03-20T16:06:11.6375784+00:00,68,878.25
2026-03-20T16:06:12.5158248+00:00,69,872.03
2026-03-20T16:06:13.3878534+00:00,70,859.34
2026-03-20T16:06:14.2471912+00:00,71,849.02
2026-03-20T16:06:15.0962071+00:00,71,848.06
2026-03-20T16:06:15.9442651+00:00,70,861.91
2026-03-20T16:06:16.8061789+00:00,68,876.41
2026-03-20T16:06:17.6825893+00:00,68,877.23
2026-03-20T16:06:18.5598147+00:00,69,864.62
2026-03-20T16:06:19.4244302+00:00,70,852.37
2026-03-20T16:06:20.2767955+00:00,70,857.99
2026-03-20T16:06:21.1347831+00:00,69,874.28
2026-03-20T16:06:22.0090595+00:00,68,881.04
2026-03-20T16:06:22.8900990+00:00,68,878.60
2026-03-20T16:06:23.7687013+00:00,69,872.92
2026-03-20T16:06:24.6416208+00:00,69,866.33
