timestamp_utc,heart_rate_bpm,rr_interval_ms
2026-03-20T16:04:31.9554104+00:00,71,850.46
2026-03-20T16:04:32.8058683+00:00,71,847.44
2026-03-20T16:04:33.6533054+00:00,71,844.75
2026-03-20T16:04:34.4980537+00:00,71,844.16
2026-03-20T16:04:35.3422133+00:00,71,842.18
2026-03-20T16:04:36.1843961+00:00,71,841.45
2026-03-20T16:04:37.0258484+00:00,71,846.40
2026-03-20T16:04:37.8722522+00:00,70,852.33
2026-03-20T16:04:38.7245789+00:00,70,851.53
2026-03-20T16:04:39.5761068+00:00,71,846.80
2026-03-20T16:04:40.4229076+00:00,71,845.90
2026-03-20T16:04:41.2688093+00:00,71,847.76
2026-03-20T16:04:42.1165660+00:00,71,848.18
2026-03-20T16:04:42.9647468+00:00,71,850.42
2026-03-20T16:04:43.8151664+00:00,70,856.13
2026-03-20T16:04:44.6713013+00:00,70,857.87
2026-03-20T16:04:45.5291739+00:00,70,852.89
2026-03-20T16:04:46.3820599+00:00,71,849.53
2026-03-20T16:04:47.2315894+00:00,70,851.75
2026-03-20T16:04:48.0833367+00:00,70,854.23
2026-03-20T16:04:48.9375649+00:00,70,854.87
2026-03-20T16:04:49.7924310+00:00,70,857.29
2026-03-20T16:04:50.6497200+00:00,70,859.70
2026-03-20T16:04:51.5094203+00:00,70,856.05
2026-03-20T16:04:52.3654749+00:00,71,849.78
2026-03-20T16:04:53.2152570+00:00,71,849.64
2026-03-20T16:04:54.0648922+00:00,70,853.71
2026-03-20T16:04:54.9186064+00:00,70,854.75
2026-03-20T16:04:55.7733556+00:00,70,854.07
2026-03-20T16:04:56.6274304+00:00,70,854.86
2026-03-20T16:04:57.4822941+00:00,70,852.69
2026-03-20T16:04:58.3349869+00:00,71,846.25
2026-03-20T16:04:59.1812333+00:00,71,843.35
2026-03-20T16:05:00.0245825+00:00,71,847.44
2026-03-20T16:05:00.8720213+00:00,70,851.42
2026-03-20T16:05:01.7234444+00:00,71,850.14
2026-03-20T16:05:02.5735817+00:00,71,847.79
2026-03-20T16:05:03.4213742+00:00,71,846.77
2026-03-20T16:05:04.2681438+00:00,71,843.35
2026-03-20T16:05:05.1114897+00:00,71,839.64
2026-03-20T16:05:05.9511309+00:00,71,842.55
2026-03-20T16:05:06.7936805+00:00,71,849.12
2026-03-20T16:05:07.6428027+00:00,71,850.17
2026-03-20T16:05:08.4929734+00:00,71,846.21
2026-03-20T16:05:09.3391839+00:00,71,844.24
2026-03-20T16:05:10.1834204+00:00,71,844.25
2026-03-20T16:05:11.0276717+00:00,71,843.26
2026-03-20T16:05:11.8709293+00:00,71,844.41
2026-03-20T16:05:12.7153387+00:00,71,850.39
2026-03-20T16:05:13.5657257+00:00,70,854.73
2026-03-20T16:05:14.4204549+00:00,70,851.60
2026-03-20T16:05:15.2720572+00:00,71,847.25
2026-03-20T16:05:16.1193041+00:00,71,848.15
2026-03-20T16:05:16.9674551+00:00,71,850.35
2026-03-20T16:05:17.8178042+00:00,71,850.94
2026-03-20T16:05:18.6687464+00:00,70,854.13
2026-03-20T16:05:19.5228732+00:00,70,858.83
2026-03-20T16:05:20.3817052+00:00,70,857.75
2026-03-20T16:05:21.2394572+00:00,70,851.99
2026-03-20T16:05:22.0914468+00:00,71,850.21
2026-03-20T16:05:22.9416602+00:00,70,853.42
2026-03-20T16:05:23.7950769+00:00,70,855.38
2026-03-20T16:05:24.6504567+00:00,70,855.62
2026-03-20T16:05:25.5060719+00:00,70,857.81
2026-03-20T16:05:26.3638822+00:00,70,858.23
2026-03-20T16:05:27.2221144+00:00,70,852.42
2026-03-20T16:05:28.0745357+00:00,71,847.32
