timestamp_utc,heart_rate_bpm,rr_interval_ms
2026-03-20T16:04:32.0578508+00:00,60,1004.32
2026-03-20T16:04:33.0621658+00:00,65,918.74
2026-03-20T16:04:33.9809061+00:00,69,863.66
2026-03-20T16:04:34.8445709+00:00,71,841.97
2026-03-20T16:04:35.6865424+00:00,77,782.53
2026-03-20T16:04:36.4690725+00:00,76,788.24
2026-03-20T16:04:37.2573096+00:00,87,689.71
2026-03-20T16:04:37.9470210+00:00,52,1151.99
2026-03-20T16:04:39.0990102+00:00,64,937.93
2026-03-20T16:04:40.0369419+00:00,73,820.47
2026-03-20T16:04:40.8574069+00:00,73,826.34
2026-03-20T16:04:41.6837461+00:00,71,845.16
2026-03-20T16:04:42.5289015+00:00,71,841.34
2026-03-20T16:04:43.3702382+00:00,86,695.29
2026-03-20T16:04:44.0655276+00:00,52,1149.64
2026-03-20T16:04:45.2151691+00:00,62,961.74
2026-03-20T16:04:46.1769099+00:00,74,814.74
2026-03-20T16:04:46.9916537+00:00,74,813.77
2026-03-20T16:04:47.8054211+00:00,68,878.66
2026-03-20T16:04:48.6840820+00:00,67,898.77
2026-03-20T16:04:49.5828533+00:00,85,708.84
2026-03-20T16:04:50.2916942+00:00,53,1133.63
2026-03-20T16:04:51.4253273+00:00,62,964.28
2026-03-20T16:04:52.3896096+00:00,75,801.92
2026-03-20T16:04:53.1915266+00:00,76,784.55
2026-03-20T16:04:53.9760746+00:00,68,878.80
2026-03-20T16:04:54.8548766+00:00,64,938.95
2026-03-20T16:04:55.7938302+00:00,84,715.38
2026-03-20T16:04:56.5092130+00:00,54,1102.92
2026-03-20T16:04:57.6121286+00:00,64,936.95
2026-03-20T16:04:58.5490815+00:00,76,785.40
2026-03-20T16:04:59.3344801+00:00,80,749.61
2026-03-20T16:05:00.0840893+00:00,70,853.27
2026-03-20T16:05:00.9373595+00:00,62,970.89
2026-03-20T16:05:01.9082488+00:00,82,732.56
2026-03-20T16:05:02.6408122+00:00,57,1056.62
2026-03-20T16:05:03.6974308+00:00,67,892.65
2026-03-20T16:05:04.5900780+00:00,75,797.91
2026-03-20T16:05:05.3879874+00:00,81,743.37
2026-03-20T16:05:06.1313620+00:00,72,832.79
2026-03-20T16:05:06.9641531+00:00,61,984.18
2026-03-20T16:05:07.9483369+00:00,79,759.60
2026-03-20T16:05:08.7079336+00:00,58,1026.25
2026-03-20T16:05:09.7341797+00:00,71,839.41
2026-03-20T16:05:10.5735892+00:00,73,824.41
2026-03-20T16:05:11.3979990+00:00,76,792.28
2026-03-20T16:05:12.1902771+00:00,71,840.56
2026-03-20T16:05:13.0308394+00:00,61,978.81
2026-03-20T16:05:14.0096498+00:00,76,789.98
2026-03-20T16:05:14.7996306+00:00,58,1028.67
2026-03-20T16:05:15.8282990+00:00,74,807.01
2026-03-20T16:05:16.6353114+00:00,71,845.80
2026-03-20T16:05:17.4811120+00:00,70,861.68
2026-03-20T16:05:18.3427954+00:00,68,878.71
2026-03-20T16:05:19.2215072+00:00,61,978.01
2026-03-20T16:05:20.1995159+00:00,75,795.02
2026-03-20T16:05:20.9945311+00:00,58,1038.35
2026-03-20T16:05:22.0328858+00:00,76,790.55
2026-03-20T16:05:22.8234329+00:00,71,845.63
2026-03-20T16:05:23.6690654+00:00,66,908.37
2026-03-20T16:05:24.5774355+00:00,65,916.95
2026-03-20T16:05:25.4943871+00:00,62,968.46
2026-03-20T16:05:26.4628483+00:00,77,778.20
2026-03-20T16:05:27.2410526+00:00,58,1028.37
2026-03-20T16:05:28.2694215+00:00,79,761.05
2026-03-20T16:05:29.0304680+00:00,73,825.61
2026-03-20T16:05:29.8560816+00:00,64,931.41
2026-03-20T16:05:30.7874909+00:00,63,947.32
2026-03-20T16:05:31.7348067+00:00,63,945.49
2026-03-20T16:05:32.6802953+00:00,82,727.59
2026-03-20T16:05:33.4078807+00:00,60,1006.06
2026-03-20T16:05:34.4139433+00:00,81,739.24
2026-03-20T16:05:35.1531879+00:00,76,792.85
2026-03-20T16:05:35.9460390+00:00,64,938.68
2026-03-20T16:05:36.8847237+00:00,61,986.80
2026-03-20T16:05:37.8715266+00:00,66,910.05
2026-03-20T16:05:38.7815816+00:00,91,662.17
2026-03-20T16:05:39.4437565+00:00,61,991.39
2026-03-20T16:05:40.4351428+00:00,79,760.80
2026-03-20T16:05:41.1959424+00:00,76,786.38
2026-03-20T16:05:41.9823203+00:00,65,928.05
2026-03-20T16:05:42.9103690+00:00,59,1017.70
2026-03-20T16:05:43.9280717+00:00,67,902.02
2026-03-20T16:05:44.8300939+00:00,99,606.14
2026-03-20T16:05:45.4362352+00:00,62,969.25
2026-03-20T16:05:46.4054846+00:00,73,822.84
2026-03-20T16:05:47.2283236+00:00,73,824.26
2026-03-20T16:05:48.0525797+00:00,65,920.68
2026-03-20T16:05:48.9732593+00:00,58,1029.65
2026-03-20T16:05:50.0029099+00:00,65,924.91
2026-03-20T16:05:50.9278190+00:00,102,585.57
2026-03-20T16:05:51.5133845+00:00,63,954.08
2026-03-20T16:05:52.4674664+00:00,69,872.77
2026-03-20T16:05:53.3402355+00:00,68,881.26
2026-03-20T16:05:54.2214979+00:00,64,931.01
2026-03-20T16:05:55.1525048+00:00,59,1018.19
2026-03-20T16:05:56.1706979+00:00,64,942.99
2026-03-20T16:05:57.1136908+00:00,104,575.68
2026-03-20T16:05:57.6893678+00:00,65,929.44
2026-03-20T16:05:58.6188067+00:00,68,886.27
2026-03-20T16:05:59.5050725+00:00,65,927.82
2026-03-20T16:06:00.4328964+00:00,64,935.19
2026-03-20T16:06:01.3680877+00:00,61,989.31
2026-03-20T16:06:02.3573994+00:00,65,930.01
2026-03-20T16:06:03.2874111+00:00,108,554.97
2026-03-20T16:06:03.8423837+00:00,67,893.13
2026-03-20T16:06:04.7355119+00:00,69,864.74
2026-03-20T16:06:05.6002490+00:00,62,961.16
2026-03-20T16:06:06.5614119+00:00,64,944.00
2026-03-20T16:06:07.5054152+00:00,64,933.53
2026-03-20T16:06:08.4389409+00:00,67,899.41
2026-03-20T16:06:09.3383463+00:00,107,558.97
2026-03-20T16:06:09.8973188+00:00,68,877.41
2026-03-20T16:06:10.7747248+00:00,72,834.18
2026-03-20T16:06:11.6089075+00:00,61,982.18
2026-03-20T16:06:12.5910828+00:00,62,970.39
2026-03-20T16:06:13.5614763+00:00,68,878.28
2026-03-20T16:06:14.4397607+00:00,70,856.64
2026-03-20T16:06:15.2963984+00:00,101,591.19
2026-03-20T16:06:15.8875850+00:00,66,913.40
2026-03-20T16:06:16.8009862+00:00,72,829.32
2026-03-20T16:06:17.6303023+00:00,62,974.60
2026-03-20T16:06:18.6049053+00:00,60,1005.84
2026-03-20T16:06:19.6107491+00:00,70,859.54
2026-03-20T16:06:20.4702865+00:00,74,814.10
2026-03-20T16:06:21.2843834+00:00,97,621.54
2026-03-20T16:06:21.9059263+00:00,61,982.67
2026-03-20T16:06:22.8886012+00:00,70,860.13
2026-03-20T16:06:23.7487273+00:00,62,970.55
2026-03-20T16:06:24.7192752+00:00,59,1021.66
2026-03-20T16:06:25.7409303+00:00,69,871.02
2026-03-20T16:06:26.6119508+00:00,75,797.34
2026-03-20T16:06:27.4092881+00:00,95,628.49
2026-03-20T16:06:28.0377762+00:00,58,1029.86
2026-03-20T16:06:29.0676358+00:00,66,902.68
2026-03-20T16:06:29.9703169+00:00,62,963.89
2026-03-20T16:06:30.9342114+00:00,59,1011.49
2026-03-20T16:06:31.9457010+00:00,69,873.06
2026-03-20T16:06:32.8187599+00:00,78,771.50
2026-03-20T16:06:33.5902558+00:00,99,607.90
2026-03-20T16:06:34.1981534+00:00,57,1044.09
2026-03-20T16:06:35.2422480+00:00,64,937.24
2026-03-20T16:06:36.1794843+00:00,63,947.17
2026-03-20T16:06:37.1266561+00:00,62,974.72
2026-03-20T16:06:38.1013752+00:00,70,859.67
2026-03-20T16:06:38.9610491+00:00,80,746.32
2026-03-20T16:06:39.7073651+00:00,105,569.98
2026-03-20T16:06:40.2773500+00:00,58,1027.68
2026-03-20T16:06:41.3050253+00:00,61,980.77
2026-03-20T16:06:42.2858002+00:00,65,929.93
2026-03-20T16:06:43.2157303+00:00,66,908.93
2026-03-20T16:06:44.1246628+00:00,70,855.96
2026-03-20T16:06:44.9806246+00:00,79,755.66
2026-03-20T16:06:45.7362841+00:00,109,549.19
2026-03-20T16:06:46.2854739+00:00,60,1003.47
2026-03-20T16:06:47.2889435+00:00,59,1009.93
2026-03-20T16:06:48.2988754+00:00,64,936.02
2026-03-20T16:06:49.2348988+00:00,71,847.98
2026-03-20T16:06:50.0828759+00:00,72,837.07
2026-03-20T16:06:50.9199509+00:00,74,808.16
2026-03-20T16:06:51.7281098+00:00,104,577.55
2026-03-20T16:06:52.3056609+00:00,60,997.13
2026-03-20T16:06:53.3027879+00:00,59,1012.04
2026-03-20T16:06:54.3148267+00:00,62,970.11
2026-03-20T16:06:55.2849328+00:00,73,825.05
2026-03-20T16:06:56.1099820+00:00,73,816.33
2026-03-20T16:06:56.9263092+00:00,70,857.48
2026-03-20T16:06:57.7837915+00:00,94,640.55
2026-03-20T16:06:58.4243456+00:00,59,1024.68
2026-03-20T16:06:59.4490228+00:00,60,1003.73
2026-03-20T16:07:00.4527518+00:00,61,987.94
2026-03-20T16:07:01.4406885+00:00,72,827.88
2026-03-20T16:07:02.2685678+00:00,75,797.67
2026-03-20T16:07:03.0662342+00:00,69,869.86
2026-03-20T16:07:03.9360942+00:00,86,693.74
2026-03-20T16:07:04.6298363+00:00,57,1058.10
2026-03-20T16:07:05.6879333+00:00,61,984.16
2026-03-20T16:07:06.6720956+00:00,61,980.06
2026-03-20T16:07:07.6521562+00:00,74,814.55
2026-03-20T16:07:08.4667017+00:00,78,765.95
2026-03-20T16:07:09.2326525+00:00,70,855.39
2026-03-20T16:07:10.0880449+00:00,83,725.63
2026-03-20T16:07:10.8136770+00:00,55,1087.01
2026-03-20T16:07:11.9006829+00:00,63,949.27
2026-03-20T16:07:12.8499526+00:00,64,936.24
2026-03-20T16:07:13.7861921+00:00,75,804.65
2026-03-20T16:07:14.5908405+00:00,81,737.88
2026-03-20T16:07:15.3287170+00:00,73,823.83
2026-03-20T16:07:16.1525513+00:00,80,746.17
2026-03-20T16:07:16.8987212+00:00,53,1125.95
2026-03-20T16:07:18.0246696+00:00,67,901.35
2026-03-20T16:07:18.9260157+00:00,68,878.42
2026-03-20T16:07:19.8044393+00:00,73,817.79
2026-03-20T16:07:20.6222287+00:00,80,753.88
2026-03-20T16:07:21.3761057+00:00,74,812.57
2026-03-20T16:07:22.1886794+00:00,81,744.51
2026-03-20T16:07:22.9331885+00:00,52,1156.86
2026-03-20T16:07:24.0900495+00:00,68,880.41
2026-03-20T16:07:24.9704588+00:00,73,824.77
2026-03-20T16:07:25.7952270+00:00,72,832.42
2026-03-20T16:07:26.6276489+00:00,73,818.25
2026-03-20T16:07:27.4459016+00:00,71,839.67
2026-03-20T16:07:28.2855747+00:00,81,738.61
2026-03-20T16:07:29.0241862+00:00,51,1170.84
2026-03-20T16:07:30.1950275+00:00,67,890.97
2026-03-20T16:07:31.0859934+00:00,75,802.12
2026-03-20T16:07:31.8881175+00:00,71,839.96
