timestamp_utc,heart_rate_bpm,rr_interval_ms
2026-03-20T16:04:32.2533931+00:00,68,878.28
2026-03-20T16:04:33.1316764+00:00,69,866.49
2026-03-20T16:04:33.9981672+00:00,70,852.60
2026-03-20T16:04:34.8507697+00:00,72,835.69
2026-03-20T16:04:35.6864636+00:00,72,832.36
2026-03-20T16:04:36.5188235+00:00,71,847.53
2026-03-20T16:04:37.3663549+00:00,69,867.30
2026-03-20T16:04:38.2336576+00:00,69,875.53
2026-03-20T16:04:39.1091889+00:00,69,863.63
2026-03-20T16:04:39.9728174+00:00,72,837.37
2026-03-20T16:04:40.8101916+00:00,71,843.83
2026-03-20T16:04:41.6540222+00:00,70,862.28
2026-03-20T16:04:42.5163002+00:00,69,871.85
2026-03-20T16:04:43.3881496+00:00,69,871.78
2026-03-20T16:04:44.2599329+00:00,69,872.08
2026-03-20T16:04:45.1320140+00:00,70,860.14
2026-03-20T16:04:45.9921581+00:00,70,859.86
2026-03-20T16:04:46.8520153+00:00,69,865.55
2026-03-20T16:04:47.7175633+00:00,68,878.64
2026-03-20T16:04:48.5962071+00:00,69,874.10
2026-03-20T16:04:49.4703066+00:00,70,862.00
2026-03-20T16:04:50.3323062+00:00,70,861.46
2026-03-20T16:04:51.1937705+00:00,68,876.58
2026-03-20T16:04:52.0703480+00:00,68,877.25
2026-03-20T16:04:52.9476024+00:00,69,869.80
2026-03-20T16:04:53.8173977+00:00,70,861.25
2026-03-20T16:04:54.6786444+00:00,70,857.41
2026-03-20T16:04:55.5360593+00:00,70,855.68
2026-03-20T16:04:56.3917361+00:00,69,866.93
2026-03-20T16:04:57.2586678+00:00,68,881.86
2026-03-20T16:04:58.1405277+00:00,69,869.68
2026-03-20T16:04:59.0102090+00:00,71,842.79
2026-03-20T16:04:59.8529958+00:00,72,833.80
2026-03-20T16:05:00.6867942+00:00,71,845.21
2026-03-20T16:05:01.5320056+00:00,69,864.03
2026-03-20T16:05:02.3960368+00:00,69,873.48
2026-03-20T16:05:03.2695127+00:00,70,861.43
2026-03-20T16:05:04.1309474+00:00,71,846.28
2026-03-20T16:05:04.9772226+00:00,72,828.73
2026-03-20T16:05:05.8059522+00:00,73,826.02
2026-03-20T16:05:06.6319735+00:00,70,854.86
2026-03-20T16:05:07.4868298+00:00,68,877.22
2026-03-20T16:05:08.3640547+00:00,70,862.08
2026-03-20T16:05:09.2261348+00:00,71,843.40
2026-03-20T16:05:10.0695392+00:00,72,833.60
2026-03-20T16:05:10.9031382+00:00,72,834.55
2026-03-20T16:05:11.7376851+00:00,70,854.00
2026-03-20T16:05:12.5916820+00:00,69,867.85
2026-03-20T16:05:13.4595306+00:00,69,872.46
2026-03-20T16:05:14.3319898+00:00,69,865.04
2026-03-20T16:05:15.1970312+00:00,71,844.02
2026-03-20T16:05:16.0410507+00:00,71,847.15
2026-03-20T16:05:16.8882024+00:00,69,871.75
2026-03-20T16:05:17.7599496+00:00,69,875.43
2026-03-20T16:05:18.6353780+00:00,69,868.86
2026-03-20T16:05:19.5042420+00:00,69,869.59
2026-03-20T16:05:20.3738289+00:00,70,862.57
2026-03-20T16:05:21.2363959+00:00,69,868.96
2026-03-20T16:05:22.1053531+00:00,69,872.21
2026-03-20T16:05:22.9775590+00:00,69,875.07
2026-03-20T16:05:23.8526332+00:00,69,872.31
2026-03-20T16:05:24.7249420+00:00,70,861.98
2026-03-20T16:05:25.5869213+00:00,70,860.29
2026-03-20T16:05:26.4472110+00:00,68,886.35
2026-03-20T16:05:27.3335589+00:00,68,884.01
2026-03-20T16:05:28.2175668+00:00,69,866.95
2026-03-20T16:05:29.0845124+00:00,70,855.78
2026-03-20T16:05:29.9402952+00:00,70,852.70
2026-03-20T16:05:30.7929921+00:00,70,858.77
2026-03-20T16:05:31.6517662+00:00,69,874.83
2026-03-20T16:05:32.5265955+00:00,68,879.00
2026-03-20T16:05:33.4055998+00:00,69,866.84
2026-03-20T16:05:34.2724395+00:00,72,838.77
2026-03-20T16:05:35.1112092+00:00,73,826.49
2026-03-20T16:05:35.9376984+00:00,71,847.82
2026-03-20T16:05:36.7855175+00:00,69,872.67
2026-03-20T16:05:37.6581879+00:00,69,872.66
2026-03-20T16:05:38.5308457+00:00,70,858.68
2026-03-20T16:05:39.3895275+00:00,71,839.71
2026-03-20T16:05:40.2292329+00:00,73,826.94
2026-03-20T16:05:41.0561744+00:00,72,832.97
2026-03-20T16:05:41.8891451+00:00,70,858.93
2026-03-20T16:05:42.7480801+00:00,68,877.82
2026-03-20T16:05:43.6258988+00:00,69,865.31
2026-03-20T16:05:44.4912109+00:00,72,838.88
2026-03-20T16:05:45.3300862+00:00,72,832.29
2026-03-20T16:05:46.1623735+00:00,71,843.58
2026-03-20T16:05:47.0059516+00:00,70,861.81
2026-03-20T16:05:47.8677589+00:00,69,870.57
2026-03-20T16:05:48.7383279+00:00,69,870.80
2026-03-20T16:05:49.6091303+00:00,70,861.02
2026-03-20T16:05:50.4701487+00:00,71,846.67
2026-03-20T16:05:51.3168230+00:00,71,850.62
2026-03-20T16:05:52.1674452+00:00,69,873.91
2026-03-20T16:05:53.0413516+00:00,68,876.46
2026-03-20T16:05:53.9178125+00:00,69,864.40
2026-03-20T16:05:54.7822158+00:00,70,861.33
2026-03-20T16:05:55.6435442+00:00,69,863.97
2026-03-20T16:05:56.5075158+00:00,69,872.17
2026-03-20T16:05:57.3796827+00:00,69,874.33
2026-03-20T16:05:58.2540084+00:00,69,869.95
2026-03-20T16:05:59.1239567+00:00,69,866.31
2026-03-20T16:05:59.9902663+00:00,70,858.50
2026-03-20T16:06:00.8487616+00:00,70,858.02
2026-03-20T16:06:01.7067798+00:00,68,883.79
2026-03-20T16:06:02.5905714+00:00,68,881.32
2026-03-20T16:06:03.4718941+00:00,70,858.55
2026-03-20T16:06:04.3304451+00:00,71,844.47
2026-03-20T16:06:05.1749155+00:00,71,845.40
2026-03-20T16:06:06.0203183+00:00,70,854.74
2026-03-20T16:06:06.8750610+00:00,69,874.81
2026-03-20T16:06:07.7498743+00:00,69,871.76
2026-03-20T16:06:08.6216317+00:00,70,861.23
2026-03-20T16:06:09.4828592+00:00,72,837.94
2026-03-20T16:06:10.3207983+00:00,73,823.98
2026-03-20T16:06:11.1447736+00:00,71,845.42
2026-03-20T16:06:11.9901978+00:00,68,877.06
2026-03-20T16:06:12.8672584+00:00,69,872.32
2026-03-20T16:06:13.7395757+00:00,70,857.14
2026-03-20T16:06:14.5967140+00:00,72,839.15
2026-03-20T16:06:15.4358659+00:00,72,829.28
2026-03-20T16:06:16.2651446+00:00,71,840.96
2026-03-20T16:06:17.1061035+00:00,70,862.49
2026-03-20T16:06:17.9685970+00:00,69,875.66
2026-03-20T16:06:18.8442526+00:00,69,870.14
2026-03-20T16:06:19.7143961+00:00,71,842.63
2026-03-20T16:06:20.5570295+00:00,72,836.44
2026-03-20T16:06:21.3934677+00:00,70,856.44
2026-03-20T16:06:22.2499037+00:00,69,871.25
2026-03-20T16:06:23.1211509+00:00,69,872.76
2026-03-20T16:06:23.9939147+00:00,69,873.32
2026-03-20T16:06:24.8672358+00:00,70,862.57
2026-03-20T16:06:25.7298016+00:00,70,857.09
2026-03-20T16:06:26.5868922+00:00,70,862.19
2026-03-20T16:06:27.4490849+00:00,68,876.27
2026-03-20T16:06:28.3253523+00:00,68,878.36
2026-03-20T16:06:29.2037148+00:00,69,865.54
2026-03-20T16:06:30.0692566+00:00,70,858.27
2026-03-20T16:06:30.9275235+00:00,69,870.34
2026-03-20T16:06:31.7978611+00:00,68,878.50
2026-03-20T16:06:32.6763643+00:00,69,873.53
2026-03-20T16:06:33.5498955+00:00,69,864.46
2026-03-20T16:06:34.4143546+00:00,70,858.27
2026-03-20T16:06:35.2726220+00:00,70,854.81
2026-03-20T16:06:36.1274288+00:00,70,859.90
2026-03-20T16:06:36.9873255+00:00,68,879.00
2026-03-20T16:06:37.8663248+00:00,68,877.19
2026-03-20T16:06:38.7435176+00:00,70,851.98
2026-03-20T16:06:39.5954986+00:00,72,833.13
2026-03-20T16:06:40.4286309+00:00,71,839.88
2026-03-20T16:06:41.2685136+00:00,70,855.67
2026-03-20T16:06:42.1241862+00:00,69,873.36
2026-03-20T16:06:42.9975453+00:00,69,865.96
2026-03-20T16:06:43.8635066+00:00,70,853.05
2026-03-20T16:06:44.7165601+00:00,72,833.02
2026-03-20T16:06:45.5495800+00:00,73,823.12
2026-03-20T16:06:46.3726950+00:00,71,841.12
2026-03-20T16:06:47.2138168+00:00,69,874.51
2026-03-20T16:06:48.0883288+00:00,69,868.66
2026-03-20T16:06:48.9569850+00:00,71,850.20
2026-03-20T16:06:49.8071897+00:00,72,835.04
2026-03-20T16:06:50.6422280+00:00,72,831.55
2026-03-20T16:06:51.4737796+00:00,71,844.56
2026-03-20T16:06:52.3183357+00:00,69,864.53
2026-03-20T16:06:53.1828618+00:00,69,871.32
2026-03-20T16:06:54.0541839+00:00,69,871.13
2026-03-20T16:06:54.9253161+00:00,71,849.68
2026-03-20T16:06:55.7749953+00:00,71,840.94
2026-03-20T16:06:56.6159389+00:00,70,862.97
2026-03-20T16:06:57.4789135+00:00,68,876.08
2026-03-20T16:06:58.3549889+00:00,69,870.13
2026-03-20T16:06:59.2251201+00:00,69,871.34
2026-03-20T16:07:00.0964615+00:00,69,864.47
2026-03-20T16:07:00.9609311+00:00,69,864.90
2026-03-20T16:07:01.8258299+00:00,69,870.45
2026-03-20T16:07:02.6962825+00:00,69,873.35
2026-03-20T16:07:03.5696288+00:00,69,874.52
2026-03-20T16:07:04.4441472+00:00,69,867.30
2026-03-20T16:07:05.3114482+00:00,70,857.10
2026-03-20T16:07:06.1685502+00:00,68,878.14
2026-03-20T16:07:07.0466933+00:00,68,886.90
2026-03-20T16:07:07.9335910+00:00,69,871.50
2026-03-20T16:07:08.8050914+00:00,70,859.04
2026-03-20T16:07:09.6641315+00:00,70,854.65
2026-03-20T16:07:10.5187859+00:00,70,855.78
2026-03-20T16:07:11.3745619+00:00,69,869.50
2026-03-20T16:07:12.2440607+00:00,68,878.14
2026-03-20T16:07:13.1221977+00:00,69,872.38
2026-03-20T16:07:13.9945787+00:00,71,849.18
2026-03-20T16:07:14.8437627+00:00,73,827.50
2026-03-20T16:07:15.6712582+00:00,71,840.21
2026-03-20T16:07:16.5114658+00:00,69,865.59
2026-03-20T16:07:17.3770520+00:00,69,873.95
2026-03-20T16:07:18.2510044+00:00,70,862.95
2026-03-20T16:07:19.1139541+00:00,71,847.32
2026-03-20T16:07:19.9612733+00:00,72,830.11
2026-03-20T16:07:20.7913873+00:00,72,830.27
2026-03-20T16:07:21.6216589+00:00,71,848.19
2026-03-20T16:07:22.4698505+00:00,69,873.92
2026-03-20T16:07:23.3437667+00:00,69,871.26
2026-03-20T16:07:24.2150226+00:00,71,847.81
2026-03-20T16:07:25.0628292+00:00,72,832.40
2026-03-20T16:07:25.8952282+00:00,71,840.62
2026-03-20T16:07:26.7358444+00:00,70,854.60
2026-03-20T16:07:27.5904463+00:00,69,868.53
2026-03-20T16:07:28.4589795+00:00,69,869.97
2026-03-20T16:07:29.3289511+00:00,69,866.70
2026-03-20T16:07:30.1956489+00:00,70,851.11
2026-03-20T16:07:31.0467608+00:00,71,847.55
2026-03-20T16:07:31.8943151+00:00,69,865.73
