timestamp_utc,heart_rate_bpm,rr_interval_ms
2026-03-20T16:04:32.4192130+00:00,68,883.52
2026-03-20T16:04:33.3027364+00:00,66,913.55
2026-03-20T16:04:34.2162839+00:00,66,913.55
2026-03-20T16:04:35.1298305+00:00,67,895.72
2026-03-20T16:04:36.0255528+00:00,69,868.93
2026-03-20T16:04:36.8944785+00:00,71,848.56
2026-03-20T16:04:37.7430360+00:00,70,860.55
2026-03-20T16:04:38.6035839+00:00,67,899.71
2026-03-20T16:04:39.5032928+00:00,65,925.03
2026-03-20T16:04:40.4283198+00:00,66,915.27
2026-03-20T16:04:41.3435899+00:00,67,892.23
2026-03-20T16:04:42.2358242+00:00,69,866.11
2026-03-20T16:04:43.1019305+00:00,71,850.33
2026-03-20T16:04:43.9522573+00:00,69,867.84
2026-03-20T16:04:44.8200953+00:00,66,906.85
2026-03-20T16:04:45.7269436+00:00,65,923.36
2026-03-20T16:04:46.6503072+00:00,66,905.15
2026-03-20T16:04:47.5554610+00:00,68,877.56
2026-03-20T16:04:48.4330183+00:00,70,852.64
2026-03-20T16:04:49.2856560+00:00,71,844.32
2026-03-20T16:04:50.1299741+00:00,69,865.94
2026-03-20T16:04:50.9959129+00:00,67,901.18
2026-03-20T16:04:51.8970972+00:00,66,912.40
2026-03-20T16:04:52.8095013+00:00,67,890.57
2026-03-20T16:04:53.7000719+00:00,70,861.07
2026-03-20T16:04:54.5611450+00:00,71,839.59
2026-03-20T16:04:55.4007348+00:00,72,838.44
2026-03-20T16:04:56.2391749+00:00,69,864.35
2026-03-20T16:04:57.1035258+00:00,67,897.26
2026-03-20T16:04:58.0007904+00:00,66,905.65
2026-03-20T16:04:58.9064447+00:00,68,885.70
2026-03-20T16:04:59.7921480+00:00,70,856.85
2026-03-20T16:05:00.6490006+00:00,72,837.39
2026-03-20T16:05:01.4863870+00:00,71,843.31
2026-03-20T16:05:02.3297010+00:00,69,873.94
2026-03-20T16:05:03.2036433+00:00,66,904.46
2026-03-20T16:05:04.1081037+00:00,66,910.13
2026-03-20T16:05:05.0182351+00:00,67,890.91
2026-03-20T16:05:05.9091469+00:00,70,862.70
2026-03-20T16:05:06.7718454+00:00,71,845.60
2026-03-20T16:05:07.6174437+00:00,70,857.19
2026-03-20T16:05:08.4746296+00:00,67,892.16
2026-03-20T16:05:09.3667940+00:00,65,918.25
2026-03-20T16:05:10.2850435+00:00,66,915.96
2026-03-20T16:05:11.2010067+00:00,67,895.32
2026-03-20T16:05:12.0963259+00:00,69,866.98
2026-03-20T16:05:12.9633030+00:00,70,851.60
2026-03-20T16:05:13.8149034+00:00,69,869.86
2026-03-20T16:05:14.6847611+00:00,66,906.39
2026-03-20T16:05:15.5911462+00:00,65,922.89
2026-03-20T16:05:16.5140375+00:00,66,910.86
2026-03-20T16:05:17.4248969+00:00,68,887.07
2026-03-20T16:05:18.3119659+00:00,70,859.49
2026-03-20T16:05:19.1714554+00:00,71,848.42
2026-03-20T16:05:20.0198751+00:00,69,871.00
2026-03-20T16:05:20.8908708+00:00,66,906.83
2026-03-20T16:05:21.7976991+00:00,66,914.97
2026-03-20T16:05:22.7126704+00:00,67,895.29
2026-03-20T16:05:23.6079562+00:00,69,870.94
2026-03-20T16:05:24.4788919+00:00,71,847.01
2026-03-20T16:05:25.3259000+00:00,71,840.74
2026-03-20T16:05:26.1666439+00:00,69,866.71
2026-03-20T16:05:27.0333542+00:00,67,900.58
2026-03-20T16:05:27.9339349+00:00,66,904.96
2026-03-20T16:05:28.8388980+00:00,68,883.05
2026-03-20T16:05:29.7219499+00:00,70,858.69
2026-03-20T16:05:30.5806421+00:00,71,839.50
2026-03-20T16:05:31.4201373+00:00,71,839.26
2026-03-20T16:05:32.2593929+00:00,69,866.81
2026-03-20T16:05:33.1262019+00:00,67,900.17
2026-03-20T16:05:34.0263751+00:00,66,904.47
2026-03-20T16:05:34.9308467+00:00,68,882.62
2026-03-20T16:05:35.8134706+00:00,70,859.47
2026-03-20T16:05:36.6729389+00:00,71,844.68
2026-03-20T16:05:37.5176208+00:00,71,850.05
2026-03-20T16:05:38.3676692+00:00,68,880.68
2026-03-20T16:05:39.2483463+00:00,66,911.12
2026-03-20T16:05:40.1594700+00:00,66,912.77
2026-03-20T16:05:41.0722400+00:00,67,890.61
2026-03-20T16:05:41.9628527+00:00,69,866.04
2026-03-20T16:05:42.8288953+00:00,70,854.10
2026-03-20T16:05:43.6829993+00:00,69,866.48
2026-03-20T16:05:44.5494826+00:00,67,897.74
2026-03-20T16:05:45.4472211+00:00,65,920.74
2026-03-20T16:05:46.3679586+00:00,66,915.49
2026-03-20T16:05:47.2834522+00:00,67,891.08
2026-03-20T16:05:48.1745351+00:00,69,865.20
2026-03-20T16:05:49.0397309+00:00,70,856.04
2026-03-20T16:05:49.8957708+00:00,69,874.64
2026-03-20T16:05:50.7704151+00:00,66,905.76
2026-03-20T16:05:51.6761748+00:00,65,917.53
2026-03-20T16:05:52.5937054+00:00,66,904.99
2026-03-20T16:05:53.4986987+00:00,68,880.29
2026-03-20T16:05:54.3789849+00:00,70,854.05
2026-03-20T16:05:55.2330393+00:00,71,848.34
2026-03-20T16:05:56.0813799+00:00,69,872.28
2026-03-20T16:05:56.9536575+00:00,67,901.22
2026-03-20T16:05:57.8548747+00:00,66,905.49
2026-03-20T16:05:58.7603657+00:00,67,888.91
2026-03-20T16:05:59.6492718+00:00,69,865.73
2026-03-20T16:06:00.5150036+00:00,71,842.69
2026-03-20T16:06:01.3576933+00:00,71,840.17
2026-03-20T16:06:02.1978639+00:00,69,867.29
2026-03-20T16:06:03.0651566+00:00,67,897.18
2026-03-20T16:06:03.9623322+00:00,67,898.21
2026-03-20T16:06:04.8605389+00:00,68,880.89
2026-03-20T16:06:05.7414304+00:00,70,861.23
2026-03-20T16:06:06.6026652+00:00,71,841.89
2026-03-20T16:06:07.4445553+00:00,71,842.69
2026-03-20T16:06:08.2872447+00:00,69,872.74
2026-03-20T16:06:09.1599814+00:00,66,903.05
2026-03-20T16:06:10.0630334+00:00,66,903.28
2026-03-20T16:06:10.9663108+00:00,68,884.72
2026-03-20T16:06:11.8510293+00:00,69,866.49
2026-03-20T16:06:12.7175192+00:00,70,851.84
2026-03-20T16:06:13.5693617+00:00,70,856.35
2026-03-20T16:06:14.4257129+00:00,68,887.43
2026-03-20T16:06:15.3131471+00:00,65,916.13
2026-03-20T16:06:16.2292778+00:00,66,912.35
2026-03-20T16:06:17.1416264+00:00,67,891.01
2026-03-20T16:06:18.0326339+00:00,69,872.05
2026-03-20T16:06:18.9046800+00:00,70,860.62
2026-03-20T16:06:19.7652954+00:00,69,870.56
2026-03-20T16:06:20.6358549+00:00,67,900.90
2026-03-20T16:06:21.5367541+00:00,65,920.97
2026-03-20T16:06:22.4577198+00:00,66,911.41
2026-03-20T16:06:23.3691282+00:00,68,886.73
2026-03-20T16:06:24.2558554+00:00,69,865.03
2026-03-20T16:06:25.1208811+00:00,70,857.79
