timestamp_utc,heart_rate_bpm,rr_interval_ms
2026-03-20T16:04:33.2731060+00:00,69,867.24
2026-03-20T16:04:34.1403462+00:00,70,862.32
2026-03-20T16:04:35.0026642+00:00,71,850.12
2026-03-20T16:04:35.8527862+00:00,71,839.31
2026-03-20T16:04:36.6920980+00:00,72,837.80
2026-03-20T16:04:37.5298993+00:00,70,851.40
2026-03-20T16:04:38.3813028+00:00,69,865.87
2026-03-20T16:04:39.2471692+00:00,69,866.85
2026-03-20T16:04:40.1140152+00:00,70,855.87
2026-03-20T16:04:40.9698808+00:00,71,843.27
2026-03-20T16:04:41.8131460+00:00,71,845.98
2026-03-20T16:04:42.6591293+00:00,70,862.69
2026-03-20T16:04:43.5218175+00:00,69,871.88
2026-03-20T16:04:44.3937024+00:00,69,869.36
2026-03-20T16:04:45.2630626+00:00,70,863.17
2026-03-20T16:04:46.1262363+00:00,70,855.49
2026-03-20T16:04:46.9817274+00:00,70,857.97
2026-03-20T16:04:47.8396925+00:00,69,871.48
2026-03-20T16:04:48.7111739+00:00,68,878.70
2026-03-20T16:04:49.5898760+00:00,69,873.13
2026-03-20T16:04:50.4630039+00:00,70,862.27
2026-03-20T16:04:51.3252731+00:00,70,858.04
2026-03-20T16:04:52.1833178+00:00,69,868.13
2026-03-20T16:04:53.0514477+00:00,68,878.30
2026-03-20T16:04:53.9297485+00:00,69,874.95
2026-03-20T16:04:54.8047009+00:00,69,866.54
2026-03-20T16:04:55.6712447+00:00,70,857.45
2026-03-20T16:04:56.5286936+00:00,70,853.61
2026-03-20T16:04:57.3823054+00:00,69,864.63
2026-03-20T16:04:58.2469312+00:00,68,876.49
2026-03-20T16:04:59.1234165+00:00,69,870.48
2026-03-20T16:04:59.9938917+00:00,70,854.57
2026-03-20T16:05:00.8484603+00:00,71,843.28
2026-03-20T16:05:01.6917362+00:00,71,846.46
2026-03-20T16:05:02.5381966+00:00,70,860.96
2026-03-20T16:05:03.3991546+00:00,69,868.20
2026-03-20T16:05:04.2673595+00:00,70,862.38
2026-03-20T16:05:05.1297391+00:00,71,849.98
2026-03-20T16:05:05.9797234+00:00,72,836.36
2026-03-20T16:05:06.8160830+00:00,72,837.61
2026-03-20T16:05:07.6536908+00:00,70,856.32
2026-03-20T16:05:08.5100138+00:00,69,867.80
2026-03-20T16:05:09.3778128+00:00,70,860.84
2026-03-20T16:05:10.2386524+00:00,71,847.39
2026-03-20T16:05:11.0860409+00:00,72,838.45
2026-03-20T16:05:11.9244934+00:00,71,843.05
2026-03-20T16:05:12.7675456+00:00,70,857.96
2026-03-20T16:05:13.6255033+00:00,69,867.82
2026-03-20T16:05:14.4933217+00:00,69,866.72
2026-03-20T16:05:15.3600368+00:00,70,856.19
2026-03-20T16:05:16.2162257+00:00,71,845.74
2026-03-20T16:05:17.0619609+00:00,70,852.54
2026-03-20T16:05:17.9145045+00:00,69,869.70
2026-03-20T16:05:18.7842016+00:00,69,875.02
2026-03-20T16:05:19.6592250+00:00,69,868.86
2026-03-20T16:05:20.5280862+00:00,70,861.54
2026-03-20T16:05:21.3896264+00:00,70,857.89
2026-03-20T16:05:22.2475149+00:00,69,864.95
2026-03-20T16:05:23.1124674+00:00,69,875.82
2026-03-20T16:05:23.9882905+00:00,68,877.53
2026-03-20T16:05:24.8658158+00:00,69,870.24
2026-03-20T16:05:25.7360537+00:00,70,859.24
2026-03-20T16:05:26.5952888+00:00,70,857.95
2026-03-20T16:05:27.4532438+00:00,69,871.89
2026-03-20T16:05:28.3251358+00:00,68,879.43
2026-03-20T16:05:29.2045659+00:00,69,870.68
2026-03-20T16:05:30.0752462+00:00,70,859.90
2026-03-20T16:05:30.9351417+00:00,70,852.19
2026-03-20T16:05:31.7873328+00:00,70,853.63
2026-03-20T16:05:32.6409634+00:00,69,866.35
2026-03-20T16:05:33.5073126+00:00,69,873.65
2026-03-20T16:05:34.3809593+00:00,69,865.22
2026-03-20T16:05:35.2461840+00:00,71,848.66
2026-03-20T16:05:36.0948413+00:00,72,838.08
2026-03-20T16:05:36.9329194+00:00,71,846.38
2026-03-20T16:05:37.7793030+00:00,70,863.17
2026-03-20T16:05:38.6424704+00:00,69,866.65
2026-03-20T16:05:39.5091234+00:00,70,857.66
2026-03-20T16:05:40.3667860+00:00,71,845.40
2026-03-20T16:05:41.2121814+00:00,72,835.37
2026-03-20T16:05:42.0475530+00:00,71,840.87
2026-03-20T16:05:42.8884235+00:00,70,859.23
2026-03-20T16:05:43.7476519+00:00,69,868.09
2026-03-20T16:05:44.6157415+00:00,70,860.05
2026-03-20T16:05:45.4757868+00:00,71,845.93
2026-03-20T16:05:46.3217188+00:00,71,839.70
2026-03-20T16:05:47.1614224+00:00,71,849.67
2026-03-20T16:05:48.0110907+00:00,69,864.69
2026-03-20T16:05:48.8757815+00:00,69,869.44
2026-03-20T16:05:49.7452260+00:00,69,866.14
2026-03-20T16:05:50.6113636+00:00,70,856.81
2026-03-20T16:05:51.4681731+00:00,71,849.87
2026-03-20T16:05:52.3180396+00:00,70,859.92
2026-03-20T16:05:53.1779559+00:00,69,875.13
2026-03-20T16:05:54.0530826+00:00,68,876.28
2026-03-20T16:05:54.9293612+00:00,69,867.74
2026-03-20T16:05:55.7971016+00:00,70,859.77
2026-03-20T16:05:56.6568689+00:00,70,860.85
2026-03-20T16:05:57.5177224+00:00,69,871.82
2026-03-20T16:05:58.3895415+00:00,68,877.77
2026-03-20T16:05:59.2673141+00:00,69,874.34
2026-03-20T16:06:00.1416583+00:00,69,866.01
