timestamp_utc,heart_rate_bpm,rr_interval_ms
2026-03-20T16:04:33.3746418+00:00,63,957.59
2026-03-20T16:04:34.3322353+00:00,63,954.44
2026-03-20T16:04:35.2866732+00:00,64,933.69
2026-03-20T16:04:36.2203641+00:00,66,905.76
2026-03-20T16:04:37.1261249+00:00,69,872.09
2026-03-20T16:04:37.9982152+00:00,71,842.92
2026-03-20T16:04:38.8411318+00:00,72,828.20
2026-03-20T16:04:39.6693327+00:00,72,828.71
2026-03-20T16:04:40.4980442+00:00,71,844.78
2026-03-20T16:04:41.3428236+00:00,68,879.29
2026-03-20T16:04:42.2221157+00:00,65,924.42
2026-03-20T16:04:43.1465390+00:00,63,957.82
2026-03-20T16:04:44.1043584+00:00,62,967.10
2026-03-20T16:04:45.0714618+00:00,63,959.06
2026-03-20T16:04:46.0305229+00:00,64,935.51
2026-03-20T16:04:46.9660298+00:00,67,898.72
2026-03-20T16:04:47.8647529+00:00,69,864.47
2026-03-20T16:04:48.7292233+00:00,71,844.04
2026-03-20T16:04:49.5732663+00:00,71,839.77
2026-03-20T16:04:50.4130410+00:00,70,856.60
2026-03-20T16:04:51.2696379+00:00,67,896.20
2026-03-20T16:04:52.1658335+00:00,64,942.73
2026-03-20T16:04:53.1085664+00:00,62,970.17
2026-03-20T16:04:54.0787371+00:00,62,971.40
2026-03-20T16:04:55.0501348+00:00,63,958.13
2026-03-20T16:04:56.0082692+00:00,64,933.99
2026-03-20T16:04:56.9422640+00:00,67,901.29
2026-03-20T16:04:57.8435504+00:00,69,868.58
2026-03-20T16:04:58.7121317+00:00,71,841.24
2026-03-20T16:04:59.5533760+00:00,73,826.85
2026-03-20T16:05:00.3802277+00:00,72,836.97
2026-03-20T16:05:01.2171979+00:00,69,873.86
2026-03-20T16:05:02.0910621+00:00,65,921.23
2026-03-20T16:05:03.0122971+00:00,63,953.34
2026-03-20T16:05:03.9656401+00:00,63,959.73
2026-03-20T16:05:04.9253688+00:00,63,945.47
2026-03-20T16:05:05.8708363+00:00,66,915.51
2026-03-20T16:05:06.7863416+00:00,68,881.47
2026-03-20T16:05:07.6678161+00:00,70,854.09
2026-03-20T16:05:08.5219060+00:00,72,833.21
2026-03-20T16:05:09.3551189+00:00,73,820.60
2026-03-20T16:05:10.1757155+00:00,73,826.71
2026-03-20T16:05:11.0024232+00:00,70,856.94
2026-03-20T16:05:11.8593605+00:00,67,900.16
2026-03-20T16:05:12.7595236+00:00,64,937.76
2026-03-20T16:05:13.6972790+00:00,63,959.88
2026-03-20T16:05:14.6571599+00:00,62,960.89
2026-03-20T16:05:15.6180529+00:00,64,937.76
2026-03-20T16:05:16.5558163+00:00,66,903.87
2026-03-20T16:05:17.4596884+00:00,69,873.56
2026-03-20T16:05:18.3332464+00:00,71,848.32
2026-03-20T16:05:19.1815695+00:00,72,833.60
2026-03-20T16:05:20.0151660+00:00,71,842.34
2026-03-20T16:05:20.8575076+00:00,68,876.26
2026-03-20T16:05:21.7337706+00:00,65,919.73
2026-03-20T16:05:22.6534979+00:00,63,954.62
2026-03-20T16:05:23.6081190+00:00,62,973.22
2026-03-20T16:05:24.5813379+00:00,62,971.79
2026-03-20T16:05:25.5531276+00:00,63,951.13
2026-03-20T16:05:26.5042563+00:00,65,922.41
2026-03-20T16:05:27.4266665+00:00,67,890.56
2026-03-20T16:05:28.3172311+00:00,70,855.77
2026-03-20T16:05:29.1729986+00:00,72,832.25
2026-03-20T16:05:30.0052473+00:00,72,836.16
2026-03-20T16:05:30.8414122+00:00,69,866.99
2026-03-20T16:05:31.7084023+00:00,66,909.85
2026-03-20T16:05:32.6182528+00:00,63,947.52
2026-03-20T16:05:33.5657707+00:00,62,967.00
2026-03-20T16:05:34.5327749+00:00,63,958.73
2026-03-20T16:05:35.4915092+00:00,65,929.54
2026-03-20T16:05:36.4210530+00:00,67,899.54
2026-03-20T16:05:37.3205903+00:00,69,872.47
2026-03-20T16:05:38.1930613+00:00,71,843.50
2026-03-20T16:05:39.0365635+00:00,73,821.49
2026-03-20T16:05:39.8580532+00:00,73,820.34
2026-03-20T16:05:40.6783928+00:00,71,842.01
2026-03-20T16:05:41.5204069+00:00,68,878.28
2026-03-20T16:05:42.3986863+00:00,65,919.85
2026-03-20T16:05:43.3185318+00:00,63,953.58
2026-03-20T16:05:44.2721086+00:00,62,960.10
2026-03-20T16:05:45.2322125+00:00,64,938.80
2026-03-20T16:05:46.1710118+00:00,66,910.02
2026-03-20T16:05:47.0810273+00:00,68,880.83
2026-03-20T16:05:47.9618579+00:00,71,850.27
2026-03-20T16:05:48.8121304+00:00,72,830.02
2026-03-20T16:05:49.6421477+00:00,72,832.34
2026-03-20T16:05:50.4744872+00:00,70,855.32
2026-03-20T16:05:51.3298052+00:00,67,890.37
2026-03-20T16:05:52.2201794+00:00,64,930.74
2026-03-20T16:05:53.1509204+00:00,62,964.30
2026-03-20T16:05:54.1152161+00:00,62,974.15
2026-03-20T16:05:55.0893664+00:00,62,961.19
2026-03-20T16:05:56.0505552+00:00,64,938.86
2026-03-20T16:05:56.9894165+00:00,66,907.16
2026-03-20T16:05:57.8965731+00:00,69,868.48
2026-03-20T16:05:58.7650567+00:00,71,841.43
2026-03-20T16:05:59.6064819+00:00,72,838.44
2026-03-20T16:06:00.4449239+00:00,70,858.01
2026-03-20T16:06:01.3029380+00:00,67,894.42
2026-03-20T16:06:02.1973620+00:00,64,938.39
2026-03-20T16:06:03.1357515+00:00,62,969.76
2026-03-20T16:06:04.1055115+00:00,62,969.55
2026-03-20T16:06:05.0750604+00:00,63,947.80
2026-03-20T16:06:06.0228561+00:00,65,923.39
2026-03-20T16:06:06.9462426+00:00,67,894.44
2026-03-20T16:06:07.8406835+00:00,70,860.37
2026-03-20T16:06:08.7010491+00:00,72,833.56
2026-03-20T16:06:09.5346050+00:00,73,823.53
2026-03-20T16:06:10.3581394+00:00,72,832.89
2026-03-20T16:06:11.1910259+00:00,70,862.84
2026-03-20T16:06:12.0538702+00:00,66,908.62
2026-03-20T16:06:12.9624927+00:00,63,948.81
2026-03-20T16:06:13.9113031+00:00,63,959.07
2026-03-20T16:06:14.8703703+00:00,64,943.77
2026-03-20T16:06:15.8141421+00:00,65,918.89
2026-03-20T16:06:16.7330363+00:00,68,886.93
2026-03-20T16:06:17.6199623+00:00,70,854.03
2026-03-20T16:06:18.4739934+00:00,72,832.59
2026-03-20T16:06:19.3065833+00:00,73,826.67
2026-03-20T16:06:20.1332507+00:00,72,835.46
2026-03-20T16:06:20.9687097+00:00,70,862.04
2026-03-20T16:06:21.8307538+00:00,66,904.83
2026-03-20T16:06:22.7355862+00:00,63,946.02
2026-03-20T16:06:23.6816065+00:00,62,965.76
2026-03-20T16:06:24.6473667+00:00,62,964.42
2026-03-20T16:06:25.6117897+00:00,63,947.90
2026-03-20T16:06:26.5596924+00:00,66,915.70
2026-03-20T16:06:27.4753955+00:00,68,878.40
2026-03-20T16:06:28.3537993+00:00,70,851.34
2026-03-20T16:06:29.2051365+00:00,71,839.56
2026-03-20T16:06:30.0446948+00:00,71,846.47
2026-03-20T16:06:30.8911642+00:00,68,876.74
2026-03-20T16:06:31.7679071+00:00,65,923.15
2026-03-20T16:06:32.6910571+00:00,62,961.69
2026-03-20T16:06:33.6527436+00:00,62,973.45
2026-03-20T16:06:34.6261969+00:00,62,965.17
2026-03-20T16:06:35.5913663+00:00,63,946.07
2026-03-20T16:06:36.5374313+00:00,65,916.22
2026-03-20T16:06:37.4536469+00:00,68,882.33
2026-03-20T16:06:38.3359811+00:00,70,852.02
2026-03-20T16:06:39.1880017+00:00,72,830.68
2026-03-20T16:06:40.0186857+00:00,72,828.79
2026-03-20T16:06:40.8474784+00:00,70,854.75
2026-03-20T16:06:41.7022296+00:00,67,900.90
2026-03-20T16:06:42.6031275+00:00,64,942.44
2026-03-20T16:06:43.5455640+00:00,63,959.70
2026-03-20T16:06:44.5052616+00:00,63,953.92
2026-03-20T16:06:45.4591839+00:00,65,929.94
2026-03-20T16:06:46.3891203+00:00,67,895.70
2026-03-20T16:06:47.2848154+00:00,69,864.99
2026-03-20T16:06:48.1498032+00:00,71,841.77
2026-03-20T16:06:48.9915732+00:00,73,824.57
2026-03-20T16:06:49.8161467+00:00,73,821.05
2026-03-20T16:06:50.6371985+00:00,71,841.24
2026-03-20T16:06:51.4784412+00:00,68,881.00
2026-03-20T16:06:52.3594366+00:00,65,922.76
2026-03-20T16:06:53.2821950+00:00,63,952.39
2026-03-20T16:06:54.2345892+00:00,62,963.60
2026-03-20T16:06:55.1981869+00:00,63,950.41
2026-03-20T16:06:56.1485957+00:00,65,919.01
2026-03-20T16:06:57.0676015+00:00,68,886.45
2026-03-20T16:06:57.9540503+00:00,70,858.84
2026-03-20T16:06:58.8128854+00:00,72,837.93
2026-03-20T16:06:59.6508105+00:00,72,835.19
2026-03-20T16:07:00.4860008+00:00,70,859.02
2026-03-20T16:07:01.3450169+00:00,67,900.73
2026-03-20T16:07:02.2457519+00:00,64,941.23
2026-03-20T16:07:03.1869835+00:00,62,967.43
2026-03-20T16:07:04.1544091+00:00,62,975.10
2026-03-20T16:07:05.1295097+00:00,62,962.02
2026-03-20T16:07:06.0915331+00:00,64,935.29
2026-03-20T16:07:07.0268198+00:00,66,904.82
2026-03-20T16:07:07.9316447+00:00,69,870.62
2026-03-20T16:07:08.8022603+00:00,71,839.80
2026-03-20T16:07:09.6420569+00:00,72,830.51
2026-03-20T16:07:10.4725649+00:00,71,850.82
2026-03-20T16:07:11.3233817+00:00,67,890.89
2026-03-20T16:07:12.2142676+00:00,64,932.51
2026-03-20T16:07:13.1467745+00:00,62,961.25
2026-03-20T16:07:14.1080210+00:00,62,965.84
2026-03-20T16:07:15.0738599+00:00,64,943.36
2026-03-20T16:07:16.0172164+00:00,66,911.84
2026-03-20T16:07:16.9290579+00:00,68,884.51
2026-03-20T16:07:17.8135700+00:00,70,856.39
