device_address,device_alias,sensor_timestamp_ns,received_utc_ticks,sample_index,microvolts
,,92307692,0,0,1071
,,92307692,0,1,867
,,92307692,0,2,445
,,92307692,0,3,92
,,92307692,0,4,-105
,,92307692,0,5,-180
,,92307692,0,6,-164
,,92307692,0,7,-93
,,92307692,0,8,-18
,,92307692,0,9,28
,,92307692,0,10,42
,,92307692,0,11,45
,,92307692,0,12,53
,,192307692,0,0,66
,,192307692,0,1,78
,,192307692,0,2,82
,,192307692,0,3,86
,,192307692,0,4,96
,,192307692,0,5,112
,,192307692,0,6,131
,,192307692,0,7,150
,,192307692,0,8,171
,,192307692,0,9,195
,,192307692,0,10,216
,,192307692,0,11,233
,,192307692,0,12,251
,,292307692,0,0,275
,,292307692,0,1,302
,,292307692,0,2,322
,,292307692,0,3,329
,,292307692,0,4,330
,,292307692,0,5,331
,,292307692,0,6,334
,,292307692,0,7,331
,,292307692,0,8,321
,,292307692,0,9,306
,,292307692,0,10,289
,,292307692,0,11,267
,,292307692,0,12,241
,,392307692,0,0,216
,,392307692,0,1,197
,,392307692,0,2,182
,,392307692,0,3,164
,,392307692,0,4,139
,,392307692,0,5,115
,,392307692,0,6,99
,,392307692,0,7,91
,,392307692,0,8,85
,,392307692,0,9,76
,,392307692,0,10,67
,,392307692,0,11,60
,,392307692,0,12,54
,,492307692,0,0,49
,,492307692,0,1,45
,,492307692,0,2,47
,,492307692,0,3,52
,,492307692,0,4,52
,,492307692,0,5,45
,,492307692,0,6,37
,,492307692,0,7,36
,,492307692,0,8,43
,,492307692,0,9,48
,,492307692,0,10,47
,,492307692,0,11,43
,,492307692,0,12,40
,,592307692,0,0,40
,,592307692,0,1,40
,,592307692,0,2,39
,,592307692,0,3,42
,,592307692,0,4,47
,,592307692,0,5,47
,,592307692,0,6,40
,,592307692,0,7,34
,,592307692,0,8,35
,,592307692,0,9,43
,,592307692,0,10,48
,,592307692,0,11,45
,,592307692,0,12,39
,,692307692,0,0,37
,,692307692,0,1,38
,,692307692,0,2,39
,,692307692,0,3,39
,,692307692,0,4,41
,,692307692,0,5,56
,,692307692,0,6,63
,,692307692,0,7,67
,,692307692,0,8,74
,,692307692,0,9,90
,,692307692,0,10,111
,,692307692,0,11,126
,,692307692,0,12,129
,,792307692,0,0,123
,,792307692,0,1,117
,,792307692,0,2,110
,,792307692,0,3,101
,,792307692,0,4,88
,,792307692,0,5,75
,,792307692,0,6,65
,,792307692,0,7,55
,,792307692,0,8,43
,,792307692,0,9,35
,,792307692,0,10,36
,,792307692,0,11,42
,,792307692,0,12,44
,,892307692,0,0,38
,,892307692,0,1,25
,,892307692,0,2,-2
,,892307692,0,3,-55
,,892307692,0,4,-104
,,892307692,0,5,-84
,,892307692,0,6,4
,,892307692,0,7,151
,,892307692,0,8,426
,,892307692,0,9,806
,,892307692,0,10,1039
,,892307692,0,11,896
,,892307692,0,12,501
,,992307692,0,0,133
,,992307692,0,1,-90
,,992307692,0,2,-189
,,992307692,0,3,-187
,,992307692,0,4,-118
,,992307692,0,5,-40
,,992307692,0,6,10
,,992307692,0,7,30
,,992307692,0,8,38
,,992307692,0,9,43
,,992307692,0,10,46
,,992307692,0,11,51
,,992307692,0,12,62
,,1092307692,0,0,77
,,1092307692,0,1,90
,,1092307692,0,2,97
,,1092307692,0,3,105
,,1092307692,0,4,123
,,1092307692,0,5,150
,,1092307692,0,6,176
,,1092307692,0,7,197
,,1092307692,0,8,214
,,1092307692,0,9,234
,,1092307692,0,10,255
,,1092307692,0,11,274
,,1092307692,0,12,291
