timestamp_utc,heart_rate_bpm,rr_interval_ms
2026-03-22T14:14:28.3847721+00:00,68,878.08
2026-03-22T14:14:29.2628474+00:00,69,872.51
2026-03-22T14:14:30.1353562+00:00,70,859.72
2026-03-22T14:14:30.9950751+00:00,71,849.27
2026-03-22T14:14:31.8443500+00:00,71,847.75
2026-03-22T14:14:32.6921037+00:00,70,861.10
2026-03-22T14:14:33.5532051+00:00,68,876.06
2026-03-22T14:14:34.4292620+00:00,68,877.41
2026-03-22T14:14:35.3066744+00:00,69,865.20
2026-03-22T14:14:36.1718734+00:00,70,852.60
2026-03-22T14:14:37.0244732+00:00,70,857.33
2026-03-22T14:14:37.8818050+00:00,69,873.76
2026-03-22T14:14:38.7555662+00:00,68,881.01
2026-03-22T14:14:39.6365725+00:00,68,878.74
2026-03-22T14:14:40.5153163+00:00,69,873.30
2026-03-22T14:14:41.3886194+00:00,69,866.45
2026-03-22T14:14:42.2550684+00:00,69,870.07
2026-03-22T14:14:43.1251335+00:00,68,882.39
2026-03-22T14:14:44.0075186+00:00,68,887.73
2026-03-22T14:14:44.8952448+00:00,68,880.84
2026-03-22T14:14:45.7760802+00:00,69,870.69
2026-03-22T14:14:46.6467711+00:00,69,870.95
2026-03-22T14:14:47.5177247+00:00,68,882.53
2026-03-22T14:14:48.4002574+00:00,68,887.51
2026-03-22T14:14:49.2877702+00:00,68,880.95
2026-03-22T14:14:50.1687174+00:00,69,873.35
2026-03-22T14:14:51.0420675+00:00,69,865.98
2026-03-22T14:14:51.9080468+00:00,69,866.43
2026-03-22T14:14:52.7744721+00:00,68,879.80
2026-03-22T14:14:53.6542716+00:00,68,886.74
2026-03-22T14:14:54.5410073+00:00,69,874.43
2026-03-22T14:14:55.4154334+00:00,70,857.78
2026-03-22T14:14:56.2732145+00:00,70,852.45
2026-03-22T14:14:57.1256625+00:00,70,862.83
2026-03-22T14:14:57.9884963+00:00,68,876.08
2026-03-22T14:14:58.8645762+00:00,68,876.98
2026-03-22T14:14:59.7415565+00:00,69,868.08
2026-03-22T14:15:00.6096413+00:00,70,853.51
2026-03-22T14:15:01.4631482+00:00,71,843.48
2026-03-22T14:15:02.3066244+00:00,70,854.75
2026-03-22T14:15:03.1613718+00:00,69,874.52
2026-03-22T14:15:04.0358965+00:00,68,877.13
2026-03-22T14:15:04.9130246+00:00,69,864.43
2026-03-22T14:15:05.7774515+00:00,70,851.62
2026-03-22T14:15:06.6290700+00:00,71,848.98
2026-03-22T14:15:07.4780493+00:00,70,859.59
2026-03-22T14:15:08.3376381+00:00,69,873.27
2026-03-22T14:15:09.2109042+00:00,68,878.94
2026-03-22T14:15:10.0898434+00:00,69,873.10
2026-03-22T14:15:10.9629423+00:00,70,859.56
2026-03-22T14:15:11.8225049+00:00,70,857.21
2026-03-22T14:15:12.6797198+00:00,69,872.15
2026-03-22T14:15:13.5518697+00:00,68,884.04
2026-03-22T14:15:14.4359131+00:00,68,881.31
2026-03-22T14:15:15.3172221+00:00,69,874.69
2026-03-22T14:15:16.1919155+00:00,69,870.09
2026-03-22T14:15:17.0620075+00:00,69,872.24
2026-03-22T14:15:17.9342493+00:00,68,881.42
2026-03-22T14:15:18.8156733+00:00,68,886.64
2026-03-22T14:15:19.7023091+00:00,68,882.94
2026-03-22T14:15:20.5852457+00:00,69,872.73
2026-03-22T14:15:21.4579758+00:00,69,867.51
2026-03-22T14:15:22.3254897+00:00,68,878.53
2026-03-22T14:15:23.2040217+00:00,67,889.35
2026-03-22T14:15:24.0933691+00:00,68,882.22
2026-03-22T14:15:24.9755899+00:00,69,870.85
2026-03-22T14:15:25.8464441+00:00,69,863.87
2026-03-22T14:15:26.7103143+00:00,69,863.42
2026-03-22T14:15:27.5737350+00:00,69,873.83
2026-03-22T14:15:28.4475670+00:00,68,883.45
2026-03-22T14:15:29.3310142+00:00,68,877.96
2026-03-22T14:15:30.2089735+00:00,70,860.62
2026-03-22T14:15:31.0695978+00:00,71,847.66
2026-03-22T14:15:31.9172551+00:00,70,854.65
2026-03-22T14:15:32.7719092+00:00,69,872.27
2026-03-22T14:15:33.6441779+00:00,68,877.45
2026-03-22T14:15:34.5216254+00:00,69,869.06
2026-03-22T14:15:35.3906819+00:00,70,856.83
2026-03-22T14:15:36.2475154+00:00,71,845.74
2026-03-22T14:15:37.0932541+00:00,71,848.87
2026-03-22T14:15:37.9421223+00:00,69,867.31
2026-03-22T14:15:38.8094307+00:00,68,878.89
2026-03-22T14:15:39.6883222+00:00,69,871.44
