device_address,device_alias,sensor_timestamp_ns,received_utc_ticks,sample_index,microvolts
,,92307692,0,0,1081
,,92307692,0,1,876
,,92307692,0,2,452
,,92307692,0,3,98
,,92307692,0,4,-99
,,92307692,0,5,-174
,,92307692,0,6,-159
,,92307692,0,7,-88
,,92307692,0,8,-12
,,92307692,0,9,33
,,92307692,0,10,48
,,92307692,0,11,51
,,92307692,0,12,59
,,192307692,0,0,72
,,192307692,0,1,83
,,192307692,0,2,88
,,192307692,0,3,92
,,192307692,0,4,101
,,192307692,0,5,118
,,192307692,0,6,136
,,192307692,0,7,156
,,192307692,0,8,177
,,192307692,0,9,201
,,192307692,0,10,222
,,192307692,0,11,239
,,192307692,0,12,257
,,292307692,0,0,282
,,292307692,0,1,309
,,292307692,0,2,328
,,292307692,0,3,336
,,292307692,0,4,337
,,292307692,0,5,338
,,292307692,0,6,340
,,292307692,0,7,338
,,292307692,0,8,328
,,292307692,0,9,313
,,292307692,0,10,296
,,292307692,0,11,274
,,292307692,0,12,248
,,392307692,0,0,222
,,392307692,0,1,203
,,392307692,0,2,189
,,392307692,0,3,171
,,392307692,0,4,146
,,392307692,0,5,121
,,392307692,0,6,105
,,392307692,0,7,98
,,392307692,0,8,92
,,392307692,0,9,83
,,392307692,0,10,73
,,392307692,0,11,66
,,392307692,0,12,61
,,492307692,0,0,55
,,492307692,0,1,51
,,492307692,0,2,53
,,492307692,0,3,58
,,492307692,0,4,59
,,492307692,0,5,52
,,492307692,0,6,44
,,492307692,0,7,43
,,492307692,0,8,50
,,492307692,0,9,55
,,492307692,0,10,54
,,492307692,0,11,50
,,492307692,0,12,48
,,592307692,0,0,48
,,592307692,0,1,47
,,592307692,0,2,47
,,592307692,0,3,50
,,592307692,0,4,55
,,592307692,0,5,55
,,592307692,0,6,49
,,592307692,0,7,42
,,592307692,0,8,43
,,592307692,0,9,51
,,592307692,0,10,56
,,592307692,0,11,54
,,592307692,0,12,48
,,692307692,0,0,45
,,692307692,0,1,47
,,692307692,0,2,48
,,692307692,0,3,49
,,692307692,0,4,51
,,692307692,0,5,53
,,692307692,0,6,53
,,692307692,0,7,47
,,692307692,0,8,41
,,692307692,0,9,44
,,692307692,0,10,52
,,692307692,0,11,56
,,692307692,0,12,53
,,792307692,0,0,46
,,792307692,0,1,43
,,792307692,0,2,46
,,792307692,0,3,66
,,792307692,0,4,76
,,792307692,0,5,88
,,792307692,0,6,103
,,792307692,0,7,115
,,792307692,0,8,122
,,792307692,0,9,127
,,792307692,0,10,133
,,792307692,0,11,139
,,792307692,0,12,134
,,892307692,0,0,118
,,892307692,0,1,97
,,892307692,0,2,81
,,892307692,0,3,74
,,892307692,0,4,68
,,892307692,0,5,62
,,892307692,0,6,56
,,892307692,0,7,52
,,892307692,0,8,49
,,892307692,0,9,45
,,892307692,0,10,42
,,892307692,0,11,42
,,892307692,0,12,33
,,992307692,0,0,-12
,,992307692,0,1,-81
,,992307692,0,2,-98
,,992307692,0,3,-29
,,992307692,0,4,102
,,992307692,0,5,333
,,992307692,0,6,700
,,992307692,0,7,1021
,,992307692,0,8,1008
,,992307692,0,9,655
,,992307692,0,10,246
,,992307692,0,11,-26
,,992307692,0,12,-152
,,1092307692,0,0,-172
,,1092307692,0,1,-123
,,1092307692,0,2,-54
,,1092307692,0,3,-1
,,1092307692,0,4,31
,,1092307692,0,5,51
,,1092307692,0,6,63
,,1092307692,0,7,66
,,1092307692,0,8,67
,,1092307692,0,9,72
,,1092307692,0,10,81
,,1092307692,0,11,92
,,1092307692,0,12,106
,,1192307692,0,0,123
,,1192307692,0,1,144
,,1192307692,0,2,164
,,1192307692,0,3,178
,,1192307692,0,4,194
,,1192307692,0,5,218
,,1192307692,0,6,248
,,1192307692,0,7,275
,,1192307692,0,8,293
,,1192307692,0,9,303
,,1192307692,0,10,315
,,1192307692,0,11,326
,,1192307692,0,12,334
,,1292307692,0,0,336
,,1292307692,0,1,333
,,1292307692,0,2,327
,,1292307692,0,3,313
,,1292307692,0,4,291
,,1292307692,0,5,268
,,1292307692,0,6,249
,,1292307692,0,7,234
,,1292307692,0,8,216
,,1292307692,0,9,189
,,1292307692,0,10,161
,,1292307692,0,11,138
,,1292307692,0,12,123
,,1392307692,0,0,111
,,1392307692,0,1,98
,,1392307692,0,2,86
,,1392307692,0,3,76
,,1392307692,0,4,67
,,1392307692,0,5,57
,,1392307692,0,6,48
,,1392307692,0,7,47
,,1392307692,0,8,52
,,1392307692,0,9,53
,,1392307692,0,10,47
,,1392307692,0,11,38
,,1392307692,0,12,35
,,1492307692,0,0,39
,,1492307692,0,1,43
,,1492307692,0,2,44
,,1492307692,0,3,41
,,1492307692,0,4,40
,,1492307692,0,5,39
,,1492307692,0,6,36
,,1492307692,0,7,34
,,1492307692,0,8,38
,,1492307692,0,9,44
,,1492307692,0,10,46
,,1492307692,0,11,40
,,1492307692,0,12,32
,,1592307692,0,0,31
,,1592307692,0,1,37
,,1592307692,0,2,43
,,1592307692,0,3,43
,,1592307692,0,4,39
,,1592307692,0,5,36
,,1592307692,0,6,36
,,1592307692,0,7,35
,,1592307692,0,8,35
,,1592307692,0,9,37
,,1592307692,0,10,42
,,1592307692,0,11,43
,,1592307692,0,12,37
,,1692307692,0,0,30
,,1692307692,0,1,30
,,1692307692,0,2,37
,,1692307692,0,3,43
,,1692307692,0,4,41
,,1692307692,0,5,35
,,1692307692,0,6,32
,,1692307692,0,7,33
,,1692307692,0,8,34
,,1692307692,0,9,35
,,1692307692,0,10,52
,,1692307692,0,11,64
,,1692307692,0,12,75
,,1792307692,0,0,82
,,1792307692,0,1,89
,,1792307692,0,2,102
,,1792307692,0,3,118
,,1792307692,0,4,127
,,1792307692,0,5,122
,,1792307692,0,6,108
,,1792307692,0,7,94
,,1792307692,0,8,83
,,1792307692,0,9,73
,,1792307692,0,10,62
,,1792307692,0,11,53
