timestamp_utc,heart_rate_bpm,rr_interval_ms
2026-03-22T14:14:28.7719856+00:00,63,957.59
2026-03-22T14:14:29.7295791+00:00,63,954.43
2026-03-22T14:14:30.6840107+00:00,64,933.61
2026-03-22T14:14:31.6176205+00:00,66,905.68
2026-03-22T14:14:32.5232982+00:00,69,872.23
2026-03-22T14:14:33.3955249+00:00,71,843.20
2026-03-22T14:14:34.2387233+00:00,72,828.30
2026-03-22T14:14:35.0670184+00:00,72,828.74
2026-03-22T14:14:35.8957548+00:00,71,845.04
2026-03-22T14:14:36.7407903+00:00,68,879.53
2026-03-22T14:14:37.6203185+00:00,65,924.49
2026-03-22T14:14:38.5448108+00:00,63,957.93
2026-03-22T14:14:39.5027393+00:00,62,967.06
2026-03-22T14:14:40.4698007+00:00,63,959.15
2026-03-22T14:14:41.4289541+00:00,64,936.12
2026-03-22T14:14:42.3650754+00:00,67,899.22
2026-03-22T14:14:43.2642909+00:00,69,864.13
2026-03-22T14:14:44.1284247+00:00,71,843.53
2026-03-22T14:14:44.9719539+00:00,71,839.88
2026-03-22T14:14:45.8118299+00:00,70,856.64
2026-03-22T14:14:46.6684734+00:00,67,895.75
2026-03-22T14:14:47.5642186+00:00,64,942.48
2026-03-22T14:14:48.5066968+00:00,62,970.09
2026-03-22T14:14:49.4767893+00:00,62,971.47
2026-03-22T14:14:50.4482601+00:00,63,958.46
2026-03-22T14:14:51.4067180+00:00,64,933.62
2026-03-22T14:14:52.3403337+00:00,67,900.01
2026-03-22T14:14:53.2403448+00:00,69,867.72
2026-03-22T14:14:54.1080645+00:00,71,841.43
2026-03-22T14:14:54.9494969+00:00,73,826.73
2026-03-22T14:14:55.7762247+00:00,72,836.06
2026-03-22T14:14:56.6122830+00:00,69,873.36
2026-03-22T14:14:57.4856474+00:00,65,921.36
2026-03-22T14:14:58.4070078+00:00,63,953.43
2026-03-22T14:14:59.3604393+00:00,63,959.71
2026-03-22T14:15:00.3201535+00:00,63,945.02
2026-03-22T14:15:01.2651686+00:00,66,914.99
2026-03-22T14:15:02.1801580+00:00,68,881.94
2026-03-22T14:15:03.0621019+00:00,70,855.52
2026-03-22T14:15:03.9176194+00:00,72,834.15
2026-03-22T14:15:04.7517653+00:00,73,820.62
2026-03-22T14:15:05.5723823+00:00,73,827.24
2026-03-22T14:15:06.3996271+00:00,70,858.37
2026-03-22T14:15:07.2579931+00:00,67,901.28
2026-03-22T14:15:08.1592736+00:00,64,938.10
2026-03-22T14:15:09.0973706+00:00,63,959.91
2026-03-22T14:15:10.0572810+00:00,62,961.13
2026-03-22T14:15:11.0184081+00:00,64,938.52
2026-03-22T14:15:11.9569327+00:00,66,904.60
2026-03-22T14:15:12.8615279+00:00,69,873.33
2026-03-22T14:15:13.7348606+00:00,71,847.37
2026-03-22T14:15:14.5822305+00:00,72,833.30
2026-03-22T14:15:15.4155329+00:00,71,842.87
2026-03-22T14:15:16.2584074+00:00,68,876.32
2026-03-22T14:15:17.1347251+00:00,65,918.77
2026-03-22T14:15:18.0534919+00:00,63,953.67
2026-03-22T14:15:19.0071587+00:00,62,973.08
2026-03-22T14:15:19.9802379+00:00,62,971.80
2026-03-22T14:15:20.9520392+00:00,63,950.46
2026-03-22T14:15:21.9024993+00:00,65,921.29
2026-03-22T14:15:22.8237943+00:00,67,889.83
2026-03-22T14:15:23.7136222+00:00,70,855.81
2026-03-22T14:15:24.5694358+00:00,72,832.40
2026-03-22T14:15:25.4018358+00:00,72,835.60
2026-03-22T14:15:26.2374407+00:00,69,865.77
2026-03-22T14:15:27.1032113+00:00,66,909.03
2026-03-22T14:15:28.0122427+00:00,63,947.82
2026-03-22T14:15:28.9600598+00:00,62,967.27
2026-03-22T14:15:29.9273311+00:00,63,958.32
2026-03-22T14:15:30.8856509+00:00,65,929.60
2026-03-22T14:15:31.8152523+00:00,67,900.47
2026-03-22T14:15:32.7157194+00:00,69,873.53
2026-03-22T14:15:33.5892452+00:00,71,843.98
2026-03-22T14:15:34.4332251+00:00,73,821.55
2026-03-22T14:15:35.2547707+00:00,73,820.37
2026-03-22T14:15:36.0751375+00:00,71,842.46
2026-03-22T14:15:36.9175947+00:00,68,879.55
2026-03-22T14:15:37.7971452+00:00,65,921.03
2026-03-22T14:15:38.7181776+00:00,63,953.70
2026-03-22T14:15:39.6718752+00:00,62,960.39
2026-03-22T14:15:40.6322613+00:00,64,939.64
2026-03-22T14:15:41.5719044+00:00,66,910.15
2026-03-22T14:15:42.4820529+00:00,68,880.00
2026-03-22T14:15:43.3620526+00:00,71,849.50
2026-03-22T14:15:44.2115546+00:00,72,829.84
