device_address,device_alias,sensor_timestamp_ns,received_utc_ticks,sample_index,microvolts
,,92307692,0,0,1033
,,92307692,0,1,825
,,92307692,0,2,404
,,92307692,0,3,55
,,92307692,0,4,-138
,,92307692,0,5,-212
,,92307692,0,6,-196
,,92307692,0,7,-127
,,92307692,0,8,-55
,,92307692,0,9,-13
,,92307692,0,10,2
,,92307692,0,11,9
,,92307692,0,12,21
,,192307692,0,0,33
,,192307692,0,1,39
,,192307692,0,2,40
,,192307692,0,3,44
,,192307692,0,4,57
,,192307692,0,5,75
,,192307692,0,6,94
,,192307692,0,7,111
,,192307692,0,8,131
,,192307692,0,9,152
,,192307692,0,10,171
,,192307692,0,11,189
,,192307692,0,12,211
,,292307692,0,0,238
,,292307692,0,1,263
,,292307692,0,2,277
,,292307692,0,3,281
,,292307692,0,4,283
,,292307692,0,5,289
,,292307692,0,6,293
,,292307692,0,7,290
,,292307692,0,8,277
,,292307692,0,9,260
,,292307692,0,10,241
,,292307692,0,11,220
,,292307692,0,12,195
,,392307692,0,0,173
,,392307692,0,1,156
,,392307692,0,2,139
,,392307692,0,3,115
,,392307692,0,4,88
,,392307692,0,5,66
,,392307692,0,6,55
,,392307692,0,7,49
,,392307692,0,8,41
,,392307692,0,9,28
,,392307692,0,10,17
,,392307692,0,11,10
,,392307692,0,12,6
,,492307692,0,0,2
,,492307692,0,1,0
,,492307692,0,2,2
,,492307692,0,3,3
,,492307692,0,4,-1
,,492307692,0,5,-9
,,492307692,0,6,-14
,,492307692,0,7,-10
,,492307692,0,8,-2
,,492307692,0,9,-1
,,492307692,0,10,-6
,,492307692,0,11,-11
,,492307692,0,12,-12
,,592307692,0,0,-11
,,592307692,0,1,-10
,,592307692,0,2,-9
,,592307692,0,3,-7
,,592307692,0,4,-6
,,592307692,0,5,-9
,,592307692,0,6,-16
,,592307692,0,7,-19
,,592307692,0,8,-13
,,592307692,0,9,-6
,,592307692,0,10,-6
,,592307692,0,11,-12
,,592307692,0,12,-19
,,692307692,0,0,-19
,,692307692,0,1,-15
,,692307692,0,2,-13
,,692307692,0,3,-13
,,692307692,0,4,-13
,,692307692,0,5,-13
,,692307692,0,6,-16
,,692307692,0,7,-22
,,692307692,0,8,-23
,,692307692,0,9,-5
,,692307692,0,10,8
,,692307692,0,11,17
,,692307692,0,12,21
,,792307692,0,0,28
,,792307692,0,1,42
,,792307692,0,2,57
,,792307692,0,3,66
,,792307692,0,4,66
,,792307692,0,5,60
,,792307692,0,6,50
,,792307692,0,7,36
,,792307692,0,8,19
,,792307692,0,9,6
,,792307692,0,10,1
,,792307692,0,11,-2
,,792307692,0,12,-9
,,892307692,0,0,-21
,,892307692,0,1,-30
,,892307692,0,2,-28
,,892307692,0,3,-23
,,892307692,0,4,-21
,,892307692,0,5,-29
,,892307692,0,6,-58
,,892307692,0,7,-115
,,892307692,0,8,-164
,,892307692,0,9,-143
,,892307692,0,10,-55
,,892307692,0,11,94
,,892307692,0,12,368
,,992307692,0,0,730
,,992307692,0,1,928
,,992307692,0,2,765
,,992307692,0,3,382
,,992307692,0,4,46
,,992307692,0,5,-150
,,992307692,0,6,-235
,,992307692,0,7,-233
,,992307692,0,8,-173
,,992307692,0,9,-103
,,992307692,0,10,-57
,,992307692,0,11,-35
,,992307692,0,12,-23
,,1092307692,0,0,-16
,,1092307692,0,1,-14
,,1092307692,0,2,-15
,,1092307692,0,3,-12
,,1092307692,0,4,2
,,1092307692,0,5,21
,,1092307692,0,6,36
,,1092307692,0,7,45
,,1092307692,0,8,56
,,1092307692,0,9,74
,,1092307692,0,10,97
,,1092307692,0,11,120
,,1092307692,0,12,142
,,1192307692,0,0,164
,,1192307692,0,1,185
,,1192307692,0,2,200
,,1192307692,0,3,209
,,1192307692,0,4,218
,,1192307692,0,5,232
,,1192307692,0,6,242
,,1192307692,0,7,242
,,1192307692,0,8,230
,,1192307692,0,9,214
,,1192307692,0,10,201
,,1192307692,0,11,189
,,1192307692,0,12,173
,,1292307692,0,0,152
,,1292307692,0,1,130
,,1292307692,0,2,108
,,1292307692,0,3,85
,,1292307692,0,4,61
,,1292307692,0,5,42
,,1292307692,0,6,31
,,1292307692,0,7,23
,,1292307692,0,8,10
,,1292307692,0,9,-8
,,1292307692,0,10,-22
,,1292307692,0,11,-28
,,1292307692,0,12,-27
,,1392307692,0,0,-28
,,1392307692,0,1,-33
,,1392307692,0,2,-37
,,1392307692,0,3,-40
,,1392307692,0,4,-43
,,1392307692,0,5,-46
,,1392307692,0,6,-47
,,1392307692,0,7,-42
,,1392307692,0,8,-38
,,1392307692,0,9,-39
,,1392307692,0,10,-47
,,1392307692,0,11,-52
,,1392307692,0,12,-49
,,1492307692,0,0,-42
,,1492307692,0,1,-39
,,1492307692,0,2,-42
,,1492307692,0,3,-46
,,1492307692,0,4,-47
,,1492307692,0,5,-47
,,1492307692,0,6,-47
,,1492307692,0,7,-46
,,1492307692,0,8,-42
,,1492307692,0,9,-38
,,1492307692,0,10,-41
,,1492307692,0,11,-33
,,1492307692,0,12,-29
,,1592307692,0,0,-14
,,1592307692,0,1,6
,,1592307692,0,2,21
,,1592307692,0,3,28
,,1592307692,0,4,31
,,1592307692,0,5,33
,,1592307692,0,6,34
,,1592307692,0,7,29
,,1592307692,0,8,19
,,1592307692,0,9,10
,,1592307692,0,10,-1
,,1592307692,0,11,-14
,,1592307692,0,12,-30
,,1692307692,0,0,-39
,,1692307692,0,1,-39
,,1692307692,0,2,-33
,,1692307692,0,3,-33
,,1692307692,0,4,-40
,,1692307692,0,5,-46
,,1692307692,0,6,-49
,,1692307692,0,7,-57
,,1692307692,0,8,-95
,,1692307692,0,9,-153
,,1692307692,0,10,-168
,,1692307692,0,11,-108
,,1692307692,0,12,-1
,,1792307692,0,0,189
,,1792307692,0,1,515
,,1792307692,0,2,833
,,1792307692,0,3,864
,,1792307692,0,4,563
,,1792307692,0,5,177
,,1792307692,0,6,-90
,,1792307692,0,7,-218
,,1792307692,0,8,-243
,,1792307692,0,9,-200
,,1792307692,0,10,-131
,,1792307692,0,11,-75
,,1792307692,0,12,-44
,,1892307692,0,0,-33
,,1892307692,0,1,-30
,,1892307692,0,2,-25
,,1892307692,0,3,-15
,,1892307692,0,4,-1
,,1892307692,0,5,7
,,1892307692,0,6,9
,,1892307692,0,7,15
,,1892307692,0,8,31
,,1892307692,0,9,54
,,1892307692,0,10,76
,,1892307692,0,11,93
,,1892307692,0,12,111
,,1992307692,0,0,130
,,1992307692,0,1,151
,,1992307692,0,2,170
,,1992307692,0,3,189
,,1992307692,0,4,210
,,1992307692,0,5,229
,,1992307692,0,6,237
,,1992307692,0,7,235
,,1992307692,0,8,232
,,1992307692,0,9,232
,,1992307692,0,10,233
,,1992307692,0,11,226
,,1992307692,0,12,208
,,2092307692,0,0,187
,,2092307692,0,1,166
,,2092307692,0,2,148
,,2092307692,0,3,128
,,2092307692,0,4,108
,,2092307692,0,5,92
,,2092307692,0,6,78
,,2092307692,0,7,59
,,2092307692,0,8,38
,,2092307692,0,9,21
,,2092307692,0,10,15
,,2092307692,0,11,15
,,2092307692,0,12,11
,,2192307692,0,0,0
,,2192307692,0,1,-10
,,2192307692,0,2,-14
,,2192307692,0,3,-14
,,2192307692,0,4,-13
,,2192307692,0,5,-13
,,2192307692,0,6,-12
,,2192307692,0,7,-11
,,2192307692,0,8,-13
,,2192307692,0,9,-19
,,2192307692,0,10,-22
,,2192307692,0,11,-17
,,2192307692,0,12,-8
,,2292307692,0,0,-6
,,2292307692,0,1,-12
,,2292307692,0,2,-18
,,2292307692,0,3,-18
,,2292307692,0,4,-13
,,2292307692,0,5,-9
,,2292307692,0,6,-8
,,2292307692,0,7,-8
,,2292307692,0,8,-8
,,2292307692,0,9,-9
,,2292307692,0,10,3
,,2292307692,0,11,11
,,2292307692,0,12,28
,,2392307692,0,0,48
,,2392307692,0,1,62
,,2392307692,0,2,67
,,2392307692,0,3,68
,,2392307692,0,4,73
,,2392307692,0,5,77
,,2392307692,0,6,73
,,2392307692,0,7,62
,,2392307692,0,8,47
,,2392307692,0,9,34
,,2392307692,0,10,22
,,2392307692,0,11,11
,,2392307692,0,12,4
,,2492307692,0,0,5
,,2492307692,0,1,9
,,2492307692,0,2,7
,,2492307692,0,3,-1
,,2492307692,0,4,-7
,,2492307692,0,5,-8
,,2492307692,0,6,-16
,,2492307692,0,7,-59
,,2492307692,0,8,-120
,,2492307692,0,9,-127
,,2492307692,0,10,-59
,,2492307692,0,11,63
,,2492307692,0,12,284
,,2592307692,0,0,636
,,2592307692,0,1,936
,,2592307692,0,2,908
,,2592307692,0,3,564
,,2592307692,0,4,176
,,2592307692,0,5,-76
,,2592307692,0,6,-189
,,2592307692,0,7,-200
,,2592307692,0,8,-148
,,2592307692,0,9,-80
,,2592307692,0,10,-30
,,2592307692,0,11,-2
,,2592307692,0,12,12
,,2692307692,0,0,19
,,2692307692,0,1,25
,,2692307692,0,2,33
,,2692307692,0,3,43
,,2692307692,0,4,50
,,2692307692,0,5,54
,,2692307692,0,6,63
,,2692307692,0,7,82
,,2692307692,0,8,107
,,2692307692,0,9,128
,,2692307692,0,10,143
,,2692307692,0,11,157
,,2692307692,0,12,178
,,2792307692,0,0,203
,,2792307692,0,1,227
,,2792307692,0,2,246
,,2792307692,0,3,263
,,2792307692,0,4,277
,,2792307692,0,5,285
,,2792307692,0,6,285
,,2792307692,0,7,284
,,2792307692,0,8,285
,,2792307692,0,9,284
,,2792307692,0,10,274
,,2792307692,0,11,252
,,2792307692,0,12,227
,,2892307692,0,0,207
,,2892307692,0,1,191
,,2892307692,0,2,174
,,2892307692,0,3,153
,,2892307692,0,4,131
,,2892307692,0,5,112
,,2892307692,0,6,94
,,2892307692,0,7,76
,,2892307692,0,8,62
,,2892307692,0,9,56
,,2892307692,0,10,53
,,2892307692,0,11,46
,,2892307692,0,12,34
,,2992307692,0,0,22
,,2992307692,0,1,20
,,2992307692,0,2,24
,,2992307692,0,3,26
,,2992307692,0,4,24
,,2992307692,0,5,20
,,2992307692,0,6,18
,,2992307692,0,7,17
,,2992307692,0,8,14
,,2992307692,0,9,14
,,2992307692,0,10,18
,,2992307692,0,11,23
,,2992307692,0,12,23
,,3092307692,0,0,16
,,3092307692,0,1,10
,,3092307692,0,2,12
,,3092307692,0,3,20
,,3092307692,0,4,24
,,3092307692,0,5,21
,,3092307692,0,6,16
,,3092307692,0,7,14
,,3092307692,0,8,15
,,3092307692,0,9,16
,,3092307692,0,10,16
,,3092307692,0,11,31
,,3092307692,0,12,42
,,3192307692,0,0,50
,,3192307692,0,1,56
,,3192307692,0,2,64
,,3192307692,0,3,80
,,3192307692,0,4,99
,,3192307692,0,5,110
,,3192307692,0,6,107
,,3192307692,0,7,96
,,3192307692,0,8,85
,,3192307692,0,9,76
,,3192307692,0,10,64
,,3192307692,0,11,52
,,3192307692,0,12,42
,,3292307692,0,0,36
,,3292307692,0,1,27
,,3292307692,0,2,18
,,3292307692,0,3,11
,,3292307692,0,4,14
,,3292307692,0,5,21
,,3292307692,0,6,23
,,3292307692,0,7,12
,,3292307692,0,8,-20
,,3292307692,0,9,-78
,,3292307692,0,10,-126
,,3292307692,0,11,-102
,,3292307692,0,12,-14
,,3392307692,0,0,132
,,3392307692,0,1,404
,,3392307692,0,2,780
,,3392307692,0,3,1004
,,3392307692,0,4,855
,,3392307692,0,5,463
,,3392307692,0,6,108
,,3392307692,0,7,-103
,,3392307692,0,8,-198
,,3392307692,0,9,-201
,,3392307692,0,10,-139
,,3392307692,0,11,-62
,,3392307692,0,12,-9
,,3492307692,0,0,14
,,3492307692,0,1,21
,,3492307692,0,2,25
,,3492307692,0,3,29
,,3492307692,0,4,32
,,3492307692,0,5,39
,,3492307692,0,6,53
,,3492307692,0,7,70
,,3492307692,0,8,84
,,3492307692,0,9,92
,,3492307692,0,10,103
,,3492307692,0,11,123
,,3492307692,0,12,151
,,3592307692,0,0,177
,,3592307692,0,1,197
,,3592307692,0,2,215
,,3592307692,0,3,233
,,3592307692,0,4,252
,,3592307692,0,5,267
,,3592307692,0,6,280
,,3592307692,0,7,291
,,3592307692,0,8,300
,,3592307692,0,9,298
,,3592307692,0,10,285
,,3592307692,0,11,270
,,3592307692,0,12,258
,,3692307692,0,0,249
,,3692307692,0,1,234
,,3692307692,0,2,209
,,3692307692,0,3,181
,,3692307692,0,4,157
,,3692307692,0,5,136
,,3692307692,0,6,117
,,3692307692,0,7,99
,,3692307692,0,8,84
,,3692307692,0,9,71
,,3692307692,0,10,57
,,3692307692,0,11,40
,,3692307692,0,12,26
,,3792307692,0,0,22
,,3792307692,0,1,24
,,3792307692,0,2,23
,,3792307692,0,3,15
,,3792307692,0,4,6
,,3792307692,0,5,2
,,3792307692,0,6,3
,,3792307692,0,7,5
,,3792307692,0,8,5
,,3792307692,0,9,5
,,3792307692,0,10,5
,,3792307692,0,11,3
,,3792307692,0,12,-2
,,3892307692,0,0,-6
,,3892307692,0,1,-2
,,3892307692,0,2,6
,,3892307692,0,3,8
,,3892307692,0,4,2
,,3892307692,0,5,-5
,,3892307692,0,6,-7
,,3892307692,0,7,-2
,,3892307692,0,8,2
,,3892307692,0,9,2
,,3892307692,0,10,0
,,3892307692,0,11,0
,,3892307692,0,12,-2
,,3992307692,0,0,13
,,3992307692,0,1,20
,,3992307692,0,2,36
,,3992307692,0,3,56
,,3992307692,0,4,70
,,3992307692,0,5,75
,,3992307692,0,6,75
,,3992307692,0,7,77
,,3992307692,0,8,79
,,3992307692,0,9,76
,,3992307692,0,10,63
,,3992307692,0,11,46
,,3992307692,0,12,31
,,4092307692,0,0,19
,,4092307692,0,1,8
,,4092307692,0,2,1
,,4092307692,0,3,0
,,4092307692,0,4,2
,,4092307692,0,5,1
,,4092307692,0,6,-7
,,4092307692,0,7,-15
,,4092307692,0,8,-18
,,4092307692,0,9,-31
,,4092307692,0,10,-80
,,4092307692,0,11,-139
,,4092307692,0,12,-136
,,4192307692,0,0,-58
,,4192307692,0,1,78
,,4192307692,0,2,330
,,4192307692,0,3,705
,,4192307692,0,4,979
,,4192307692,0,5,890
,,4192307692,0,6,508
,,4192307692,0,7,120
,,4192307692,0,8,-121
,,4192307692,0,9,-223
,,4192307692,0,10,-223
,,4192307692,0,11,-161
,,4192307692,0,12,-91
,,4292307692,0,0,-45
,,4292307692,0,1,-21
,,4292307692,0,2,-8
,,4292307692,0,3,-1
,,4292307692,0,4,5
,,4292307692,0,5,12
,,4292307692,0,6,21
,,4292307692,0,7,29
,,4292307692,0,8,34
,,4292307692,0,9,43
,,4292307692,0,10,61
,,4292307692,0,11,87
,,4292307692,0,12,109
,,4392307692,0,0,125
,,4392307692,0,1,139
,,4392307692,0,2,160
,,4392307692,0,3,185
,,4392307692,0,4,210
,,4392307692,0,5,229
,,4392307692,0,6,245
,,4392307692,0,7,258
,,4392307692,0,8,266
,,4392307692,0,9,266
,,4392307692,0,10,263
,,4392307692,0,11,262
,,4392307692,0,12,260
,,4492307692,0,0,249
,,4492307692,0,1,226
,,4492307692,0,2,199
,,4492307692,0,3,177
,,4492307692,0,4,160
,,4492307692,0,5,142
,,4492307692,0,6,120
,,4492307692,0,7,97
,,4492307692,0,8,76
,,4492307692,0,9,58
,,4492307692,0,10,40
,,4492307692,0,11,25
,,4492307692,0,12,18
,,4592307692,0,0,14
,,4592307692,0,1,8
,,4592307692,0,2,-4
,,4592307692,0,3,-17
,,4592307692,0,4,-20
,,4592307692,0,5,-16
,,4592307692,0,6,-13
,,4592307692,0,7,-16
,,4592307692,0,8,-21
,,4592307692,0,9,-24
,,4592307692,0,10,-25
,,4592307692,0,11,-27
,,4592307692,0,12,-27
,,4692307692,0,0,-24
,,4692307692,0,1,-19
,,4692307692,0,2,-19
,,4692307692,0,3,-26
,,4692307692,0,4,-33
,,4692307692,0,5,-32
,,4692307692,0,6,-24
,,4692307692,0,7,-19
,,4692307692,0,8,-22
,,4692307692,0,9,-28
,,4692307692,0,10,-30
,,4692307692,0,11,-29
,,4692307692,0,12,-28
,,4792307692,0,0,-28
,,4792307692,0,1,-26
,,4792307692,0,2,-11
,,4792307692,0,3,-4
,,4792307692,0,4,-1
,,4792307692,0,5,6
,,4792307692,0,6,21
,,4792307692,0,7,42
,,4792307692,0,8,57
,,4792307692,0,9,59
,,4792307692,0,10,53
,,4792307692,0,11,47
,,4792307692,0,12,40
,,4892307692,0,0,31
,,4892307692,0,1,19
,,4892307692,0,2,7
,,4892307692,0,3,-3
,,4892307692,0,4,-13
,,4892307692,0,5,-24
,,4892307692,0,6,-31
,,4892307692,0,7,-31
,,4892307692,0,8,-24
,,4892307692,0,9,-21
,,4892307692,0,10,-27
,,4892307692,0,11,-41
,,4892307692,0,12,-68
,,4992307692,0,0,-120
,,4992307692,0,1,-165
,,4992307692,0,2,-142
,,4992307692,0,3,-55
,,4992307692,0,4,91
,,4992307692,0,5,362
,,4992307692,0,6,730
,,4992307692,0,7,942
,,4992307692,0,8,789
,,4992307692,0,9,403
,,4992307692,0,10,55
,,4992307692,0,11,-155
,,4992307692,0,12,-245
,,5092307692,0,0,-240
,,5092307692,0,1,-172
,,5092307692,0,2,-96
,,5092307692,0,3,-49
