timestamp_utc,heart_rate_bpm,rr_interval_ms
2026-03-22T14:14:28.9574951+00:00,66,908.42
2026-03-22T14:14:29.8659151+00:00,74,811.42
2026-03-22T14:14:30.6773321+00:00,76,791.18
2026-03-22T14:14:31.4685139+00:00,74,813.14
2026-03-22T14:14:32.2816568+00:00,74,808.79
2026-03-22T14:14:33.0904515+00:00,73,821.71
2026-03-22T14:14:33.9121660+00:00,68,887.20
2026-03-22T14:14:34.7993672+00:00,65,921.04
2026-03-22T14:14:35.7204081+00:00,92,649.40
2026-03-22T14:14:36.3698052+00:00,68,880.00
2026-03-22T14:14:37.2498065+00:00,78,770.56
2026-03-22T14:14:38.0203675+00:00,73,817.47
2026-03-22T14:14:38.8378359+00:00,72,837.84
2026-03-22T14:14:39.6756769+00:00,70,853.43
2026-03-22T14:14:40.5291051+00:00,67,893.16
2026-03-22T14:14:41.4222643+00:00,69,871.56
2026-03-22T14:14:42.2938195+00:00,77,779.21
2026-03-22T14:14:43.0730269+00:00,106,565.79
2026-03-22T14:14:43.6388119+00:00,67,894.02
2026-03-22T14:14:44.5328282+00:00,70,854.21
2026-03-22T14:14:45.3870418+00:00,69,873.30
2026-03-22T14:14:46.2603432+00:00,69,874.22
2026-03-22T14:14:47.1345597+00:00,68,878.60
2026-03-22T14:14:48.0131619+00:00,72,827.69
2026-03-22T14:14:48.8408532+00:00,79,762.65
2026-03-22T14:14:49.6035016+00:00,77,774.29
2026-03-22T14:14:50.3777959+00:00,89,674.54
2026-03-22T14:14:51.0523391+00:00,59,1017.17
2026-03-22T14:14:52.0695137+00:00,68,888.58
2026-03-22T14:14:52.9580887+00:00,69,865.27
2026-03-22T14:14:53.8233585+00:00,71,848.40
2026-03-22T14:14:54.6717615+00:00,76,793.99
2026-03-22T14:14:55.4657541+00:00,78,773.61
2026-03-22T14:14:56.2393679+00:00,72,833.08
2026-03-22T14:14:57.0724459+00:00,65,919.56
2026-03-22T14:14:57.9920107+00:00,82,730.30
2026-03-22T14:14:58.7223069+00:00,62,971.85
2026-03-22T14:14:59.6941527+00:00,72,828.62
2026-03-22T14:15:00.5227772+00:00,73,816.66
2026-03-22T14:15:01.3394421+00:00,76,787.22
2026-03-22T14:15:02.1266598+00:00,74,805.99
2026-03-22T14:15:02.9326499+00:00,67,891.35
2026-03-22T14:15:03.8239990+00:00,64,934.19
2026-03-22T14:15:04.7581934+00:00,71,848.73
2026-03-22T14:15:05.6069195+00:00,99,606.96
2026-03-22T14:15:06.2138770+00:00,66,907.52
2026-03-22T14:15:07.1213935+00:00,74,812.22
2026-03-22T14:15:07.9336130+00:00,74,805.69
2026-03-22T14:15:08.7393036+00:00,71,839.66
2026-03-22T14:15:09.5789647+00:00,66,912.10
2026-03-22T14:15:10.4910600+00:00,67,895.28
2026-03-22T14:15:11.3863383+00:00,77,783.17
2026-03-22T14:15:12.1695110+00:00,80,748.13
2026-03-22T14:15:12.9176394+00:00,97,616.48
2026-03-22T14:15:13.5341188+00:00,63,949.13
2026-03-22T14:15:14.4832444+00:00,71,840.56
2026-03-22T14:15:15.3238066+00:00,70,860.08
2026-03-22T14:15:16.1838818+00:00,67,901.45
2026-03-22T14:15:17.0853343+00:00,71,847.09
2026-03-22T14:15:17.9324256+00:00,80,751.09
2026-03-22T14:15:18.6835155+00:00,80,749.10
2026-03-22T14:15:19.4326205+00:00,72,829.49
2026-03-22T14:15:20.2621101+00:00,85,708.39
2026-03-22T14:15:20.9705032+00:00,60,992.19
2026-03-22T14:15:21.9626947+00:00,69,866.29
2026-03-22T14:15:22.8289818+00:00,69,871.93
2026-03-22T14:15:23.7009092+00:00,74,811.42
2026-03-22T14:15:24.5123248+00:00,80,754.49
2026-03-22T14:15:25.2668132+00:00,76,793.56
2026-03-22T14:15:26.0603703+00:00,67,893.91
2026-03-22T14:15:26.9542777+00:00,65,923.02
2026-03-22T14:15:27.8772943+00:00,87,686.93
2026-03-22T14:15:28.5642238+00:00,63,959.30
2026-03-22T14:15:29.5235245+00:00,72,834.94
2026-03-22T14:15:30.3584625+00:00,76,794.02
2026-03-22T14:15:31.1524776+00:00,76,787.63
2026-03-22T14:15:31.9401112+00:00,70,860.64
2026-03-22T14:15:32.8007499+00:00,64,936.20
2026-03-22T14:15:33.7369485+00:00,67,893.34
2026-03-22T14:15:34.6302908+00:00,73,817.43
2026-03-22T14:15:35.4477194+00:00,96,625.73
2026-03-22T14:15:36.0734477+00:00,65,923.53
2026-03-22T14:15:36.9969780+00:00,75,802.02
2026-03-22T14:15:37.7989980+00:00,72,830.76
2026-03-22T14:15:38.6297559+00:00,66,904.29
2026-03-22T14:15:39.5340431+00:00,66,912.40
2026-03-22T14:15:40.4464426+00:00,73,821.86
2026-03-22T14:15:41.2683008+00:00,78,771.02
2026-03-22T14:15:42.0393184+00:00,76,788.12
2026-03-22T14:15:42.8274398+00:00,95,633.65
2026-03-22T14:15:43.4610938+00:00,64,938.94
2026-03-22T14:15:44.4000361+00:00,69,864.72
2026-03-22T14:15:45.2647604+00:00,66,906.89
2026-03-22T14:15:46.1716471+00:00,70,855.59
2026-03-22T14:15:47.0272348+00:00,78,767.50
2026-03-22T14:15:47.7947354+00:00,79,756.76
2026-03-22T14:15:48.5514915+00:00,74,809.17
2026-03-22T14:15:49.3606593+00:00,71,847.22
2026-03-22T14:15:50.2078832+00:00,88,679.19
2026-03-22T14:15:50.8870743+00:00,60,993.01
2026-03-22T14:15:51.8800818+00:00,68,885.48
2026-03-22T14:15:52.7655584+00:00,74,806.62
2026-03-22T14:15:53.5721819+00:00,80,747.76
2026-03-22T14:15:54.3199466+00:00,77,781.95
2026-03-22T14:15:55.1019004+00:00,70,862.88
2026-03-22T14:15:55.9647837+00:00,67,892.62
2026-03-22T14:15:56.8574003+00:00,69,872.13
2026-03-22T14:15:57.7295335+00:00,86,695.07
2026-03-22T14:15:58.4246010+00:00,62,973.59
2026-03-22T14:15:59.3981954+00:00,77,779.36
2026-03-22T14:16:00.1775548+00:00,79,764.01
2026-03-22T14:16:00.9415608+00:00,71,842.95
2026-03-22T14:16:01.7845125+00:00,65,926.37
2026-03-22T14:16:02.7108819+00:00,67,898.71
2026-03-22T14:16:03.6095968+00:00,71,845.82
2026-03-22T14:16:04.4554213+00:00,71,841.25
2026-03-22T14:16:05.2966711+00:00,94,637.54
2026-03-22T14:16:05.9342136+00:00,67,898.78
2026-03-22T14:16:06.8329972+00:00,74,806.75
2026-03-22T14:16:07.6397512+00:00,66,905.30
2026-03-22T14:16:08.5450501+00:00,64,937.07
2026-03-22T14:16:09.4821168+00:00,71,843.15
2026-03-22T14:16:10.3252638+00:00,76,792.28
2026-03-22T14:16:11.1175480+00:00,74,810.22
2026-03-22T14:16:11.9277725+00:00,74,811.15
2026-03-22T14:16:12.7389246+00:00,96,623.77
2026-03-22T14:16:13.3626955+00:00,63,951.78
2026-03-22T14:16:14.3144742+00:00,65,922.72
2026-03-22T14:16:15.2371939+00:00,68,887.56
2026-03-22T14:16:16.1247519+00:00,77,778.12
2026-03-22T14:16:16.9028755+00:00,79,755.17
2026-03-22T14:16:17.6580447+00:00,75,803.00
2026-03-22T14:16:18.4610496+00:00,72,835.08
2026-03-22T14:16:19.2961271+00:00,72,836.82
2026-03-22T14:16:20.1329485+00:00,87,693.03
2026-03-22T14:16:20.8259761+00:00,59,1016.90
2026-03-22T14:16:21.8428789+00:00,72,831.32
2026-03-22T14:16:22.6742028+00:00,80,746.35
2026-03-22T14:16:23.4205503+00:00,79,757.90
2026-03-22T14:16:24.1784500+00:00,72,833.28
2026-03-22T14:16:25.0117300+00:00,68,876.38
2026-03-22T14:16:25.8881058+00:00,69,868.47
2026-03-22T14:16:26.7565734+00:00,69,875.31
2026-03-22T14:16:27.6318851+00:00,88,682.39
2026-03-22T14:16:28.3142792+00:00,65,921.33
2026-03-22T14:16:29.2356125+00:00,80,753.24
2026-03-22T14:16:29.9888547+00:00,74,806.12
2026-03-22T14:16:30.7949719+00:00,67,890.73
2026-03-22T14:16:31.6856986+00:00,66,907.30
2026-03-22T14:16:32.5929955+00:00,69,868.52
2026-03-22T14:16:33.4615172+00:00,70,853.83
2026-03-22T14:16:34.3153463+00:00,73,820.96
2026-03-22T14:16:35.1363105+00:00,100,599.08
2026-03-22T14:16:35.7353874+00:00,67,900.38
2026-03-22T14:16:36.6357649+00:00,69,874.29
2026-03-22T14:16:37.5100533+00:00,65,930.20
2026-03-22T14:16:38.4402561+00:00,68,883.23
2026-03-22T14:16:39.3234871+00:00,72,831.49
2026-03-22T14:16:40.1549784+00:00,73,819.39
2026-03-22T14:16:40.9743639+00:00,75,799.86
2026-03-22T14:16:41.7742215+00:00,76,794.03
2026-03-22T14:16:42.5682526+00:00,90,670.34
2026-03-22T14:16:43.2385976+00:00,58,1030.26
2026-03-22T14:16:44.2688568+00:00,66,902.31
2026-03-22T14:16:45.1711623+00:00,74,815.73
2026-03-22T14:16:45.9868950+00:00,76,787.65
2026-03-22T14:16:46.7745408+00:00,75,803.62
2026-03-22T14:16:47.5781646+00:00,75,805.24
2026-03-22T14:16:48.3834095+00:00,73,821.96
2026-03-22T14:16:49.2053727+00:00,68,884.74
2026-03-22T14:16:50.0901117+00:00,81,736.21
2026-03-22T14:16:50.8263251+00:00,62,966.53
2026-03-22T14:16:51.7928588+00:00,79,756.58
2026-03-22T14:16:52.5494428+00:00,78,770.96
2026-03-22T14:16:53.3203994+00:00,73,820.15
2026-03-22T14:16:54.1405459+00:00,72,837.03
2026-03-22T14:16:54.9775793+00:00,71,848.84
2026-03-22T14:16:55.8264150+00:00,67,894.80
2026-03-22T14:16:56.7212105+00:00,68,879.70
2026-03-22T14:16:57.6009132+00:00,100,598.79
2026-03-22T14:16:58.1997042+00:00,70,853.21
2026-03-22T14:16:59.0529112+00:00,76,790.79
2026-03-22T14:16:59.8437008+00:00,69,868.79
2026-03-22T14:17:00.7124920+00:00,68,879.31
2026-03-22T14:17:01.5918041+00:00,69,865.12
2026-03-22T14:17:02.4569251+00:00,68,880.95
2026-03-22T14:17:03.3378716+00:00,71,843.51
2026-03-22T14:17:04.1813818+00:00,79,763.47
2026-03-22T14:17:04.9448498+00:00,103,584.32
2026-03-22T14:17:05.5291662+00:00,63,948.27
2026-03-22T14:17:06.4774399+00:00,65,924.96
2026-03-22T14:17:07.4023970+00:00,67,892.93
2026-03-22T14:17:08.2953295+00:00,71,847.59
2026-03-22T14:17:09.1429239+00:00,71,847.95
2026-03-22T14:17:09.9908778+00:00,74,813.98
2026-03-22T14:17:10.8048579+00:00,77,774.87
2026-03-22T14:17:11.5797295+00:00,73,816.61
2026-03-22T14:17:12.3963364+00:00,81,736.36
2026-03-22T14:17:13.1326974+00:00,57,1054.84
2026-03-22T14:17:14.1875376+00:00,71,843.56
2026-03-22T14:17:15.0310973+00:00,75,803.17
2026-03-22T14:17:15.8342684+00:00,74,813.95
2026-03-22T14:17:16.6482160+00:00,74,807.02
2026-03-22T14:17:17.4552378+00:00,74,805.96
2026-03-22T14:17:18.2612027+00:00,69,868.16
2026-03-22T14:17:19.1293617+00:00,65,929.52
2026-03-22T14:17:20.0588852+00:00,87,687.97
2026-03-22T14:17:20.7468550+00:00,66,905.43
2026-03-22T14:17:21.6522827+00:00,78,769.97
2026-03-22T14:17:22.4222509+00:00,74,807.47
2026-03-22T14:17:23.2297233+00:00,73,825.70
2026-03-22T14:17:24.0554241+00:00,71,841.87
2026-03-22T14:17:24.8972969+00:00,67,890.50
2026-03-22T14:17:25.7877942+00:00,67,893.28
2026-03-22T14:17:26.6810700+00:00,75,803.42
2026-03-22T14:17:27.4844850+00:00,106,567.05
2026-03-22T14:17:28.0515386+00:00,68,881.20
2026-03-22T14:17:28.9327392+00:00,72,831.46
2026-03-22T14:17:29.7641990+00:00,70,860.02
2026-03-22T14:17:30.6242198+00:00,69,868.43
2026-03-22T14:17:31.4926481+00:00,68,886.53
2026-03-22T14:17:32.3791762+00:00,71,847.74
2026-03-22T14:17:33.2269118+00:00,78,769.47
2026-03-22T14:17:33.9963780+00:00,79,756.85
2026-03-22T14:17:34.7532250+00:00,93,643.18
2026-03-22T14:17:35.3964048+00:00,60,994.22
2026-03-22T14:17:36.3906241+00:00,68,888.22
2026-03-22T14:17:37.2788469+00:00,69,874.21
2026-03-22T14:17:38.1530601+00:00,69,864.61
2026-03-22T14:17:39.0176692+00:00,74,810.07
2026-03-22T14:17:39.8277360+00:00,78,764.41
2026-03-22T14:17:40.5921451+00:00,75,802.64
2026-03-22T14:17:41.3947840+00:00,67,893.92
2026-03-22T14:17:42.2887052+00:00,81,741.09
2026-03-22T14:17:43.0297917+00:00,60,994.82
2026-03-22T14:17:44.0246142+00:00,71,843.98
2026-03-22T14:17:44.8685927+00:00,72,831.40
2026-03-22T14:17:45.6999889+00:00,76,790.55
2026-03-22T14:17:46.4905404+00:00,76,786.95
2026-03-22T14:17:47.2774951+00:00,69,864.54
2026-03-22T14:17:48.1420323+00:00,64,937.76
2026-03-22T14:17:49.0797917+00:00,68,884.87
2026-03-22T14:17:49.9646582+00:00,96,626.84
2026-03-22T14:17:50.5914958+00:00,66,915.96
2026-03-22T14:17:51.5074602+00:00,74,812.02
2026-03-22T14:17:52.3194812+00:00,75,798.74
2026-03-22T14:17:53.1182210+00:00,73,819.52
2026-03-22T14:17:53.9377374+00:00,67,900.05
2026-03-22T14:17:54.8377895+00:00,65,919.82
2026-03-22T14:17:55.7576084+00:00,74,815.03
2026-03-22T14:17:56.5726345+00:00,80,754.54
2026-03-22T14:17:57.3271746+00:00,99,605.93
2026-03-22T14:17:57.9331092+00:00,64,936.51
2026-03-22T14:17:58.8696233+00:00,72,829.23
2026-03-22T14:17:59.6988511+00:00,71,847.93
2026-03-22T14:18:00.5467809+00:00,67,901.92
2026-03-22T14:18:01.4487047+00:00,69,875.46
2026-03-22T14:18:02.3241619+00:00,78,768.94
2026-03-22T14:18:03.0931058+00:00,81,738.87
2026-03-22T14:18:03.8319743+00:00,75,803.96
2026-03-22T14:18:04.6359388+00:00,87,688.92
2026-03-22T14:18:05.3248596+00:00,61,986.77
2026-03-22T14:18:06.3116273+00:00,69,865.02
2026-03-22T14:18:07.1766501+00:00,68,882.02
