device_address,device_alias,sensor_timestamp_ns,received_utc_ticks,sample_index,microvolts
,,92307692,0,0,1048
,,92307692,0,1,839
,,92307692,0,2,416
,,92307692,0,3,65
,,92307692,0,4,-129
,,92307692,0,5,-203
,,92307692,0,6,-188
,,92307692,0,7,-118
,,92307692,0,8,-46
,,92307692,0,9,-3
,,92307692,0,10,12
,,92307692,0,11,20
,,92307692,0,12,31
,,192307692,0,0,43
,,192307692,0,1,49
,,192307692,0,2,50
,,192307692,0,3,54
,,192307692,0,4,68
,,192307692,0,5,86
,,192307692,0,6,105
,,192307692,0,7,123
,,192307692,0,8,142
,,192307692,0,9,163
,,192307692,0,10,183
,,192307692,0,11,202
,,192307692,0,12,224
,,292307692,0,0,251
,,292307692,0,1,275
,,292307692,0,2,290
,,292307692,0,3,294
,,292307692,0,4,296
,,292307692,0,5,302
,,292307692,0,6,307
,,292307692,0,7,303
,,292307692,0,8,291
,,292307692,0,9,274
,,292307692,0,10,255
,,292307692,0,11,233
,,292307692,0,12,209
,,392307692,0,0,187
,,392307692,0,1,169
,,392307692,0,2,152
,,392307692,0,3,129
,,392307692,0,4,101
,,392307692,0,5,79
,,392307692,0,6,68
,,392307692,0,7,62
,,392307692,0,8,54
,,392307692,0,9,41
,,392307692,0,10,30
,,392307692,0,11,23
,,392307692,0,12,19
,,492307692,0,0,15
,,492307692,0,1,13
,,492307692,0,2,15
,,492307692,0,3,17
,,492307692,0,4,13
,,492307692,0,5,5
,,492307692,0,6,0
,,492307692,0,7,4
,,492307692,0,8,12
,,492307692,0,9,14
,,492307692,0,10,8
,,492307692,0,11,3
,,492307692,0,12,2
,,592307692,0,0,4
,,592307692,0,1,5
,,592307692,0,2,5
,,592307692,0,3,8
,,592307692,0,4,9
,,592307692,0,5,5
,,592307692,0,6,-1
,,592307692,0,7,-4
,,592307692,0,8,2
,,592307692,0,9,9
,,592307692,0,10,10
,,592307692,0,11,3
,,592307692,0,12,-3
,,692307692,0,0,-3
,,692307692,0,1,0
,,692307692,0,2,3
,,692307692,0,3,2
,,692307692,0,4,3
,,692307692,0,5,3
