device_address,device_alias,sensor_timestamp_ns,received_utc_ticks,sample_index,microvolts
,,92307692,0,0,981
,,92307692,0,1,789
,,92307692,0,2,388
,,92307692,0,3,50
,,92307692,0,4,-138
,,92307692,0,5,-212
,,92307692,0,6,-199
,,92307692,0,7,-131
,,92307692,0,8,-57
,,92307692,0,9,-9
,,92307692,0,10,8
,,92307692,0,11,8
,,92307692,0,12,11
,,192307692,0,0,22
,,192307692,0,1,35
,,192307692,0,2,44
,,192307692,0,3,50
,,192307692,0,4,58
,,192307692,0,5,72
,,192307692,0,6,88
,,192307692,0,7,106
,,192307692,0,8,127
,,192307692,0,9,152
,,192307692,0,10,176
,,192307692,0,11,194
,,192307692,0,12,208
,,292307692,0,0,227
,,292307692,0,1,252
,,292307692,0,2,275
,,292307692,0,3,287
,,292307692,0,4,289
,,292307692,0,5,288
,,292307692,0,6,287
,,292307692,0,7,284
,,292307692,0,8,276
,,292307692,0,9,263
,,292307692,0,10,249
,,292307692,0,11,231
,,292307692,0,12,206
,,392307692,0,0,179
,,392307692,0,1,157
,,392307692,0,2,143
,,392307692,0,3,130
,,392307692,0,4,111
,,392307692,0,5,88
,,392307692,0,6,70
,,392307692,0,7,59
,,392307692,0,8,54
,,392307692,0,9,47
,,392307692,0,10,41
,,392307692,0,11,36
,,392307692,0,12,32
,,492307692,0,0,26
,,492307692,0,1,19
,,492307692,0,2,18
,,492307692,0,3,24
,,492307692,0,4,30
,,492307692,0,5,27
,,492307692,0,6,19
,,492307692,0,7,14
,,492307692,0,8,17
,,492307692,0,9,23
,,492307692,0,10,26
,,492307692,0,11,25
,,492307692,0,12,23
,,592307692,0,0,23
,,592307692,0,1,21
,,592307692,0,2,19
,,592307692,0,3,20
,,592307692,0,4,27
,,592307692,0,5,32
,,592307692,0,6,29
,,592307692,0,7,21
,,592307692,0,8,17
,,592307692,0,9,22
,,592307692,0,10,29
,,592307692,0,11,31
,,592307692,0,12,28
,,692307692,0,0,25
,,692307692,0,1,25
,,692307692,0,2,25
,,692307692,0,3,38
,,692307692,0,4,48
,,692307692,0,5,63
,,692307692,0,6,79
