timestamp_utc,heart_rate_bpm,rr_interval_ms
2026-03-22T14:14:29.7054544+00:00,70,861.02
2026-03-22T14:14:30.5664739+00:00,69,873.17
2026-03-22T14:14:31.4396419+00:00,69,872.38
2026-03-22T14:14:32.3120227+00:00,69,863.87
2026-03-22T14:14:33.1758903+00:00,70,854.73
2026-03-22T14:14:34.0306234+00:00,70,855.36
2026-03-22T14:14:34.8859862+00:00,69,868.90
2026-03-22T14:14:35.7548862+00:00,68,880.21
2026-03-22T14:14:36.6350915+00:00,68,877.49
2026-03-22T14:14:37.5125806+00:00,69,865.93
2026-03-22T14:14:38.3785146+00:00,70,857.37
2026-03-22T14:14:39.2358798+00:00,70,861.62
2026-03-22T14:14:40.0974955+00:00,69,873.15
2026-03-22T14:14:40.9706488+00:00,68,877.43
2026-03-22T14:14:41.8480773+00:00,69,872.11
2026-03-22T14:14:42.7201845+00:00,70,861.67
2026-03-22T14:14:43.5818538+00:00,70,853.66
2026-03-22T14:14:44.4355116+00:00,70,858.42
2026-03-22T14:14:45.2939315+00:00,69,869.36
2026-03-22T14:14:46.1632925+00:00,69,870.13
2026-03-22T14:14:47.0334242+00:00,70,860.28
2026-03-22T14:14:47.8937006+00:00,71,849.58
2026-03-22T14:14:48.7432792+00:00,71,846.86
2026-03-22T14:14:49.5901387+00:00,70,854.72
2026-03-22T14:14:50.4448586+00:00,70,862.62
2026-03-22T14:14:51.3074739+00:00,70,861.02
2026-03-22T14:14:52.1684930+00:00,70,852.15
2026-03-22T14:14:53.0206419+00:00,71,841.86
2026-03-22T14:14:53.8625055+00:00,71,840.60
2026-03-22T14:14:54.7031055+00:00,70,852.72
2026-03-22T14:14:55.5558232+00:00,70,863.29
2026-03-22T14:14:56.4191165+00:00,70,859.86
2026-03-22T14:14:57.2789808+00:00,71,849.19
2026-03-22T14:14:58.1281757+00:00,71,841.51
2026-03-22T14:14:58.9696827+00:00,71,844.33
2026-03-22T14:14:59.8140135+00:00,70,857.45
2026-03-22T14:15:00.6714632+00:00,69,868.03
2026-03-22T14:15:01.5394969+00:00,69,866.74
2026-03-22T14:15:02.4062396+00:00,70,856.55
2026-03-22T14:15:03.2627847+00:00,71,847.24
2026-03-22T14:15:04.1100232+00:00,70,851.82
2026-03-22T14:15:04.9618401+00:00,69,868.08
2026-03-22T14:15:05.8299220+00:00,68,877.27
2026-03-22T14:15:06.7071872+00:00,69,872.68
2026-03-22T14:15:07.5798695+00:00,70,862.75
2026-03-22T14:15:08.4426228+00:00,70,855.90
2026-03-22T14:15:09.2985212+00:00,70,860.63
2026-03-22T14:15:10.1591497+00:00,69,873.86
2026-03-22T14:15:11.0330048+00:00,68,880.63
2026-03-22T14:15:11.9136344+00:00,69,874.82
2026-03-22T14:15:12.7884555+00:00,70,862.49
2026-03-22T14:15:13.6509441+00:00,70,856.28
2026-03-22T14:15:14.5072262+00:00,69,864.18
2026-03-22T14:15:15.3714096+00:00,69,874.65
2026-03-22T14:15:16.2460574+00:00,69,874.20
2026-03-22T14:15:17.1202600+00:00,69,865.92
2026-03-22T14:15:17.9861788+00:00,70,855.98
2026-03-22T14:15:18.8421562+00:00,70,851.88
2026-03-22T14:15:19.6940353+00:00,70,859.35
2026-03-22T14:15:20.5533815+00:00,69,867.93
2026-03-22T14:15:21.4213142+00:00,69,865.32
2026-03-22T14:15:22.2866349+00:00,70,854.14
2026-03-22T14:15:23.1407748+00:00,71,844.28
2026-03-22T14:15:23.9850583+00:00,71,845.63
2026-03-22T14:15:24.8306834+00:00,70,856.51
2026-03-22T14:15:25.6871967+00:00,70,862.34
2026-03-22T14:15:26.5495413+00:00,70,857.41
2026-03-22T14:15:27.4069509+00:00,71,847.89
2026-03-22T14:15:28.2548417+00:00,71,839.95
2026-03-22T14:15:29.0947906+00:00,71,842.83
2026-03-22T14:15:29.9376244+00:00,70,856.63
2026-03-22T14:15:30.7942521+00:00,69,865.17
2026-03-22T14:15:31.6594264+00:00,70,859.63
2026-03-22T14:15:32.5190586+00:00,71,848.13
2026-03-22T14:15:33.3671896+00:00,71,842.22
2026-03-22T14:15:34.2094049+00:00,71,849.57
2026-03-22T14:15:35.0589720+00:00,69,864.25
2026-03-22T14:15:35.9232182+00:00,69,871.35
2026-03-22T14:15:36.7945674+00:00,69,867.05
2026-03-22T14:15:37.6616167+00:00,70,856.74
2026-03-22T14:15:38.5183568+00:00,71,849.95
2026-03-22T14:15:39.3683073+00:00,70,857.96
2026-03-22T14:15:40.2262717+00:00,69,874.03
2026-03-22T14:15:41.1003033+00:00,68,879.54
2026-03-22T14:15:41.9798424+00:00,69,871.82
2026-03-22T14:15:42.8516578+00:00,70,861.00
2026-03-22T14:15:43.7126603+00:00,70,857.31
2026-03-22T14:15:44.5699694+00:00,69,865.76
2026-03-22T14:15:45.4357332+00:00,68,876.82
2026-03-22T14:15:46.3125553+00:00,68,878.53
2026-03-22T14:15:47.1910881+00:00,69,870.46
2026-03-22T14:15:48.0615513+00:00,70,858.66
2026-03-22T14:15:48.9202131+00:00,70,855.66
2026-03-22T14:15:49.7758698+00:00,69,865.86
2026-03-22T14:15:50.6417275+00:00,69,873.95
2026-03-22T14:15:51.5156764+00:00,69,869.41
2026-03-22T14:15:52.3850876+00:00,70,859.03
2026-03-22T14:15:53.2441180+00:00,71,850.66
2026-03-22T14:15:54.0947764+00:00,70,851.27
2026-03-22T14:15:54.9460486+00:00,70,860.29
2026-03-22T14:15:55.8063390+00:00,69,865.45
2026-03-22T14:15:56.6717922+00:00,70,860.16
2026-03-22T14:15:57.5319538+00:00,71,848.77
2026-03-22T14:15:58.3807230+00:00,71,840.77
2026-03-22T14:15:59.2214948+00:00,71,846.07
2026-03-22T14:16:00.0675687+00:00,70,858.80
2026-03-22T14:16:00.9263701+00:00,70,862.16
2026-03-22T14:16:01.7885282+00:00,70,854.40
2026-03-22T14:16:02.6429267+00:00,71,844.68
2026-03-22T14:16:03.4876091+00:00,71,840.03
2026-03-22T14:16:04.3276411+00:00,71,847.15
2026-03-22T14:16:05.1747955+00:00,70,861.15
2026-03-22T14:16:06.0359503+00:00,69,866.91
2026-03-22T14:16:06.9028558+00:00,70,859.80
2026-03-22T14:16:07.7626537+00:00,71,848.15
2026-03-22T14:16:08.6107990+00:00,71,844.64
2026-03-22T14:16:09.4554388+00:00,70,856.10
2026-03-22T14:16:10.3115339+00:00,69,870.82
2026-03-22T14:16:11.1823538+00:00,69,873.78
2026-03-22T14:16:12.0561356+00:00,69,866.73
2026-03-22T14:16:12.9228649+00:00,70,856.91
2026-03-22T14:16:13.7797787+00:00,70,853.59
2026-03-22T14:16:14.6333730+00:00,69,864.21
2026-03-22T14:16:15.4975878+00:00,68,878.14
2026-03-22T14:16:16.3757326+00:00,68,879.66
2026-03-22T14:16:17.2553956+00:00,69,869.56
2026-03-22T14:16:18.1249558+00:00,70,858.80
2026-03-22T14:16:18.9837601+00:00,70,858.98
2026-03-22T14:16:19.8427354+00:00,69,869.92
2026-03-22T14:16:20.7126593+00:00,68,877.34
2026-03-22T14:16:21.5900007+00:00,69,874.37
2026-03-22T14:16:22.4643746+00:00,69,864.95
2026-03-22T14:16:23.3293265+00:00,70,854.99
2026-03-22T14:16:24.1843211+00:00,70,855.62
2026-03-22T14:16:25.0399400+00:00,69,866.57
2026-03-22T14:16:25.9065143+00:00,69,871.37
2026-03-22T14:16:26.7778806+00:00,69,863.68
