device_address,device_alias,sensor_timestamp_ns,received_utc_ticks,sample_index,microvolts
,,92307692,0,0,1071
,,92307692,0,1,866
,,92307692,0,2,445
,,92307692,0,3,92
,,92307692,0,4,-105
,,92307692,0,5,-180
,,92307692,0,6,-164
,,92307692,0,7,-93
,,92307692,0,8,-18
,,92307692,0,9,28
,,92307692,0,10,42
,,92307692,0,11,45
,,92307692,0,12,53
,,192307692,0,0,66
,,192307692,0,1,77
,,192307692,0,2,82
,,192307692,0,3,86
,,192307692,0,4,95
,,192307692,0,5,112
,,192307692,0,6,130
,,192307692,0,7,149
,,192307692,0,8,171
,,192307692,0,9,194
,,192307692,0,10,216
,,192307692,0,11,233
,,192307692,0,12,251
,,292307692,0,0,275
,,292307692,0,1,302
,,292307692,0,2,321
,,292307692,0,3,329
,,292307692,0,4,330
,,292307692,0,5,331
,,292307692,0,6,334
,,292307692,0,7,331
,,292307692,0,8,321
,,292307692,0,9,306
,,292307692,0,10,289
,,292307692,0,11,267
,,292307692,0,12,241
,,392307692,0,0,216
,,392307692,0,1,197
,,392307692,0,2,182
,,392307692,0,3,164
,,392307692,0,4,139
,,392307692,0,5,114
,,392307692,0,6,98
,,392307692,0,7,91
,,392307692,0,8,85
,,392307692,0,9,76
,,392307692,0,10,67
,,392307692,0,11,60
,,392307692,0,12,54
,,492307692,0,0,48
,,492307692,0,1,45
,,492307692,0,2,46
,,492307692,0,3,51
,,492307692,0,4,52
,,492307692,0,5,44
,,492307692,0,6,37
,,492307692,0,7,36
,,492307692,0,8,43
,,492307692,0,9,48
,,492307692,0,10,47
,,492307692,0,11,42
,,492307692,0,12,40
,,592307692,0,0,40
,,592307692,0,1,39
,,592307692,0,2,39
,,592307692,0,3,42
,,592307692,0,4,47
,,592307692,0,5,47
,,592307692,0,6,40
,,592307692,0,7,34
,,592307692,0,8,35
,,592307692,0,9,42
,,592307692,0,10,47
,,592307692,0,11,45
,,592307692,0,12,39
,,692307692,0,0,36
,,692307692,0,1,37
,,692307692,0,2,39
,,692307692,0,3,39
,,692307692,0,4,58
,,692307692,0,5,70
,,692307692,0,6,80
,,692307692,0,7,87
,,692307692,0,8,96
,,692307692,0,9,110
,,692307692,0,10,126
,,692307692,0,11,134
,,692307692,0,12,128
,,792307692,0,0,114
,,792307692,0,1,100
,,792307692,0,2,89
,,792307692,0,3,78
,,792307692,0,4,67
,,792307692,0,5,58
,,792307692,0,6,51
,,792307692,0,7,45
,,792307692,0,8,37
,,792307692,0,9,31
,,792307692,0,10,33
,,792307692,0,11,40
,,792307692,0,12,41
,,892307692,0,0,21
,,892307692,0,1,-33
,,892307692,0,2,-99
,,892307692,0,3,-106
,,892307692,0,4,-34
,,892307692,0,5,89
,,892307692,0,6,308
,,892307692,0,7,669
,,892307692,0,8,997
,,892307692,0,9,994
,,892307692,0,10,648
,,892307692,0,11,244
,,892307692,0,12,-24
,,992307692,0,0,-154
,,992307692,0,1,-188
,,992307692,0,2,-150
,,992307692,0,3,-76
,,992307692,0,4,-10
,,992307692,0,5,28
,,992307692,0,6,41
,,992307692,0,7,43
,,992307692,0,8,46
,,992307692,0,9,51
,,992307692,0,10,57
,,992307692,0,11,65
,,992307692,0,12,79
,,1092307692,0,0,97
,,1092307692,0,1,113
,,1092307692,0,2,124
,,1092307692,0,3,135
,,1092307692,0,4,156
,,1092307692,0,5,185
,,1092307692,0,6,213
,,1092307692,0,7,234
,,1092307692,0,8,250
,,1092307692,0,9,267
,,1092307692,0,10,285
,,1092307692,0,11,299
,,1092307692,0,12,309
,,1192307692,0,0,317
,,1192307692,0,1,322
,,1192307692,0,2,318
,,1192307692,0,3,303
,,1192307692,0,4,284
,,1192307692,0,5,269
,,1192307692,0,6,258
,,1192307692,0,7,242
,,1192307692,0,8,217
,,1192307692,0,9,188
,,1192307692,0,10,162
,,1192307692,0,11,143
,,1192307692,0,12,125
,,1292307692,0,0,108
,,1292307692,0,1,93
,,1292307692,0,2,81
,,1292307692,0,3,68
,,1292307692,0,4,52
,,1292307692,0,5,39
,,1292307692,0,6,35
,,1292307692,0,7,38
,,1292307692,0,8,38
,,1292307692,0,9,31
,,1292307692,0,10,22
,,1292307692,0,11,17
,,1292307692,0,12,19
,,1392307692,0,0,22
,,1392307692,0,1,22
,,1392307692,0,2,21
,,1392307692,0,3,21
,,1392307692,0,4,19
,,1392307692,0,5,15
,,1392307692,0,6,11
,,1392307692,0,7,14
,,1392307692,0,8,21
,,1392307692,0,9,25
,,1392307692,0,10,19
,,1392307692,0,11,11
,,1392307692,0,12,9
,,1492307692,0,0,14
,,1492307692,0,1,19
,,1492307692,0,2,19
,,1492307692,0,3,16
,,1492307692,0,4,15
,,1492307692,0,5,14
,,1492307692,0,6,11
,,1492307692,0,7,9
,,1492307692,0,8,12
,,1492307692,0,9,18
,,1492307692,0,10,20
,,1492307692,0,11,14
,,1492307692,0,12,22
,,1592307692,0,0,29
,,1592307692,0,1,46
,,1592307692,0,2,65
,,1592307692,0,3,77
,,1592307692,0,4,84
,,1592307692,0,5,90
,,1592307692,0,6,92
,,1592307692,0,7,89
,,1592307692,0,8,82
,,1592307692,0,9,73
,,1592307692,0,10,65
,,1592307692,0,11,53
,,1592307692,0,12,35
,,1692307692,0,0,19
,,1692307692,0,1,12
,,1692307692,0,2,14
,,1692307692,0,3,17
,,1692307692,0,4,13
,,1692307692,0,5,6
,,1692307692,0,6,2
,,1692307692,0,7,0
,,1692307692,0,8,-13
,,1692307692,0,9,-57
,,1692307692,0,10,-116
,,1692307692,0,11,-124
,,1692307692,0,12,-59
,,1792307692,0,0,52
,,1792307692,0,1,258
,,1792307692,0,2,606
,,1792307692,0,3,926
,,1792307692,0,4,929
,,1792307692,0,5,597
,,1792307692,0,6,200
,,1792307692,0,7,-64
,,1792307692,0,8,-188
,,1792307692,0,9,-211
,,1792307692,0,10,-166
,,1792307692,0,11,-94
,,1792307692,0,12,-35
,,1892307692,0,0,-6
,,1892307692,0,1,2
,,1892307692,0,2,3
,,1892307692,0,3,10
,,1892307692,0,4,23
,,1892307692,0,5,34
,,1892307692,0,6,38
,,1892307692,0,7,41
,,1892307692,0,8,50
,,1892307692,0,9,68
,,1892307692,0,10,89
,,1892307692,0,11,108
,,1892307692,0,12,126
