device_address,device_alias,sensor_timestamp_ns,received_utc_ticks,sample_index,microvolts
,,92307692,0,0,1023
,,92307692,0,1,822
,,92307692,0,2,408
,,92307692,0,3,61
,,92307692,0,4,-132
,,92307692,0,5,-206
,,92307692,0,6,-191
,,92307692,0,7,-121
,,92307692,0,8,-47
,,92307692,0,9,-3
,,92307692,0,10,12
,,92307692,0,11,15
,,92307692,0,12,22
,,192307692,0,0,35
,,192307692,0,1,46
,,192307692,0,2,51
,,192307692,0,3,54
,,192307692,0,4,63
,,192307692,0,5,79
,,192307692,0,6,98
,,192307692,0,7,116
,,192307692,0,8,137
,,192307692,0,9,161
,,192307692,0,10,181
,,192307692,0,11,198
,,192307692,0,12,216
,,292307692,0,0,239
,,292307692,0,1,266
,,292307692,0,2,285
,,292307692,0,3,293
,,292307692,0,4,293
,,292307692,0,5,294
,,292307692,0,6,297
,,292307692,0,7,295
,,292307692,0,8,285
,,292307692,0,9,270
,,292307692,0,10,253
,,292307692,0,11,232
,,292307692,0,12,206
,,392307692,0,0,181
,,392307692,0,1,162
,,392307692,0,2,148
,,392307692,0,3,130
,,392307692,0,4,106
,,392307692,0,5,82
,,392307692,0,6,66
,,392307692,0,7,59
,,392307692,0,8,53
,,392307692,0,9,44
,,392307692,0,10,35
,,392307692,0,11,28
,,392307692,0,12,23
,,492307692,0,0,17
,,492307692,0,1,13
,,492307692,0,2,15
,,492307692,0,3,20
,,492307692,0,4,21
,,492307692,0,5,14
,,492307692,0,6,6
,,492307692,0,7,5
,,492307692,0,8,12
,,492307692,0,9,17
,,492307692,0,10,16
,,492307692,0,11,12
,,492307692,0,12,10
,,592307692,0,0,10
,,592307692,0,1,9
,,592307692,0,2,9
,,592307692,0,3,12
,,592307692,0,4,17
,,592307692,0,5,17
,,592307692,0,6,10
,,592307692,0,7,4
,,592307692,0,8,5
,,592307692,0,9,13
,,592307692,0,10,18
,,592307692,0,11,16
,,592307692,0,12,10
,,692307692,0,0,7
,,692307692,0,1,8
,,692307692,0,2,26
,,692307692,0,3,35
,,692307692,0,4,49
,,692307692,0,5,65
,,692307692,0,6,77
,,692307692,0,7,83
,,692307692,0,8,87
,,692307692,0,9,93
,,692307692,0,10,99
,,692307692,0,11,96
,,692307692,0,12,81
,,792307692,0,0,61
,,792307692,0,1,45
,,792307692,0,2,36
,,792307692,0,3,30
,,792307692,0,4,23
,,792307692,0,5,19
,,792307692,0,6,17
,,792307692,0,7,14
,,792307692,0,8,8
,,792307692,0,9,4
,,792307692,0,10,4
,,792307692,0,11,-2
,,792307692,0,12,-43
,,892307692,0,0,-111
,,892307692,0,1,-133
,,892307692,0,2,-70
,,892307692,0,3,52
,,892307692,0,4,268
,,892307692,0,5,621
,,892307692,0,6,952
,,892307692,0,7,969
,,892307692,0,8,639
,,892307692,0,9,231
,,892307692,0,10,-49
,,892307692,0,11,-181
,,892307692,0,12,-206
,,992307692,0,0,-160
,,992307692,0,1,-92
,,992307692,0,2,-39
,,992307692,0,3,-7
,,992307692,0,4,13
,,992307692,0,5,24
,,992307692,0,6,29
,,992307692,0,7,31
,,992307692,0,8,37
,,992307692,0,9,45
,,992307692,0,10,54
,,992307692,0,11,66
,,992307692,0,12,84
,,1092307692,0,0,106
,,1092307692,0,1,126
,,1092307692,0,2,140
,,1092307692,0,3,154
,,1092307692,0,4,177
,,1092307692,0,5,206
,,1092307692,0,6,233
,,1092307692,0,7,251
,,1092307692,0,8,264
,,1092307692,0,9,275
,,1092307692,0,10,286
,,1092307692,0,11,292
,,1092307692,0,12,293
,,1192307692,0,0,292
,,1192307692,0,1,288
,,1192307692,0,2,276
,,1192307692,0,3,254
,,1192307692,0,4,230
,,1192307692,0,5,210
,,1192307692,0,6,196
,,1192307692,0,7,179
,,1192307692,0,8,155
,,1192307692,0,9,127
,,1192307692,0,10,105
,,1192307692,0,11,89
,,1192307692,0,12,75
,,1292307692,0,0,62
,,1292307692,0,1,52
,,1292307692,0,2,44
,,1292307692,0,3,35
,,1292307692,0,4,24
,,1292307692,0,5,14
,,1292307692,0,6,13
,,1292307692,0,7,18
,,1292307692,0,8,20
,,1292307692,0,9,15
,,1292307692,0,10,6
,,1292307692,0,11,3
,,1292307692,0,12,5
,,1392307692,0,0,9
,,1392307692,0,1,9
,,1392307692,0,2,9
,,1392307692,0,3,9
,,1392307692,0,4,8
,,1392307692,0,5,4
,,1392307692,0,6,1
,,1392307692,0,7,4
,,1392307692,0,8,11
,,1392307692,0,9,14
,,1392307692,0,10,9
,,1392307692,0,11,2
,,1392307692,0,12,0
