device_address,device_alias,sensor_timestamp_ns,received_utc_ticks,sample_index,microvolts
,,92307692,0,0,1079
,,92307692,0,1,874
,,92307692,0,2,451
,,92307692,0,3,97
,,92307692,0,4,-100
,,92307692,0,5,-175
,,92307692,0,6,-160
,,92307692,0,7,-89
,,92307692,0,8,-13
,,92307692,0,9,33
,,92307692,0,10,48
,,92307692,0,11,51
,,92307692,0,12,58
,,192307692,0,0,72
,,192307692,0,1,83
,,192307692,0,2,88
,,192307692,0,3,91
,,192307692,0,4,101
,,192307692,0,5,117
,,192307692,0,6,136
,,192307692,0,7,155
,,192307692,0,8,177
,,192307692,0,9,200
,,192307692,0,10,221
,,192307692,0,11,238
,,192307692,0,12,257
,,292307692,0,0,281
,,292307692,0,1,308
,,292307692,0,2,327
,,292307692,0,3,335
,,292307692,0,4,335
,,292307692,0,5,337
,,292307692,0,6,339
,,292307692,0,7,337
,,292307692,0,8,326
,,292307692,0,9,311
,,292307692,0,10,294
,,292307692,0,11,272
,,292307692,0,12,246
,,392307692,0,0,220
,,392307692,0,1,201
,,392307692,0,2,186
,,392307692,0,3,168
,,392307692,0,4,143
,,392307692,0,5,118
,,392307692,0,6,102
,,392307692,0,7,94
,,392307692,0,8,88
,,392307692,0,9,79
,,392307692,0,10,69
,,392307692,0,11,62
,,392307692,0,12,57
,,492307692,0,0,51
,,492307692,0,1,47
,,492307692,0,2,48
,,492307692,0,3,53
,,492307692,0,4,53
,,492307692,0,5,46
,,492307692,0,6,38
,,492307692,0,7,37
,,492307692,0,8,44
,,492307692,0,9,49
,,492307692,0,10,47
,,492307692,0,11,43
,,492307692,0,12,40
,,592307692,0,0,40
,,592307692,0,1,39
,,592307692,0,2,39
,,592307692,0,3,42
,,592307692,0,4,46
,,592307692,0,5,46
,,592307692,0,6,39
,,592307692,0,7,32
,,592307692,0,8,33
,,592307692,0,9,41
,,592307692,0,10,45
,,592307692,0,11,43
,,592307692,0,12,37
,,692307692,0,0,34
,,692307692,0,1,35
,,692307692,0,2,36
,,692307692,0,3,36
,,692307692,0,4,38
,,692307692,0,5,40
,,692307692,0,6,39
,,692307692,0,7,33
,,692307692,0,8,27
,,692307692,0,9,29
,,692307692,0,10,37
,,692307692,0,11,41
