timestamp_utc,heart_rate_bpm,rr_interval_ms
2026-03-22T14:14:30.5459342+00:00,64,937.03
2026-03-22T14:14:31.4829650+00:00,67,897.17
2026-03-22T14:14:32.3801329+00:00,73,825.49
2026-03-22T14:14:33.2056241+00:00,69,866.91
2026-03-22T14:14:34.0725315+00:00,64,931.73
2026-03-22T14:14:35.0042600+00:00,68,876.92
2026-03-22T14:14:35.8811839+00:00,73,827.43
2026-03-22T14:14:36.7086131+00:00,67,899.19
2026-03-22T14:14:37.6078058+00:00,64,937.48
2026-03-22T14:14:38.5452829+00:00,69,865.65
2026-03-22T14:14:39.4109309+00:00,72,832.74
2026-03-22T14:14:40.2436714+00:00,65,918.46
2026-03-22T14:14:41.1621271+00:00,65,928.66
2026-03-22T14:14:42.0907900+00:00,70,858.18
2026-03-22T14:14:42.9489741+00:00,70,862.42
2026-03-22T14:14:43.8113970+00:00,63,946.62
2026-03-22T14:14:44.7580121+00:00,66,913.91
2026-03-22T14:14:45.6719191+00:00,71,843.08
2026-03-22T14:14:46.5149983+00:00,68,884.00
2026-03-22T14:14:47.3990010+00:00,63,953.95
2026-03-22T14:14:48.3529477+00:00,67,900.16
2026-03-22T14:14:49.2531054+00:00,71,847.40
2026-03-22T14:14:50.1005069+00:00,65,917.11
2026-03-22T14:14:51.0176141+00:00,64,941.10
2026-03-22T14:14:51.9587097+00:00,69,869.00
2026-03-22T14:14:52.8277144+00:00,71,849.38
2026-03-22T14:14:53.6770913+00:00,64,937.47
2026-03-22T14:14:54.6145588+00:00,65,926.85
2026-03-22T14:14:55.5414062+00:00,71,850.34
2026-03-22T14:14:56.3917486+00:00,70,863.05
2026-03-22T14:14:57.2548024+00:00,64,936.52
2026-03-22T14:14:58.1913270+00:00,67,896.64
2026-03-22T14:14:59.0879646+00:00,72,832.94
2026-03-22T14:14:59.9209031+00:00,68,883.49
2026-03-22T14:15:00.8043953+00:00,64,938.62
2026-03-22T14:15:01.7430112+00:00,68,875.96
2026-03-22T14:15:02.6189730+00:00,73,823.46
2026-03-22T14:15:03.4424295+00:00,67,892.55
2026-03-22T14:15:04.3349776+00:00,65,923.86
2026-03-22T14:15:05.2588347+00:00,70,860.64
2026-03-22T14:15:06.1194741+00:00,72,834.23
2026-03-22T14:15:06.9536994+00:00,65,917.83
2026-03-22T14:15:07.8715302+00:00,66,915.84
2026-03-22T14:15:08.7873669+00:00,71,841.52
2026-03-22T14:15:09.6288849+00:00,71,841.57
2026-03-22T14:15:10.4704504+00:00,65,929.22
2026-03-22T14:15:11.3996718+00:00,66,911.22
2026-03-22T14:15:12.3108884+00:00,71,842.69
2026-03-22T14:15:13.1535782+00:00,69,873.31
2026-03-22T14:15:14.0268880+00:00,64,941.84
2026-03-22T14:15:14.9687253+00:00,67,892.26
2026-03-22T14:15:15.8609871+00:00,72,834.94
2026-03-22T14:15:16.6959285+00:00,67,900.88
2026-03-22T14:15:17.5968065+00:00,63,950.56
2026-03-22T14:15:18.5473688+00:00,68,884.22
2026-03-22T14:15:19.4315902+00:00,71,847.37
2026-03-22T14:15:20.2789581+00:00,65,929.33
2026-03-22T14:15:21.2082871+00:00,64,932.28
2026-03-22T14:15:22.1405645+00:00,70,859.80
2026-03-22T14:15:23.0003675+00:00,69,865.54
2026-03-22T14:15:23.8659086+00:00,63,952.43
2026-03-22T14:15:24.8183372+00:00,65,917.84
2026-03-22T14:15:25.7361814+00:00,71,841.18
2026-03-22T14:15:26.5773584+00:00,68,884.44
2026-03-22T14:15:27.4617996+00:00,63,945.75
2026-03-22T14:15:28.4075476+00:00,68,888.88
2026-03-22T14:15:29.2964325+00:00,72,837.49
2026-03-22T14:15:30.1339201+00:00,66,911.16
2026-03-22T14:15:31.0450826+00:00,64,936.24
2026-03-22T14:15:31.9813215+00:00,70,856.81
2026-03-22T14:15:32.8381274+00:00,72,832.27
2026-03-22T14:15:33.6703970+00:00,65,920.07
2026-03-22T14:15:34.5904657+00:00,65,919.17
2026-03-22T14:15:35.5096313+00:00,71,842.62
2026-03-22T14:15:36.3522509+00:00,71,849.42
2026-03-22T14:15:37.2016695+00:00,64,931.52
2026-03-22T14:15:38.1331880+00:00,67,895.15
2026-03-22T14:15:39.0283337+00:00,73,821.80
2026-03-22T14:15:39.8501334+00:00,69,864.28
2026-03-22T14:15:40.7144118+00:00,64,938.57
2026-03-22T14:15:41.6529850+00:00,68,888.57
2026-03-22T14:15:42.5415531+00:00,73,825.48
2026-03-22T14:15:43.3670320+00:00,67,890.26
2026-03-22T14:15:44.2572882+00:00,64,934.11
2026-03-22T14:15:45.1914016+00:00,69,866.33
2026-03-22T14:15:46.0577267+00:00,72,832.80
2026-03-22T14:15:46.8905221+00:00,65,922.89
2026-03-22T14:15:47.8134083+00:00,64,937.49
2026-03-22T14:15:48.7508940+00:00,70,857.73
2026-03-22T14:15:49.6086260+00:00,70,851.33
2026-03-22T14:15:50.4599603+00:00,64,941.42
2026-03-22T14:15:51.4013823+00:00,65,917.86
2026-03-22T14:15:52.3192397+00:00,71,846.61
2026-03-22T14:15:53.1658545+00:00,68,886.48
2026-03-22T14:15:54.0523313+00:00,63,959.30
2026-03-22T14:15:55.0116342+00:00,67,898.06
