device_address,device_alias,sensor_timestamp_ns,received_utc_ticks,sample_index,microvolts
,,92307692,0,0,1032
,,92307692,0,1,824
,,92307692,0,2,404
,,92307692,0,3,55
,,92307692,0,4,-138
,,92307692,0,5,-212
,,92307692,0,6,-197
,,92307692,0,7,-128
,,92307692,0,8,-56
,,92307692,0,9,-13
,,92307692,0,10,2
,,92307692,0,11,9
,,92307692,0,12,20
,,192307692,0,0,32
,,192307692,0,1,39
,,192307692,0,2,39
,,192307692,0,3,43
,,192307692,0,4,56
,,192307692,0,5,75
,,192307692,0,6,94
,,192307692,0,7,111
,,192307692,0,8,131
,,192307692,0,9,152
,,192307692,0,10,171
,,192307692,0,11,190
,,192307692,0,12,212
,,292307692,0,0,238
,,292307692,0,1,263
,,292307692,0,2,277
,,292307692,0,3,281
,,292307692,0,4,284
,,292307692,0,5,289
,,292307692,0,6,294
,,292307692,0,7,291
,,292307692,0,8,278
,,292307692,0,9,261
,,292307692,0,10,242
,,292307692,0,11,221
,,292307692,0,12,197
,,392307692,0,0,175
,,392307692,0,1,157
,,392307692,0,2,140
,,392307692,0,3,117
,,392307692,0,4,90
,,392307692,0,5,68
,,392307692,0,6,57
,,392307692,0,7,51
,,392307692,0,8,43
,,392307692,0,9,30
,,392307692,0,10,19
,,392307692,0,11,12
,,392307692,0,12,8
,,492307692,0,0,4
,,492307692,0,1,3
,,492307692,0,2,5
,,492307692,0,3,6
,,492307692,0,4,2
,,492307692,0,5,-6
,,492307692,0,6,-10
,,492307692,0,7,-6
,,492307692,0,8,1
,,492307692,0,9,3
,,492307692,0,10,-2
,,492307692,0,11,-8
,,492307692,0,12,-8
,,592307692,0,0,-7
,,592307692,0,1,-6
,,592307692,0,2,-5
,,592307692,0,3,-3
,,592307692,0,4,-1
,,592307692,0,5,-5
,,592307692,0,6,-11
,,592307692,0,7,-14
,,592307692,0,8,-8
,,592307692,0,9,-1
,,592307692,0,10,0
,,592307692,0,11,-7
,,592307692,0,12,-13
,,692307692,0,0,-13
,,692307692,0,1,-9
,,692307692,0,2,-7
,,692307692,0,3,-7
,,692307692,0,4,8
,,692307692,0,5,17
,,692307692,0,6,25
,,692307692,0,7,32
,,692307692,0,8,44
,,692307692,0,9,61
,,692307692,0,10,77
,,692307692,0,11,80
,,692307692,0,12,71
,,792307692,0,0,58
,,792307692,0,1,49
,,792307692,0,2,42
,,792307692,0,3,31
,,792307692,0,4,18
,,792307692,0,5,7
,,792307692,0,6,-1
,,792307692,0,7,-8
,,792307692,0,8,-14
,,792307692,0,9,-16
,,792307692,0,10,-12
,,792307692,0,11,-7
,,792307692,0,12,-11
,,892307692,0,0,-31
,,892307692,0,1,-77
,,892307692,0,2,-136
,,892307692,0,3,-149
,,892307692,0,4,-88
,,892307692,0,5,20
,,892307692,0,6,213
,,892307692,0,7,546
,,892307692,0,8,879
,,892307692,0,9,921
,,892307692,0,10,619
,,892307692,0,11,227
,,892307692,0,12,-49
,,992307692,0,0,-191
,,992307692,0,1,-236
,,992307692,0,2,-203
,,992307692,0,3,-128
,,992307692,0,4,-60
,,992307692,0,5,-23
,,992307692,0,6,-13
,,992307692,0,7,-12
,,992307692,0,8,-8
,,992307692,0,9,-2
,,992307692,0,10,5
,,992307692,0,11,14
,,992307692,0,12,27
,,1092307692,0,0,42
,,1092307692,0,1,53
,,1092307692,0,2,62
,,1092307692,0,3,76
,,1092307692,0,4,101
,,1092307692,0,5,129
,,1092307692,0,6,152
,,1092307692,0,7,168
,,1092307692,0,8,183
,,1092307692,0,9,202
,,1092307692,0,10,221
,,1092307692,0,11,237
,,1092307692,0,12,247
,,1192307692,0,0,255
,,1192307692,0,1,257
,,1192307692,0,2,251
,,1192307692,0,3,237
,,1192307692,0,4,224
,,1192307692,0,5,214
,,1192307692,0,6,203
,,1192307692,0,7,184
,,1192307692,0,8,156
,,1192307692,0,9,128
,,1192307692,0,10,107
,,1192307692,0,11,91
,,1192307692,0,12,74
,,1292307692,0,0,56
,,1292307692,0,1,40
,,1292307692,0,2,27
,,1292307692,0,3,13
,,1292307692,0,4,-1
,,1292307692,0,5,-10
,,1292307692,0,6,-11
,,1292307692,0,7,-10
,,1292307692,0,8,-14
