device_address,device_alias,sensor_timestamp_ns,received_utc_ticks,sample_index,microvolts
,,92307692,0,0,1072
,,92307692,0,1,868
,,92307692,0,2,446
,,92307692,0,3,92
,,92307692,0,4,-104
,,92307692,0,5,-179
,,92307692,0,6,-164
,,92307692,0,7,-93
,,92307692,0,8,-17
,,92307692,0,9,28
,,92307692,0,10,43
,,92307692,0,11,46
,,92307692,0,12,53
,,192307692,0,0,66
,,192307692,0,1,77
,,192307692,0,2,82
,,192307692,0,3,86
,,192307692,0,4,95
,,192307692,0,5,112
,,192307692,0,6,130
,,192307692,0,7,149
,,192307692,0,8,171
,,192307692,0,9,194
,,192307692,0,10,215
,,192307692,0,11,232
,,192307692,0,12,250
,,292307692,0,0,274
,,292307692,0,1,301
,,292307692,0,2,321
,,292307692,0,3,328
,,292307692,0,4,329
,,292307692,0,5,330
,,292307692,0,6,333
,,292307692,0,7,330
,,292307692,0,8,320
,,292307692,0,9,305
,,292307692,0,10,288
,,292307692,0,11,266
,,292307692,0,12,240
,,392307692,0,0,214
,,392307692,0,1,195
,,392307692,0,2,181
,,392307692,0,3,162
,,392307692,0,4,137
,,392307692,0,5,113
,,392307692,0,6,97
,,392307692,0,7,89
,,392307692,0,8,83
,,392307692,0,9,74
,,392307692,0,10,65
,,392307692,0,11,58
,,392307692,0,12,52
,,492307692,0,0,46
,,492307692,0,1,42
,,492307692,0,2,44
,,492307692,0,3,49
,,492307692,0,4,49
,,492307692,0,5,42
,,492307692,0,6,34
,,492307692,0,7,33
,,492307692,0,8,40
,,492307692,0,9,45
,,492307692,0,10,44
,,492307692,0,11,40
,,492307692,0,12,38
,,592307692,0,0,37
,,592307692,0,1,37
,,592307692,0,2,36
,,592307692,0,3,39
,,592307692,0,4,44
,,592307692,0,5,44
,,592307692,0,6,37
,,592307692,0,7,31
,,592307692,0,8,32
,,592307692,0,9,39
,,592307692,0,10,44
,,592307692,0,11,42
,,592307692,0,12,36
,,692307692,0,0,33
,,692307692,0,1,34
,,692307692,0,2,36
,,692307692,0,3,36
,,692307692,0,4,38
,,692307692,0,5,41
,,692307692,0,6,40
,,692307692,0,7,34
,,692307692,0,8,28
,,692307692,0,9,30
,,692307692,0,10,38
,,692307692,0,11,43
,,692307692,0,12,39
,,792307692,0,0,32
,,792307692,0,1,29
,,792307692,0,2,32
,,792307692,0,3,35
,,792307692,0,4,35
,,792307692,0,5,36
,,792307692,0,6,37
,,792307692,0,7,35
,,792307692,0,8,30
,,792307692,0,9,42
,,792307692,0,10,54
,,792307692,0,11,73
,,792307692,0,12,90
,,892307692,0,0,98
,,892307692,0,1,102
,,892307692,0,2,109
,,892307692,0,3,117
,,892307692,0,4,119
,,892307692,0,5,112
,,892307692,0,6,100
,,892307692,0,7,86
,,892307692,0,8,71
,,892307692,0,9,55
,,892307692,0,10,43
,,892307692,0,11,39
,,892307692,0,12,41
,,992307692,0,0,40
,,992307692,0,1,33
,,992307692,0,2,24
,,992307692,0,3,22
,,992307692,0,4,25
,,992307692,0,5,16
,,992307692,0,6,-29
,,992307692,0,7,-96
,,992307692,0,8,-112
,,992307692,0,9,-48
,,992307692,0,10,68
,,992307692,0,11,280
,,992307692,0,12,638
,,1092307692,0,0,978
,,1092307692,0,1,997
,,1092307692,0,2,660
,,1092307692,0,3,245
,,1092307692,0,4,-34
,,1092307692,0,5,-164
,,1092307692,0,6,-190
,,1092307692,0,7,-148
,,1092307692,0,8,-79
,,1092307692,0,9,-21
,,1092307692,0,10,13
,,1092307692,0,11,27
,,1092307692,0,12,33
,,1192307692,0,0,40
,,1192307692,0,1,50
,,1192307692,0,2,57
,,1192307692,0,3,59
,,1192307692,0,4,63
,,1192307692,0,5,77
,,1192307692,0,6,100
,,1192307692,0,7,122
,,1192307692,0,8,138
,,1192307692,0,9,152
,,1192307692,0,10,170
,,1192307692,0,11,194
,,1192307692,0,12,219
,,1292307692,0,0,241
,,1292307692,0,1,262
,,1292307692,0,2,281
,,1292307692,0,3,294
,,1292307692,0,4,299
,,1292307692,0,5,300
,,1292307692,0,6,303
,,1292307692,0,7,307
,,1292307692,0,8,304
,,1292307692,0,9,287
,,1292307692,0,10,264
,,1292307692,0,11,242
,,1292307692,0,12,225
,,1392307692,0,0,207
,,1392307692,0,1,185
,,1392307692,0,2,162
,,1392307692,0,3,141
,,1392307692,0,4,120
,,1392307692,0,5,98
,,1392307692,0,6,78
,,1392307692,0,7,67
,,1392307692,0,8,63
,,1392307692,0,9,56
,,1392307692,0,10,43
,,1392307692,0,11,29
,,1392307692,0,12,21
,,1492307692,0,0,22
,,1492307692,0,1,24
,,1492307692,0,2,23
,,1492307692,0,3,19
,,1492307692,0,4,16
,,1492307692,0,5,14
,,1492307692,0,6,11
,,1492307692,0,7,9
,,1492307692,0,8,11
,,1492307692,0,9,17
,,1492307692,0,10,19
,,1492307692,0,11,13
,,1492307692,0,12,5
,,1592307692,0,0,4
,,1592307692,0,1,10
,,1592307692,0,2,16
,,1592307692,0,3,15
,,1592307692,0,4,11
,,1592307692,0,5,8
,,1592307692,0,6,8
,,1592307692,0,7,7
,,1592307692,0,8,7
,,1592307692,0,9,9
,,1592307692,0,10,14
,,1592307692,0,11,15
,,1592307692,0,12,8
,,1692307692,0,0,1
,,1692307692,0,1,1
,,1692307692,0,2,8
,,1692307692,0,3,14
,,1692307692,0,4,12
,,1692307692,0,5,6
,,1692307692,0,6,3
,,1692307692,0,7,4
,,1692307692,0,8,5
,,1692307692,0,9,5
,,1692307692,0,10,7
,,1692307692,0,11,22
,,1692307692,0,12,30
,,1792307692,0,0,34
,,1792307692,0,1,39
,,1792307692,0,2,53
,,1792307692,0,3,73
,,1792307692,0,4,89
,,1792307692,0,5,91
,,1792307692,0,6,84
,,1792307692,0,7,76
,,1792307692,0,8,69
,,1792307692,0,9,60
,,1792307692,0,10,48
,,1792307692,0,11,36
,,1792307692,0,12,27
,,1892307692,0,0,18
,,1892307692,0,1,8
,,1892307692,0,2,-1
,,1892307692,0,3,-1
,,1892307692,0,4,6
,,1892307692,0,5,9
,,1892307692,0,6,4
,,1892307692,0,7,-11
