timestamp_utc,heart_rate_bpm,rr_interval_ms
2026-03-22T14:14:31.2400604+00:00,60,1004.32
2026-03-22T14:14:32.2443754+00:00,65,918.74
2026-03-22T14:14:33.1631157+00:00,69,863.66
2026-03-22T14:14:34.0267805+00:00,71,841.97
2026-03-22T14:14:34.8687520+00:00,77,782.53
2026-03-22T14:14:35.6512821+00:00,76,788.24
2026-03-22T14:14:36.4395192+00:00,87,689.71
2026-03-22T14:14:37.1292306+00:00,52,1151.99
2026-03-22T14:14:38.2812198+00:00,64,937.93
2026-03-22T14:14:39.2191515+00:00,73,820.47
2026-03-22T14:14:40.0396165+00:00,73,826.34
2026-03-22T14:14:40.8659557+00:00,71,845.16
2026-03-22T14:14:41.7111111+00:00,71,841.34
2026-03-22T14:14:42.5524478+00:00,86,695.29
2026-03-22T14:14:43.2477372+00:00,52,1149.64
2026-03-22T14:14:44.3973787+00:00,62,961.74
2026-03-22T14:14:45.3591195+00:00,74,814.74
2026-03-22T14:14:46.1738633+00:00,74,813.77
2026-03-22T14:14:46.9876307+00:00,68,878.66
2026-03-22T14:14:47.8662916+00:00,67,898.77
2026-03-22T14:14:48.7650629+00:00,85,708.84
2026-03-22T14:14:49.4739038+00:00,53,1133.63
2026-03-22T14:14:50.6075369+00:00,62,964.28
2026-03-22T14:14:51.5718192+00:00,75,801.92
2026-03-22T14:14:52.3737362+00:00,76,784.55
2026-03-22T14:14:53.1582842+00:00,68,878.80
2026-03-22T14:14:54.0370862+00:00,64,938.95
2026-03-22T14:14:54.9760398+00:00,84,715.38
2026-03-22T14:14:55.6914226+00:00,54,1102.92
2026-03-22T14:14:56.7943382+00:00,64,936.95
2026-03-22T14:14:57.7312911+00:00,76,785.40
2026-03-22T14:14:58.5166897+00:00,80,749.61
2026-03-22T14:14:59.2662989+00:00,70,853.27
2026-03-22T14:15:00.1195691+00:00,62,970.89
2026-03-22T14:15:01.0904584+00:00,82,732.56
2026-03-22T14:15:01.8230218+00:00,57,1056.62
2026-03-22T14:15:02.8796404+00:00,67,892.65
2026-03-22T14:15:03.7722876+00:00,75,797.91
2026-03-22T14:15:04.5701970+00:00,81,743.37
2026-03-22T14:15:05.3135716+00:00,72,832.79
2026-03-22T14:15:06.1463627+00:00,61,984.18
2026-03-22T14:15:07.1305465+00:00,79,759.60
2026-03-22T14:15:07.8901432+00:00,58,1026.25
2026-03-22T14:15:08.9163893+00:00,71,839.41
2026-03-22T14:15:09.7557988+00:00,73,824.41
2026-03-22T14:15:10.5802086+00:00,76,792.28
2026-03-22T14:15:11.3724867+00:00,71,840.56
2026-03-22T14:15:12.2130490+00:00,61,978.81
2026-03-22T14:15:13.1918594+00:00,76,789.98
2026-03-22T14:15:13.9818402+00:00,58,1028.67
2026-03-22T14:15:15.0105086+00:00,74,807.01
2026-03-22T14:15:15.8175210+00:00,71,845.80
2026-03-22T14:15:16.6633216+00:00,70,861.68
2026-03-22T14:15:17.5250050+00:00,68,878.71
2026-03-22T14:15:18.4037168+00:00,61,978.01
2026-03-22T14:15:19.3817255+00:00,75,795.02
2026-03-22T14:15:20.1767407+00:00,58,1038.35
2026-03-22T14:15:21.2150954+00:00,76,790.55
2026-03-22T14:15:22.0056425+00:00,71,845.63
2026-03-22T14:15:22.8512750+00:00,66,908.37
2026-03-22T14:15:23.7596451+00:00,65,916.95
2026-03-22T14:15:24.6765967+00:00,62,968.46
2026-03-22T14:15:25.6450579+00:00,77,778.20
2026-03-22T14:15:26.4232622+00:00,58,1028.37
2026-03-22T14:15:27.4516311+00:00,79,761.05
2026-03-22T14:15:28.2126776+00:00,73,825.61
2026-03-22T14:15:29.0382912+00:00,64,931.41
2026-03-22T14:15:29.9697005+00:00,63,947.32
2026-03-22T14:15:30.9170163+00:00,63,945.49
2026-03-22T14:15:31.8625049+00:00,82,727.59
2026-03-22T14:15:32.5900903+00:00,60,1006.06
2026-03-22T14:15:33.5961529+00:00,81,739.24
2026-03-22T14:15:34.3353975+00:00,76,792.85
2026-03-22T14:15:35.1282486+00:00,64,938.68
2026-03-22T14:15:36.0669333+00:00,61,986.80
2026-03-22T14:15:37.0537362+00:00,66,910.05
2026-03-22T14:15:37.9637912+00:00,91,662.17
2026-03-22T14:15:38.6259661+00:00,61,991.39
2026-03-22T14:15:39.6173524+00:00,79,760.80
2026-03-22T14:15:40.3781520+00:00,76,786.38
2026-03-22T14:15:41.1645299+00:00,65,928.05
2026-03-22T14:15:42.0925786+00:00,59,1017.70
2026-03-22T14:15:43.1102813+00:00,67,902.02
2026-03-22T14:15:44.0123035+00:00,99,606.14
2026-03-22T14:15:44.6184448+00:00,62,969.25
2026-03-22T14:15:45.5876942+00:00,73,822.84
2026-03-22T14:15:46.4105332+00:00,73,824.26
2026-03-22T14:15:47.2347893+00:00,65,920.68
2026-03-22T14:15:48.1554689+00:00,58,1029.65
2026-03-22T14:15:49.1851195+00:00,65,924.91
2026-03-22T14:15:50.1100286+00:00,102,585.57
2026-03-22T14:15:50.6955941+00:00,63,954.08
2026-03-22T14:15:51.6496760+00:00,69,872.77
2026-03-22T14:15:52.5224451+00:00,68,881.26
2026-03-22T14:15:53.4037075+00:00,64,931.01
2026-03-22T14:15:54.3347144+00:00,59,1018.19
2026-03-22T14:15:55.3529075+00:00,64,942.99
2026-03-22T14:15:56.2959004+00:00,104,575.68
2026-03-22T14:15:56.8715774+00:00,65,929.44
2026-03-22T14:15:57.8010163+00:00,68,886.27
2026-03-22T14:15:58.6872821+00:00,65,927.82
2026-03-22T14:15:59.6151060+00:00,64,935.19
2026-03-22T14:16:00.5502973+00:00,61,989.31
2026-03-22T14:16:01.5396090+00:00,65,930.01
2026-03-22T14:16:02.4696207+00:00,108,554.97
2026-03-22T14:16:03.0245933+00:00,67,893.13
2026-03-22T14:16:03.9177215+00:00,69,864.74
2026-03-22T14:16:04.7824586+00:00,62,961.16
2026-03-22T14:16:05.7436215+00:00,64,944.00
2026-03-22T14:16:06.6876248+00:00,64,933.53
2026-03-22T14:16:07.6211505+00:00,67,899.41
2026-03-22T14:16:08.5205559+00:00,107,558.97
2026-03-22T14:16:09.0795284+00:00,68,877.41
2026-03-22T14:16:09.9569344+00:00,72,834.18
2026-03-22T14:16:10.7911171+00:00,61,982.18
2026-03-22T14:16:11.7732924+00:00,62,970.39
2026-03-22T14:16:12.7436859+00:00,68,878.28
2026-03-22T14:16:13.6219703+00:00,70,856.64
2026-03-22T14:16:14.4786080+00:00,101,591.19
2026-03-22T14:16:15.0697946+00:00,66,913.40
2026-03-22T14:16:15.9831958+00:00,72,829.32
2026-03-22T14:16:16.8125119+00:00,62,974.60
2026-03-22T14:16:17.7871149+00:00,60,1005.84
2026-03-22T14:16:18.7929587+00:00,70,859.54
2026-03-22T14:16:19.6524961+00:00,74,814.10
2026-03-22T14:16:20.4665930+00:00,97,621.54
2026-03-22T14:16:21.0881359+00:00,61,982.67
2026-03-22T14:16:22.0708108+00:00,70,860.13
2026-03-22T14:16:22.9309369+00:00,62,970.55
2026-03-22T14:16:23.9014848+00:00,59,1021.66
2026-03-22T14:16:24.9231399+00:00,69,871.02
2026-03-22T14:16:25.7941604+00:00,75,797.34
2026-03-22T14:16:26.5914977+00:00,95,628.49
2026-03-22T14:16:27.2199858+00:00,58,1029.86
2026-03-22T14:16:28.2498454+00:00,66,902.68
2026-03-22T14:16:29.1525265+00:00,62,963.89
2026-03-22T14:16:30.1164210+00:00,59,1011.49
2026-03-22T14:16:31.1279106+00:00,69,873.06
2026-03-22T14:16:32.0009695+00:00,78,771.50
2026-03-22T14:16:32.7724654+00:00,99,607.90
2026-03-22T14:16:33.3803630+00:00,57,1044.09
2026-03-22T14:16:34.4244576+00:00,64,937.24
2026-03-22T14:16:35.3616939+00:00,63,947.17
2026-03-22T14:16:36.3088657+00:00,62,974.72
2026-03-22T14:16:37.2835848+00:00,70,859.67
2026-03-22T14:16:38.1432587+00:00,80,746.32
2026-03-22T14:16:38.8895747+00:00,105,569.98
2026-03-22T14:16:39.4595596+00:00,58,1027.68
2026-03-22T14:16:40.4872349+00:00,61,980.77
2026-03-22T14:16:41.4680098+00:00,65,929.93
