device_address,device_alias,sensor_timestamp_ns,received_utc_ticks,sample_index,microvolts
,,92307692,0,0,1082
,,92307692,0,1,877
,,92307692,0,2,453
,,92307692,0,3,98
,,92307692,0,4,-99
,,92307692,0,5,-174
,,92307692,0,6,-159
,,92307692,0,7,-87
,,92307692,0,8,-12
,,92307692,0,9,34
,,92307692,0,10,48
,,92307692,0,11,52
,,92307692,0,12,59
,,192307692,0,0,72
,,192307692,0,1,83
,,192307692,0,2,88
,,192307692,0,3,92
,,192307692,0,4,101
,,192307692,0,5,118
,,192307692,0,6,136
,,192307692,0,7,155
,,192307692,0,8,177
,,192307692,0,9,200
,,192307692,0,10,222
,,192307692,0,11,239
,,192307692,0,12,257
,,292307692,0,0,281
,,292307692,0,1,308
,,292307692,0,2,327
,,292307692,0,3,335
,,292307692,0,4,336
,,292307692,0,5,337
,,292307692,0,6,339
,,292307692,0,7,337
,,292307692,0,8,327
,,292307692,0,9,312
,,292307692,0,10,294
,,292307692,0,11,272
,,292307692,0,12,246
,,392307692,0,0,220
,,392307692,0,1,201
,,392307692,0,2,187
,,392307692,0,3,168
,,392307692,0,4,143
,,392307692,0,5,118
,,392307692,0,6,102
,,392307692,0,7,95
,,392307692,0,8,89
,,392307692,0,9,79
,,392307692,0,10,70
,,392307692,0,11,63
,,392307692,0,12,57
,,492307692,0,0,52
,,492307692,0,1,48
,,492307692,0,2,49
,,492307692,0,3,54
,,492307692,0,4,54
,,492307692,0,5,47
,,492307692,0,6,39
,,492307692,0,7,39
,,492307692,0,8,45
,,492307692,0,9,50
,,492307692,0,10,49
,,492307692,0,11,45
,,492307692,0,12,43
,,592307692,0,0,42
,,592307692,0,1,42
,,592307692,0,2,41
,,592307692,0,3,44
,,592307692,0,4,49
,,592307692,0,5,49
,,592307692,0,6,42
,,592307692,0,7,36
,,592307692,0,8,37
,,592307692,0,9,44
,,592307692,0,10,49
,,592307692,0,11,47
,,592307692,0,12,41
,,692307692,0,0,38
,,692307692,0,1,39
,,692307692,0,2,40
,,692307692,0,3,41
,,692307692,0,4,43
,,692307692,0,5,58
,,692307692,0,6,64
,,692307692,0,7,68
,,692307692,0,8,75
,,692307692,0,9,91
,,692307692,0,10,112
,,692307692,0,11,127
,,692307692,0,12,130
,,792307692,0,0,125
,,792307692,0,1,118
,,792307692,0,2,112
,,792307692,0,3,102
,,792307692,0,4,89
,,792307692,0,5,77
,,792307692,0,6,66
,,792307692,0,7,56
,,792307692,0,8,45
,,792307692,0,9,37
,,792307692,0,10,37
,,792307692,0,11,43
,,792307692,0,12,46
,,892307692,0,0,40
,,892307692,0,1,27
,,892307692,0,2,1
,,892307692,0,3,-52
,,892307692,0,4,-102
,,892307692,0,5,-84
,,892307692,0,6,3
,,892307692,0,7,148
,,892307692,0,8,418
,,892307692,0,9,799
,,892307692,0,10,1040
,,892307692,0,11,908
,,892307692,0,12,514
,,992307692,0,0,143
,,992307692,0,1,-84
,,992307692,0,2,-186
,,992307692,0,3,-186
,,992307692,0,4,-119
,,992307692,0,5,-40
,,992307692,0,6,11
,,992307692,0,7,32
,,992307692,0,8,40
,,992307692,0,9,45
,,992307692,0,10,48
,,992307692,0,11,53
,,992307692,0,12,64
,,1092307692,0,0,79
,,1092307692,0,1,92
,,1092307692,0,2,99
,,1092307692,0,3,108
,,1092307692,0,4,125
,,1092307692,0,5,152
,,1092307692,0,6,179
,,1092307692,0,7,199
,,1092307692,0,8,217
,,1092307692,0,9,236
,,1092307692,0,10,258
,,1092307692,0,11,277
,,1092307692,0,12,294
,,1192307692,0,0,309
,,1192307692,0,1,321
,,1192307692,0,2,325
,,1192307692,0,3,319
,,1192307692,0,4,307
,,1192307692,0,5,298
,,1192307692,0,6,292
,,1192307692,0,7,280
,,1192307692,0,8,258
,,1192307692,0,9,230
,,1192307692,0,10,204
,,1192307692,0,11,183
,,1192307692,0,12,163
,,1292307692,0,0,143
,,1292307692,0,1,125
,,1292307692,0,2,110
,,1292307692,0,3,93
,,1292307692,0,4,75
,,1292307692,0,5,59
,,1292307692,0,6,52
,,1292307692,0,7,52
,,1292307692,0,8,51
,,1292307692,0,9,42
,,1292307692,0,10,31
,,1292307692,0,11,26
,,1292307692,0,12,27
,,1392307692,0,0,29
,,1392307692,0,1,29
,,1392307692,0,2,28
,,1392307692,0,3,28
,,1392307692,0,4,25
,,1392307692,0,5,21
,,1392307692,0,6,18
,,1392307692,0,7,21
,,1392307692,0,8,28
,,1392307692,0,9,31
,,1392307692,0,10,26
,,1392307692,0,11,18
,,1392307692,0,12,16
,,1492307692,0,0,21
,,1492307692,0,1,25
,,1492307692,0,2,26
,,1492307692,0,3,23
,,1492307692,0,4,22
,,1492307692,0,5,21
,,1492307692,0,6,18
,,1492307692,0,7,16
,,1492307692,0,8,19
,,1492307692,0,9,26
,,1492307692,0,10,28
,,1492307692,0,11,22
,,1492307692,0,12,14
,,1592307692,0,0,13
,,1592307692,0,1,33
,,1592307692,0,2,46
,,1592307692,0,3,56
,,1592307692,0,4,64
,,1592307692,0,5,75
,,1592307692,0,6,86
,,1592307692,0,7,95
,,1592307692,0,8,99
,,1592307692,0,9,102
,,1592307692,0,10,101
,,1592307692,0,11,91
,,1592307692,0,12,73
,,1692307692,0,0,52
,,1692307692,0,1,40
,,1692307692,0,2,37
,,1692307692,0,3,35
,,1692307692,0,4,28
,,1692307692,0,5,19
,,1692307692,0,6,14
,,1692307692,0,7,13
,,1692307692,0,8,14
,,1692307692,0,9,13
,,1692307692,0,10,5
,,1692307692,0,11,-26
,,1692307692,0,12,-88
,,1792307692,0,0,-127
,,1792307692,0,1,-88
,,1792307692,0,2,15
,,1792307692,0,3,196
,,1792307692,0,4,514
,,1792307692,0,5,868
,,1792307692,0,6,976
,,1792307692,0,7,722
,,1792307692,0,8,322
,,1792307692,0,9,16
,,1792307692,0,10,-148
,,1792307692,0,11,-202
,,1792307692,0,12,-175
,,1892307692,0,0,-107
,,1892307692,0,1,-47
,,1892307692,0,2,-12
,,1892307692,0,3,7
,,1892307692,0,4,22
,,1892307692,0,5,31
,,1892307692,0,6,32
,,1892307692,0,7,30
,,1892307692,0,8,35
,,1892307692,0,9,48
,,1892307692,0,10,65
,,1892307692,0,11,79
,,1892307692,0,12,94
,,1992307692,0,0,111
,,1992307692,0,1,129
,,1992307692,0,2,146
,,1992307692,0,3,164
,,1992307692,0,4,189
,,1992307692,0,5,216
,,1992307692,0,6,239
,,1992307692,0,7,251
,,1992307692,0,8,257
,,1992307692,0,9,266
,,1992307692,0,10,278
,,1992307692,0,11,286
,,1992307692,0,12,284
,,2092307692,0,0,274
,,2092307692,0,1,261
,,2092307692,0,2,245
,,2092307692,0,3,226
,,2092307692,0,4,205
,,2092307692,0,5,186
,,2092307692,0,6,170
,,2092307692,0,7,150
,,2092307692,0,8,123
,,2092307692,0,9,96
,,2092307692,0,10,77
,,2092307692,0,11,67
,,2092307692,0,12,59
,,2192307692,0,0,47
,,2192307692,0,1,31
,,2192307692,0,2,20
,,2192307692,0,3,13
,,2192307692,0,4,8
,,2192307692,0,5,4
,,2192307692,0,6,3
,,2192307692,0,7,4
,,2192307692,0,8,3
,,2192307692,0,9,-4
,,2192307692,0,10,-12
,,2192307692,0,11,-13
,,2192307692,0,12,-6
,,2292307692,0,0,-1
,,2292307692,0,1,-3
,,2292307692,0,2,-10
,,2292307692,0,3,-14
,,2292307692,0,4,-13
,,2292307692,0,5,-11
,,2292307692,0,6,-10
,,2292307692,0,7,-9
,,2292307692,0,8,-7
,,2292307692,0,9,-8
,,2292307692,0,10,-13
,,2292307692,0,11,-19
,,2292307692,0,12,-18
,,2392307692,0,0,-11
,,2392307692,0,1,-6
,,2392307692,0,2,-9
,,2392307692,0,3,-17
,,2392307692,0,4,-21
,,2392307692,0,5,-18
,,2392307692,0,6,-15
,,2392307692,0,7,-14
,,2392307692,0,8,0
,,2392307692,0,9,8
,,2392307692,0,10,17
,,2392307692,0,11,24
,,2392307692,0,12,33
,,2492307692,0,0,46
,,2492307692,0,1,61
,,2492307692,0,2,69
,,2492307692,0,3,63
,,2492307692,0,4,49
,,2492307692,0,5,35
,,2492307692,0,6,27
,,2492307692,0,7,20
,,2492307692,0,8,9
,,2492307692,0,9,-3
,,2492307692,0,10,-11
,,2492307692,0,11,-17
,,2492307692,0,12,-23
,,2592307692,0,0,-27
,,2592307692,0,1,-26
,,2592307692,0,2,-21
,,2592307692,0,3,-20
,,2592307692,0,4,-36
,,2592307692,0,5,-83
,,2592307692,0,6,-144
,,2592307692,0,7,-159
,,2592307692,0,8,-100
,,2592307692,0,9,4
,,2592307692,0,10,185
,,2592307692,0,11,499
,,2592307692,0,12,822
,,2692307692,0,0,874
,,2692307692,0,1,590
,,2692307692,0,2,211
,,2692307692,0,3,-56
,,2692307692,0,4,-192
,,2692307692,0,5,-236
,,2692307692,0,6,-208
,,2692307692,0,7,-142
,,2692307692,0,8,-76
,,2692307692,0,9,-37
,,2692307692,0,10,-24
,,2692307692,0,11,-24
,,2692307692,0,12,-23
,,2792307692,0,0,-18
,,2792307692,0,1,-10
,,2792307692,0,2,-2
,,2792307692,0,3,9
,,2792307692,0,4,24
,,2792307692,0,5,38
,,2792307692,0,6,48
,,2792307692,0,7,58
,,2792307692,0,8,77
,,2792307692,0,9,104
,,2792307692,0,10,131
,,2792307692,0,11,149
,,2792307692,0,12,162
,,2892307692,0,0,177
,,2892307692,0,1,195
,,2892307692,0,2,211
,,2892307692,0,3,222
,,2892307692,0,4,228
,,2892307692,0,5,231
,,2892307692,0,6,228
,,2892307692,0,7,216
,,2892307692,0,8,200
,,2892307692,0,9,187
,,2892307692,0,10,178
,,2892307692,0,11,164
,,2892307692,0,12,140
,,2992307692,0,0,112
,,2992307692,0,1,87
,,2992307692,0,2,71
,,2992307692,0,3,57
,,2992307692,0,4,42
,,2992307692,0,5,26
,,2992307692,0,6,12
,,2992307692,0,7,1
,,2992307692,0,8,-12
,,2992307692,0,9,-23
,,2992307692,0,10,-26
,,2992307692,0,11,-24
,,2992307692,0,12,-24
,,3092307692,0,0,-31
,,3092307692,0,1,-41
,,3092307692,0,2,-45
,,3092307692,0,3,-41
,,3092307692,0,4,-36
,,3092307692,0,5,-36
,,3092307692,0,6,-39
,,3092307692,0,7,-41
,,3092307692,0,8,-42
,,3092307692,0,9,-43
,,3092307692,0,10,-45
,,3092307692,0,11,-42
,,3092307692,0,12,-36
,,3192307692,0,0,-34
,,3192307692,0,1,-38
,,3192307692,0,2,-46
,,3192307692,0,3,-48
,,3192307692,0,4,-42
,,3192307692,0,5,-35
,,3192307692,0,6,-34
,,3192307692,0,7,-39
,,3192307692,0,8,-42
,,3192307692,0,9,-42
,,3192307692,0,10,-41
,,3192307692,0,11,-41
,,3192307692,0,12,-39
,,3292307692,0,0,-17
,,3292307692,0,1,-7
,,3292307692,0,2,-1
,,3292307692,0,3,5
,,3292307692,0,4,17
,,3292307692,0,5,35
,,3292307692,0,6,49
,,3292307692,0,7,50
,,3292307692,0,8,41
,,3292307692,0,9,30
,,3292307692,0,10,20
,,3292307692,0,11,10
,,3292307692,0,12,-1
,,3392307692,0,0,-11
,,3392307692,0,1,-16
,,3392307692,0,2,-22
,,3392307692,0,3,-30
,,3392307692,0,4,-38
,,3392307692,0,5,-39
,,3392307692,0,6,-32
,,3392307692,0,7,-27
,,3392307692,0,8,-32
,,3392307692,0,9,-58
,,3392307692,0,10,-112
,,3392307692,0,11,-163
,,3392307692,0,12,-152
,,3492307692,0,0,-75
,,3492307692,0,1,51
,,3492307692,0,2,287
,,3492307692,0,3,638
,,3492307692,0,4,893
,,3492307692,0,5,808
,,3492307692,0,6,454
,,3492307692,0,7,102
,,3492307692,0,8,-116
,,3492307692,0,9,-218
,,3492307692,0,10,-234
,,3492307692,0,11,-185
,,3492307692,0,12,-111
,,3592307692,0,0,-55
,,3592307692,0,1,-28
,,3592307692,0,2,-19
,,3592307692,0,3,-15
,,3592307692,0,4,-10
,,3592307692,0,5,-7
,,3592307692,0,6,-2
,,3592307692,0,7,9
,,3592307692,0,8,27
,,3592307692,0,9,43
,,3592307692,0,10,54
,,3592307692,0,11,62
,,3592307692,0,12,78
,,3692307692,0,0,103
,,3692307692,0,1,130
,,3692307692,0,2,153
,,3692307692,0,3,170
,,3692307692,0,4,188
,,3692307692,0,5,206
,,3692307692,0,6,221
,,3692307692,0,7,233
,,3692307692,0,8,244
,,3692307692,0,9,254
,,3692307692,0,10,256
,,3692307692,0,11,248
,,3692307692,0,12,232
,,3792307692,0,0,218
,,3792307692,0,1,209
,,3792307692,0,2,199
,,3792307692,0,3,179
,,3792307692,0,4,154
,,3792307692,0,5,129
,,3792307692,0,6,109
,,3792307692,0,7,92
,,3792307692,0,8,74
,,3792307692,0,9,60
,,3792307692,0,10,49
,,3792307692,0,11,38
,,3792307692,0,12,24
,,3892307692,0,0,9
,,3892307692,0,1,1
,,3892307692,0,2,3
,,3892307692,0,3,6
,,3892307692,0,4,2
,,3892307692,0,5,-7
