timestamp_utc,heart_rate_bpm,rr_interval_ms
2026-03-22T14:14:31.4998839+00:00,68,878.28
2026-03-22T14:14:32.3781672+00:00,69,866.49
2026-03-22T14:14:33.2446580+00:00,70,852.60
2026-03-22T14:14:34.0972605+00:00,72,835.69
2026-03-22T14:14:34.9329544+00:00,72,832.36
2026-03-22T14:14:35.7653143+00:00,71,847.53
2026-03-22T14:14:36.6128457+00:00,69,867.30
2026-03-22T14:14:37.4801484+00:00,69,875.53
2026-03-22T14:14:38.3556797+00:00,69,863.63
2026-03-22T14:14:39.2193082+00:00,72,837.37
2026-03-22T14:14:40.0566824+00:00,71,843.83
2026-03-22T14:14:40.9005130+00:00,70,862.28
2026-03-22T14:14:41.7627910+00:00,69,871.85
2026-03-22T14:14:42.6346404+00:00,69,871.78
2026-03-22T14:14:43.5064237+00:00,69,872.08
2026-03-22T14:14:44.3785048+00:00,70,860.14
2026-03-22T14:14:45.2386489+00:00,70,859.86
2026-03-22T14:14:46.0985061+00:00,69,865.55
2026-03-22T14:14:46.9640541+00:00,68,878.64
2026-03-22T14:14:47.8426979+00:00,69,874.10
2026-03-22T14:14:48.7167974+00:00,70,862.00
2026-03-22T14:14:49.5787970+00:00,70,861.46
2026-03-22T14:14:50.4402613+00:00,68,876.58
2026-03-22T14:14:51.3168388+00:00,68,877.25
2026-03-22T14:14:52.1940932+00:00,69,869.80
2026-03-22T14:14:53.0638885+00:00,70,861.25
2026-03-22T14:14:53.9251352+00:00,70,857.41
2026-03-22T14:14:54.7825501+00:00,70,855.68
2026-03-22T14:14:55.6382269+00:00,69,866.93
2026-03-22T14:14:56.5051586+00:00,68,881.86
2026-03-22T14:14:57.3870185+00:00,69,869.68
2026-03-22T14:14:58.2566998+00:00,71,842.79
2026-03-22T14:14:59.0994866+00:00,72,833.80
2026-03-22T14:14:59.9332850+00:00,71,845.21
2026-03-22T14:15:00.7784964+00:00,69,864.03
2026-03-22T14:15:01.6425276+00:00,69,873.48
2026-03-22T14:15:02.5160035+00:00,70,861.43
2026-03-22T14:15:03.3774382+00:00,71,846.28
2026-03-22T14:15:04.2237134+00:00,72,828.73
2026-03-22T14:15:05.0524430+00:00,73,826.02
2026-03-22T14:15:05.8784643+00:00,70,854.86
2026-03-22T14:15:06.7333206+00:00,68,877.22
2026-03-22T14:15:07.6105455+00:00,70,862.08
2026-03-22T14:15:08.4726256+00:00,71,843.40
2026-03-22T14:15:09.3160300+00:00,72,833.60
2026-03-22T14:15:10.1496290+00:00,72,834.55
2026-03-22T14:15:10.9841759+00:00,70,854.00
2026-03-22T14:15:11.8381728+00:00,69,867.85
2026-03-22T14:15:12.7060214+00:00,69,872.46
2026-03-22T14:15:13.5784806+00:00,69,865.04
2026-03-22T14:15:14.4435220+00:00,71,844.02
2026-03-22T14:15:15.2875415+00:00,71,847.15
2026-03-22T14:15:16.1346932+00:00,69,871.75
2026-03-22T14:15:17.0064404+00:00,69,875.43
2026-03-22T14:15:17.8818688+00:00,69,868.86
2026-03-22T14:15:18.7507328+00:00,69,869.59
2026-03-22T14:15:19.6203197+00:00,70,862.57
2026-03-22T14:15:20.4828867+00:00,69,868.96
2026-03-22T14:15:21.3518439+00:00,69,872.21
2026-03-22T14:15:22.2240498+00:00,69,875.07
2026-03-22T14:15:23.0991240+00:00,69,872.31
2026-03-22T14:15:23.9714328+00:00,70,861.98
2026-03-22T14:15:24.8334121+00:00,70,860.29
2026-03-22T14:15:25.6937018+00:00,68,886.35
2026-03-22T14:15:26.5800497+00:00,68,884.01
2026-03-22T14:15:27.4640576+00:00,69,866.95
2026-03-22T14:15:28.3310032+00:00,70,855.78
2026-03-22T14:15:29.1867860+00:00,70,852.70
2026-03-22T14:15:30.0394829+00:00,70,858.77
2026-03-22T14:15:30.8982570+00:00,69,874.83
2026-03-22T14:15:31.7730863+00:00,68,879.00
2026-03-22T14:15:32.6520906+00:00,69,866.84
2026-03-22T14:15:33.5189303+00:00,72,838.77
2026-03-22T14:15:34.3577000+00:00,73,826.49
2026-03-22T14:15:35.1841892+00:00,71,847.82
2026-03-22T14:15:36.0320083+00:00,69,872.67
2026-03-22T14:15:36.9046787+00:00,69,872.66
2026-03-22T14:15:37.7773365+00:00,70,858.68
2026-03-22T14:15:38.6360183+00:00,71,839.71
2026-03-22T14:15:39.4757237+00:00,73,826.94
2026-03-22T14:15:40.3026652+00:00,72,832.97
2026-03-22T14:15:41.1356359+00:00,70,858.93
2026-03-22T14:15:41.9945709+00:00,68,877.82
2026-03-22T14:15:42.8723896+00:00,69,865.31
2026-03-22T14:15:43.7377017+00:00,72,838.88
2026-03-22T14:15:44.5765770+00:00,72,832.29
2026-03-22T14:15:45.4088643+00:00,71,843.58
2026-03-22T14:15:46.2524424+00:00,70,861.81
2026-03-22T14:15:47.1142497+00:00,69,870.57
2026-03-22T14:15:47.9848187+00:00,69,870.80
2026-03-22T14:15:48.8556211+00:00,70,861.02
2026-03-22T14:15:49.7166395+00:00,71,846.67
2026-03-22T14:15:50.5633138+00:00,71,850.62
2026-03-22T14:15:51.4139360+00:00,69,873.91
2026-03-22T14:15:52.2878424+00:00,68,876.46
2026-03-22T14:15:53.1643033+00:00,69,864.40
2026-03-22T14:15:54.0287066+00:00,70,861.33
2026-03-22T14:15:54.8900350+00:00,69,863.97
