timestamp_utc,heart_rate_bpm,rr_interval_ms
2026-03-22T14:14:31.9736929+00:00,68,878.53
2026-03-22T14:14:32.8522227+00:00,69,870.13
2026-03-22T14:14:33.7223488+00:00,71,849.19
2026-03-22T14:14:34.5715340+00:00,72,829.87
2026-03-22T14:14:35.4013994+00:00,73,827.47
2026-03-22T14:14:36.2288678+00:00,70,852.19
2026-03-22T14:14:37.0810571+00:00,68,876.04
2026-03-22T14:14:37.9570990+00:00,69,874.51
2026-03-22T14:14:38.8316072+00:00,70,854.54
2026-03-22T14:14:39.6861441+00:00,72,832.71
2026-03-22T14:14:40.5188579+00:00,72,837.03
2026-03-22T14:14:41.3558829+00:00,69,865.99
2026-03-22T14:14:42.2218704+00:00,68,881.62
2026-03-22T14:14:43.1034878+00:00,69,874.84
2026-03-22T14:14:43.9783260+00:00,70,860.95
2026-03-22T14:14:44.8392800+00:00,71,845.86
2026-03-22T14:14:45.6851393+00:00,70,851.88
2026-03-22T14:14:46.5370186+00:00,68,876.82
2026-03-22T14:14:47.4138401+00:00,68,888.02
2026-03-22T14:14:48.3018618+00:00,68,876.68
2026-03-22T14:14:49.1785445+00:00,70,856.82
2026-03-22T14:14:50.0353611+00:00,71,847.85
2026-03-22T14:14:50.8832108+00:00,69,865.77
2026-03-22T14:14:51.7489797+00:00,68,886.68
2026-03-22T14:14:52.6356597+00:00,68,882.30
2026-03-22T14:14:53.5179564+00:00,69,866.86
2026-03-22T14:14:54.3848152+00:00,71,849.94
2026-03-22T14:14:55.2347579+00:00,71,843.59
2026-03-22T14:14:56.0783500+00:00,69,864.29
2026-03-22T14:14:56.9426436+00:00,68,886.85
2026-03-22T14:14:57.8294931+00:00,68,877.90
2026-03-22T14:14:58.7073928+00:00,70,852.35
2026-03-22T14:14:59.5597396+00:00,72,832.90
2026-03-22T14:15:00.3926351+00:00,72,837.47
2026-03-22T14:15:01.2301002+00:00,69,864.09
2026-03-22T14:15:02.0941922+00:00,68,878.98
2026-03-22T14:15:02.9731741+00:00,69,869.19
2026-03-22T14:15:03.8423605+00:00,71,848.18
2026-03-22T14:15:04.6905449+00:00,73,825.42
2026-03-22T14:15:05.5159659+00:00,72,828.17
2026-03-22T14:15:06.3441388+00:00,70,860.34
2026-03-22T14:15:07.2044835+00:00,68,879.38
2026-03-22T14:15:08.0838670+00:00,69,867.03
2026-03-22T14:15:08.9509017+00:00,71,843.99
2026-03-22T14:15:09.7948883+00:00,73,827.45
2026-03-22T14:15:10.6223339+00:00,72,835.16
2026-03-22T14:15:11.4574977+00:00,70,861.97
2026-03-22T14:15:12.3194679+00:00,68,877.75
2026-03-22T14:15:13.1972183+00:00,69,872.44
2026-03-22T14:15:14.0696625+00:00,70,852.62
2026-03-22T14:15:14.9222875+00:00,72,834.55
2026-03-22T14:15:15.7568423+00:00,71,846.40
2026-03-22T14:15:16.6032437+00:00,69,875.90
2026-03-22T14:15:17.4791455+00:00,68,884.44
2026-03-22T14:15:18.3635813+00:00,69,871.81
2026-03-22T14:15:19.2353947+00:00,70,856.27
2026-03-22T14:15:20.0916679+00:00,71,848.16
2026-03-22T14:15:20.9398295+00:00,70,862.34
2026-03-22T14:15:21.8021722+00:00,68,883.45
2026-03-22T14:15:22.6856202+00:00,68,885.15
2026-03-22T14:15:23.5707734+00:00,69,871.14
2026-03-22T14:15:24.4419149+00:00,70,851.47
2026-03-22T14:15:25.2933824+00:00,71,848.23
2026-03-22T14:15:26.1416143+00:00,69,873.31
2026-03-22T14:15:27.0149285+00:00,67,889.68
2026-03-22T14:15:27.9046100+00:00,68,876.26
2026-03-22T14:15:28.7808719+00:00,70,857.51
2026-03-22T14:15:29.6383795+00:00,71,842.79
2026-03-22T14:15:30.4811742+00:00,71,845.63
2026-03-22T14:15:31.3268059+00:00,69,870.07
2026-03-22T14:15:32.1968804+00:00,68,884.50
2026-03-22T14:15:33.0813841+00:00,69,871.06
2026-03-22T14:15:33.9524471+00:00,71,844.33
2026-03-22T14:15:34.7967755+00:00,73,826.13
2026-03-22T14:15:35.6229071+00:00,71,839.62
2026-03-22T14:15:36.4625282+00:00,69,869.69
2026-03-22T14:15:37.3322190+00:00,68,877.56
2026-03-22T14:15:38.2097754+00:00,70,862.37
2026-03-22T14:15:39.0721427+00:00,71,841.02
2026-03-22T14:15:39.9131586+00:00,73,823.75
2026-03-22T14:15:40.7369103+00:00,72,833.83
2026-03-22T14:15:41.5707360+00:00,69,865.37
2026-03-22T14:15:42.4361025+00:00,68,879.12
2026-03-22T14:15:43.3152178+00:00,69,864.31
2026-03-22T14:15:44.1795287+00:00,71,840.02
2026-03-22T14:15:45.0195478+00:00,72,828.09
2026-03-22T14:15:45.8476342+00:00,71,844.51
2026-03-22T14:15:46.6921458+00:00,69,871.50
2026-03-22T14:15:47.5636428+00:00,68,878.40
2026-03-22T14:15:48.4420436+00:00,69,869.34
2026-03-22T14:15:49.3113860+00:00,70,851.18
2026-03-22T14:15:50.1625630+00:00,72,839.10
2026-03-22T14:15:51.0016602+00:00,70,857.23
2026-03-22T14:15:51.8588867+00:00,68,883.54
2026-03-22T14:15:52.7424224+00:00,68,884.33
2026-03-22T14:15:53.6267495+00:00,69,868.31
2026-03-22T14:15:54.4950631+00:00,70,852.05
2026-03-22T14:15:55.3471151+00:00,70,852.20
2026-03-22T14:15:56.1993196+00:00,69,873.76
2026-03-22T14:15:57.0730762+00:00,68,886.76
2026-03-22T14:15:57.9598370+00:00,68,880.01
2026-03-22T14:15:58.8398449+00:00,69,864.38
2026-03-22T14:15:59.7042224+00:00,71,846.44
2026-03-22T14:16:00.5506584+00:00,70,851.20
