device_address,device_alias,sensor_timestamp_ns,received_utc_ticks,sample_index,microvolts
,,92307692,0,0,988
,,92307692,0,1,786
,,92307692,0,2,386
,,92307692,0,3,54
,,92307692,0,4,-129
,,92307692,0,5,-201
,,92307692,0,6,-188
,,92307692,0,7,-124
,,92307692,0,8,-57
,,92307692,0,9,-16
,,92307692,0,10,1
,,92307692,0,11,11
,,92307692,0,12,23
,,192307692,0,0,31
,,192307692,0,1,32
,,192307692,0,2,31
,,192307692,0,3,38
,,192307692,0,4,55
,,192307692,0,5,74
,,192307692,0,6,89
,,192307692,0,7,103
,,192307692,0,8,120
,,192307692,0,9,140
,,192307692,0,10,159
,,192307692,0,11,180
,,192307692,0,12,203
,,292307692,0,0,229
,,292307692,0,1,248
,,292307692,0,2,258
,,292307692,0,3,261
,,292307692,0,4,268
,,292307692,0,5,277
,,292307692,0,6,282
,,292307692,0,7,275
,,292307692,0,8,260
,,292307692,0,9,243
,,292307692,0,10,226
,,292307692,0,11,207
,,292307692,0,12,185
,,392307692,0,0,166
,,392307692,0,1,148
,,392307692,0,2,128
,,392307692,0,3,102
,,392307692,0,4,77
,,392307692,0,5,61
,,392307692,0,6,53
,,392307692,0,7,47
,,392307692,0,8,35
,,392307692,0,9,20
,,392307692,0,10,9
,,392307692,0,11,5
,,392307692,0,12,3
,,492307692,0,0,0
,,492307692,0,1,-1
,,492307692,0,2,0
,,492307692,0,3,-2
,,492307692,0,4,-8
,,492307692,0,5,-15
,,492307692,0,6,-14
,,492307692,0,7,-7
,,492307692,0,8,-2
,,492307692,0,9,-5
,,492307692,0,10,-13
,,492307692,0,11,-16
,,492307692,0,12,-13
,,592307692,0,0,-9
,,592307692,0,1,-8
,,592307692,0,2,-9
,,592307692,0,3,-8
,,592307692,0,4,-9
,,592307692,0,5,-13
,,592307692,0,6,-17
,,592307692,0,7,-15
,,592307692,0,8,-8
,,592307692,0,9,-4
,,592307692,0,10,-8
,,592307692,0,11,-4
,,592307692,0,12,0
,,692307692,0,0,14
,,692307692,0,1,31
,,692307692,0,2,45
,,692307692,0,3,55
,,692307692,0,4,63
,,692307692,0,5,68
,,692307692,0,6,67
,,692307692,0,7,60
,,692307692,0,8,54
,,692307692,0,9,49
,,692307692,0,10,40
,,692307692,0,11,23
,,692307692,0,12,5
,,792307692,0,0,-5
,,792307692,0,1,-5
,,792307692,0,2,-2
,,792307692,0,3,-4
,,792307692,0,4,-9
,,792307692,0,5,-12
,,792307692,0,6,-13
,,792307692,0,7,-19
,,792307692,0,8,-45
,,792307692,0,9,-98
,,792307692,0,10,-138
,,792307692,0,11,-110
,,792307692,0,12,-28
