timestamp_utc,heart_rate_bpm,rr_interval_ms
2026-03-22T14:14:33.2903677+00:00,69,867.24
2026-03-22T14:14:34.1576079+00:00,70,862.32
2026-03-22T14:14:35.0199259+00:00,71,850.12
2026-03-22T14:14:35.8700479+00:00,71,839.31
2026-03-22T14:14:36.7093597+00:00,72,837.80
2026-03-22T14:14:37.5471610+00:00,70,851.40
2026-03-22T14:14:38.3985645+00:00,69,865.87
2026-03-22T14:14:39.2644309+00:00,69,866.85
2026-03-22T14:14:40.1312769+00:00,70,855.87
2026-03-22T14:14:40.9871425+00:00,71,843.27
2026-03-22T14:14:41.8304077+00:00,71,845.98
2026-03-22T14:14:42.6763910+00:00,70,862.69
2026-03-22T14:14:43.5390792+00:00,69,871.88
2026-03-22T14:14:44.4109641+00:00,69,869.36
2026-03-22T14:14:45.2803243+00:00,70,863.17
2026-03-22T14:14:46.1434980+00:00,70,855.49
2026-03-22T14:14:46.9989891+00:00,70,857.97
2026-03-22T14:14:47.8569542+00:00,69,871.48
2026-03-22T14:14:48.7284356+00:00,68,878.70
2026-03-22T14:14:49.6071377+00:00,69,873.13
2026-03-22T14:14:50.4802656+00:00,70,862.27
2026-03-22T14:14:51.3425348+00:00,70,858.04
2026-03-22T14:14:52.2005795+00:00,69,868.13
2026-03-22T14:14:53.0687094+00:00,68,878.30
2026-03-22T14:14:53.9470102+00:00,69,874.95
2026-03-22T14:14:54.8219626+00:00,69,866.54
2026-03-22T14:14:55.6885064+00:00,70,857.45
2026-03-22T14:14:56.5459553+00:00,70,853.61
2026-03-22T14:14:57.3995671+00:00,69,864.63
2026-03-22T14:14:58.2641929+00:00,68,876.49
2026-03-22T14:14:59.1406782+00:00,69,870.48
2026-03-22T14:15:00.0111534+00:00,70,854.57
2026-03-22T14:15:00.8657220+00:00,71,843.28
2026-03-22T14:15:01.7089979+00:00,71,846.46
2026-03-22T14:15:02.5554583+00:00,70,860.96
2026-03-22T14:15:03.4164163+00:00,69,868.20
2026-03-22T14:15:04.2846212+00:00,70,862.38
2026-03-22T14:15:05.1470008+00:00,71,849.98
2026-03-22T14:15:05.9969851+00:00,72,836.36
2026-03-22T14:15:06.8333447+00:00,72,837.61
2026-03-22T14:15:07.6709525+00:00,70,856.32
2026-03-22T14:15:08.5272755+00:00,69,867.80
2026-03-22T14:15:09.3950745+00:00,70,860.84
2026-03-22T14:15:10.2559141+00:00,71,847.39
2026-03-22T14:15:11.1033026+00:00,72,838.45
2026-03-22T14:15:11.9417551+00:00,71,843.05
2026-03-22T14:15:12.7848073+00:00,70,857.96
2026-03-22T14:15:13.6427650+00:00,69,867.82
2026-03-22T14:15:14.5105834+00:00,69,866.72
2026-03-22T14:15:15.3772985+00:00,70,856.19
2026-03-22T14:15:16.2334874+00:00,71,845.74
2026-03-22T14:15:17.0792226+00:00,70,852.54
2026-03-22T14:15:17.9317662+00:00,69,869.70
2026-03-22T14:15:18.8014633+00:00,69,875.02
2026-03-22T14:15:19.6764867+00:00,69,868.86
2026-03-22T14:15:20.5453479+00:00,70,861.54
2026-03-22T14:15:21.4068881+00:00,70,857.89
2026-03-22T14:15:22.2647766+00:00,69,864.95
2026-03-22T14:15:23.1297291+00:00,69,875.82
2026-03-22T14:15:24.0055522+00:00,68,877.53
2026-03-22T14:15:24.8830775+00:00,69,870.24
2026-03-22T14:15:25.7533154+00:00,70,859.24
2026-03-22T14:15:26.6125505+00:00,70,857.95
2026-03-22T14:15:27.4705055+00:00,69,871.89
2026-03-22T14:15:28.3423975+00:00,68,879.43
2026-03-22T14:15:29.2218276+00:00,69,870.68
2026-03-22T14:15:30.0925079+00:00,70,859.90
2026-03-22T14:15:30.9524034+00:00,70,852.19
2026-03-22T14:15:31.8045945+00:00,70,853.63
2026-03-22T14:15:32.6582251+00:00,69,866.35
2026-03-22T14:15:33.5245743+00:00,69,873.65
2026-03-22T14:15:34.3982210+00:00,69,865.22
2026-03-22T14:15:35.2634457+00:00,71,848.66
2026-03-22T14:15:36.1121030+00:00,72,838.08
2026-03-22T14:15:36.9501811+00:00,71,846.38
2026-03-22T14:15:37.7965647+00:00,70,863.17
2026-03-22T14:15:38.6597321+00:00,69,866.65
2026-03-22T14:15:39.5263851+00:00,70,857.66
2026-03-22T14:15:40.3840477+00:00,71,845.40
