timestamp_utc,heart_rate_bpm,rr_interval_ms
2026-03-22T14:14:33.5598605+00:00,63,957.59
2026-03-22T14:14:34.5174540+00:00,63,954.44
2026-03-22T14:14:35.4718919+00:00,64,933.69
2026-03-22T14:14:36.4055828+00:00,66,905.76
2026-03-22T14:14:37.3113436+00:00,69,872.09
2026-03-22T14:14:38.1834339+00:00,71,842.92
2026-03-22T14:14:39.0263505+00:00,72,828.20
2026-03-22T14:14:39.8545514+00:00,72,828.71
2026-03-22T14:14:40.6832629+00:00,71,844.78
2026-03-22T14:14:41.5280423+00:00,68,879.29
2026-03-22T14:14:42.4073344+00:00,65,924.42
2026-03-22T14:14:43.3317577+00:00,63,957.82
2026-03-22T14:14:44.2895771+00:00,62,967.10
2026-03-22T14:14:45.2566805+00:00,63,959.06
2026-03-22T14:14:46.2157416+00:00,64,935.51
2026-03-22T14:14:47.1512485+00:00,67,898.72
2026-03-22T14:14:48.0499716+00:00,69,864.47
2026-03-22T14:14:48.9144420+00:00,71,844.04
2026-03-22T14:14:49.7584850+00:00,71,839.77
2026-03-22T14:14:50.5982597+00:00,70,856.60
2026-03-22T14:14:51.4548566+00:00,67,896.20
2026-03-22T14:14:52.3510522+00:00,64,942.73
2026-03-22T14:14:53.2937851+00:00,62,970.17
2026-03-22T14:14:54.2639558+00:00,62,971.40
2026-03-22T14:14:55.2353535+00:00,63,958.13
2026-03-22T14:14:56.1934879+00:00,64,933.99
2026-03-22T14:14:57.1274827+00:00,67,901.29
2026-03-22T14:14:58.0287691+00:00,69,868.58
2026-03-22T14:14:58.8973504+00:00,71,841.24
2026-03-22T14:14:59.7385947+00:00,73,826.85
2026-03-22T14:15:00.5654464+00:00,72,836.97
2026-03-22T14:15:01.4024166+00:00,69,873.86
2026-03-22T14:15:02.2762808+00:00,65,921.23
2026-03-22T14:15:03.1975158+00:00,63,953.34
2026-03-22T14:15:04.1508588+00:00,63,959.73
2026-03-22T14:15:05.1105875+00:00,63,945.47
2026-03-22T14:15:06.0560550+00:00,66,915.51
2026-03-22T14:15:06.9715603+00:00,68,881.47
2026-03-22T14:15:07.8530348+00:00,70,854.09
2026-03-22T14:15:08.7071247+00:00,72,833.21
2026-03-22T14:15:09.5403376+00:00,73,820.60
2026-03-22T14:15:10.3609342+00:00,73,826.71
2026-03-22T14:15:11.1876419+00:00,70,856.94
2026-03-22T14:15:12.0445792+00:00,67,900.16
2026-03-22T14:15:12.9447423+00:00,64,937.76
2026-03-22T14:15:13.8824977+00:00,63,959.88
2026-03-22T14:15:14.8423786+00:00,62,960.89
2026-03-22T14:15:15.8032716+00:00,64,937.76
2026-03-22T14:15:16.7410350+00:00,66,903.87
2026-03-22T14:15:17.6449071+00:00,69,873.56
2026-03-22T14:15:18.5184651+00:00,71,848.32
2026-03-22T14:15:19.3667882+00:00,72,833.60
2026-03-22T14:15:20.2003847+00:00,71,842.34
2026-03-22T14:15:21.0427263+00:00,68,876.26
2026-03-22T14:15:21.9189893+00:00,65,919.73
2026-03-22T14:15:22.8387166+00:00,63,954.62
2026-03-22T14:15:23.7933377+00:00,62,973.22
2026-03-22T14:15:24.7665566+00:00,62,971.79
2026-03-22T14:15:25.7383463+00:00,63,951.13
2026-03-22T14:15:26.6894750+00:00,65,922.41
2026-03-22T14:15:27.6118852+00:00,67,890.56
2026-03-22T14:15:28.5024498+00:00,70,855.77
2026-03-22T14:15:29.3582173+00:00,72,832.25
2026-03-22T14:15:30.1904660+00:00,72,836.16
2026-03-22T14:15:31.0266309+00:00,69,866.99
2026-03-22T14:15:31.8936210+00:00,66,909.85
2026-03-22T14:15:32.8034715+00:00,63,947.52
2026-03-22T14:15:33.7509894+00:00,62,967.00
2026-03-22T14:15:34.7179936+00:00,63,958.73
2026-03-22T14:15:35.6767279+00:00,65,929.54
2026-03-22T14:15:36.6062717+00:00,67,899.54
2026-03-22T14:15:37.5058090+00:00,69,872.47
2026-03-22T14:15:38.3782800+00:00,71,843.50
2026-03-22T14:15:39.2217822+00:00,73,821.49
2026-03-22T14:15:40.0432719+00:00,73,820.34
2026-03-22T14:15:40.8636115+00:00,71,842.01
2026-03-22T14:15:41.7056256+00:00,68,878.28
2026-03-22T14:15:42.5839050+00:00,65,919.85
2026-03-22T14:15:43.5037505+00:00,63,953.58
2026-03-22T14:15:44.4573273+00:00,62,960.10
2026-03-22T14:15:45.4174312+00:00,64,938.80
2026-03-22T14:15:46.3562305+00:00,66,910.02
2026-03-22T14:15:47.2662460+00:00,68,880.83
2026-03-22T14:15:48.1470766+00:00,71,850.27
2026-03-22T14:15:48.9973491+00:00,72,830.02
2026-03-22T14:15:49.8273664+00:00,72,832.34
2026-03-22T14:15:50.6597059+00:00,70,855.32
2026-03-22T14:15:51.5150239+00:00,67,890.37
2026-03-22T14:15:52.4053981+00:00,64,930.74
2026-03-22T14:15:53.3361391+00:00,62,964.30
2026-03-22T14:15:54.3004348+00:00,62,974.15
2026-03-22T14:15:55.2745851+00:00,62,961.19
2026-03-22T14:15:56.2357739+00:00,64,938.86
2026-03-22T14:15:57.1746352+00:00,66,907.16
2026-03-22T14:15:58.0817918+00:00,69,868.48
2026-03-22T14:15:58.9502754+00:00,71,841.43
2026-03-22T14:15:59.7917006+00:00,72,838.44
2026-03-22T14:16:00.6301426+00:00,70,858.01
2026-03-22T14:16:01.4881567+00:00,67,894.42
2026-03-22T14:16:02.3825807+00:00,64,938.39
2026-03-22T14:16:03.3209702+00:00,62,969.76
2026-03-22T14:16:04.2907302+00:00,62,969.55
2026-03-22T14:16:05.2602791+00:00,63,947.80
2026-03-22T14:16:06.2080748+00:00,65,923.39
2026-03-22T14:16:07.1314613+00:00,67,894.44
2026-03-22T14:16:08.0259022+00:00,70,860.37
2026-03-22T14:16:08.8862678+00:00,72,833.56
2026-03-22T14:16:09.7198237+00:00,73,823.53
2026-03-22T14:16:10.5433581+00:00,72,832.89
